Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90,Squad,PlSqu
Alessandro Fontanarosa,it ITA,DF,22-118,10,9,749.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.2,0.4,13.0,27.0,19.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Reggiana,Alessandro FontanarosaReggiana
Elvis Kabashi,al ALB,MF,31-105,16,8,678.0,7.5,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.7,0.9,7.0,32.0,9.0,0.0,0.27,0.27,0.0,0.27,0.03,0.09,0.12,0.03,0.12,Reggiana,Elvis KabashiReggiana
Stefano Pettinari,it ITA,FW,33-129,12,5,531.0,5.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,0.6,1.9,3.0,16.0,34.0,0.17,0.0,0.17,0.17,0.17,0.21,0.11,0.31,0.21,0.31,Reggiana,Stefano PettinariReggiana
Leo Stulac,si SVN,MF,30-252,11,5,437.0,4.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.5,0.7,4.0,23.0,4.0,0.0,0.21,0.21,0.0,0.21,0.04,0.1,0.14,0.04,0.14,Reggiana,Leo StulacReggiana
Matteo Maggio,it ITA,"MF,FW",23-150,20,4,604.0,6.7,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.9,1.9,40.0,26.0,68.0,0.3,0.15,0.45,0.3,0.45,0.15,0.14,0.28,0.15,0.28,Reggiana,Matteo MaggioReggiana
Joaquin Sosa,uy URU,DF,23-146,8,4,392.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,8.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Reggiana,Joaquin SosaReggiana
Orji Okwonkwo,ng NGA,"FW,MF",27-137,10,3,348.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.3,0.8,5.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.13,0.08,0.2,0.13,0.2,Reggiana,Orji OkwonkwoReggiana
Edoardo Motta,it ITA,GK,20-143,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reggiana,Edoardo MottaReggiana
Justin Kumi,it ITA,"MF,FW",20-324,8,1,149.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.17,0.1,0.17,Reggiana,Justin KumiReggiana
Luca Cigarini,it ITA,MF,38-350,9,0,128.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.7,0.8,6.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.08,0.47,0.55,0.08,0.55,Reggiana,Luca CigariniReggiana
Oliver Urso,dk DEN,"DF,FW",26-037,6,0,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Reggiana,Oliver UrsoReggiana
Yannis Nahounou,fr FRA,DF,21-020,5,0,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reggiana,Yannis NahounouReggiana
Giacomo Cavallini,it ITA,"DF,MF",20-201,3,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reggiana,Giacomo CavalliniReggiana
Mattia Destro,it ITA,FW,34-077,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reggiana,Mattia DestroReggiana
Filip Brekalo,hr CRO,DF,22-136,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reggiana,Filip BrekaloReggiana
Edoardo Cavaliere,fr FRA,FW,19-006,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reggiana,Edoardo CavaliereReggiana
Simon Esosa Aibangbee,ng NGA,GK,19-053,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reggiana,Simon Esosa AibangbeeReggiana
Federico Paterlini,it ITA,DF,20-066,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reggiana,Federico PaterliniReggiana
Lorenzo Rubboli,it ITA,GK,17-311,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reggiana,Lorenzo RubboliReggiana
Alex Sposito,it ITA,GK,23-364,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reggiana,Alex SpositoReggiana
Diego Stramaccioni,it ITA,DF,24-154,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reggiana,Diego StramaccioniReggiana
Opponent Total,,,27.4,38,418,3420.0,38.0,48.0,39.0,87.0,46.0,2.0,2.0,107.0,3.0,42.0,40.5,30.0,70.5,568.0,1487.0,1469.0,1.26,1.03,2.29,1.21,2.24,1.11,0.79,1.9,1.07,1.86,Reggiana,Opponent TotalReggiana
Marco Festa,it ITA,GK,32-364,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Mantova,Marco FestaMantova
Simone Trimboli,it ITA,MF,23-047,35,34,3057.0,34.0,2.0,1.0,3.0,2.0,0.0,0.0,8.0,1.0,1.8,1.8,2.8,4.7,56.0,160.0,59.0,0.06,0.03,0.09,0.06,0.09,0.05,0.08,0.14,0.05,0.14,Mantova,Simone TrimboliMantova
Davis Mensah,gh GHA,FW,33-307,35,31,2370.0,26.3,2.0,7.0,9.0,2.0,0.0,0.0,4.0,0.0,3.2,3.2,4.2,7.5,44.0,27.0,209.0,0.08,0.27,0.34,0.08,0.34,0.12,0.16,0.28,0.12,0.28,Mantova,Davis MensahMantova
Leonardo Mancuso,it ITA,"FW,MF",33-010,38,28,2282.0,25.4,10.0,1.0,11.0,8.0,2.0,3.0,3.0,0.0,9.2,6.9,1.4,8.2,33.0,59.0,135.0,0.39,0.04,0.43,0.32,0.35,0.36,0.05,0.42,0.27,0.32,Mantova,Leonardo MancusoMantova
Salvatore Burrai,it ITA,MF,38-010,27,27,2327.0,25.9,1.0,3.0,4.0,1.0,0.0,0.0,12.0,0.0,1.2,1.2,3.4,4.6,35.0,186.0,27.0,0.04,0.12,0.15,0.04,0.15,0.05,0.13,0.18,0.05,0.18,Mantova,Salvatore BurraiMantova
Fabrizio Brignani,it ITA,DF,27-143,28,27,2208.0,24.5,3.0,1.0,4.0,3.0,0.0,0.0,8.0,1.0,2.3,2.3,0.9,3.2,15.0,99.0,12.0,0.12,0.04,0.16,0.12,0.16,0.09,0.03,0.13,0.09,0.13,Mantova,Fabrizio BrignaniMantova
Antonio Fiori,it ITA,"FW,DF",22-104,35,23,1893.0,21.0,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,2.8,2.8,2.5,5.3,69.0,32.0,155.0,0.1,0.24,0.33,0.1,0.33,0.13,0.12,0.25,0.13,0.25,Mantova,Antonio FioriMantova
Cristiano Bani,it ITA,DF,26-142,26,22,1943.0,21.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.5,0.7,19.0,123.0,30.0,0.0,0.05,0.05,0.0,0.05,0.01,0.02,0.03,0.01,0.03,Mantova,Cristiano BaniMantova
Stefano Cella,it ITA,DF,24-047,22,19,1848.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.9,0.9,0.1,1.0,1.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Mantova,Stefano CellaMantova
Tommaso Maggioni,it ITA,DF,23-287,28,19,1807.0,20.1,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.2,1.2,1.1,2.3,11.0,36.0,80.0,0.15,0.05,0.2,0.15,0.2,0.06,0.05,0.11,0.06,0.11,Mantova,Tommaso MaggioniMantova
Francesco Galuppini,it ITA,"FW,MF",31-231,34,18,1689.0,18.8,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,4.2,4.2,2.3,6.5,44.0,116.0,92.0,0.11,0.16,0.27,0.11,0.27,0.22,0.12,0.34,0.22,0.34,Mantova,Francesco GaluppiniMantova
Nicolo Radaelli,it ITA,DF,22-132,20,18,1445.0,16.1,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,1.6,1.6,1.3,2.9,26.0,28.0,84.0,0.19,0.12,0.31,0.19,0.31,0.1,0.08,0.18,0.1,0.18,Mantova,Nicolo RadaelliMantova
Alex Redolfi,it ITA,DF,31-136,19,18,1345.0,14.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.8,0.8,0.0,0.8,0.0,28.0,3.0,0.13,0.0,0.13,0.13,0.13,0.06,0.0,0.06,0.06,0.06,Mantova,Alex RedolfiMantova
Davide Bragantini,it ITA,"FW,MF",21-292,35,17,1515.0,16.8,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,3.0,3.0,2.8,5.8,51.0,67.0,83.0,0.36,0.18,0.53,0.36,0.53,0.18,0.16,0.34,0.18,0.34,Mantova,Davide BragantiniMantova
Matteo Solini,it ITA,DF,32-088,21,11,1104.0,12.3,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.0,1.0,0.2,1.2,5.0,28.0,3.0,0.16,0.0,0.16,0.16,0.16,0.08,0.02,0.09,0.08,0.09,Mantova,Matteo SoliniMantova
Mattia Aramu,it ITA,MF,30-022,25,11,1050.0,11.7,2.0,3.0,5.0,2.0,0.0,1.0,4.0,0.0,2.1,1.2,1.5,2.8,9.0,32.0,39.0,0.17,0.26,0.43,0.17,0.43,0.18,0.13,0.31,0.11,0.24,Mantova,Mattia AramuMantova
Federico Artioli,it ITA,MF,23-358,12,10,814.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,0.8,13.0,37.0,9.0,0.0,0.11,0.11,0.0,0.11,0.05,0.05,0.09,0.05,0.09,Mantova,Federico ArtioliMantova
Simone Giordano,it ITA,DF,23-166,12,9,729.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.5,21.0,36.0,45.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Mantova,Simone GiordanoMantova
Sebastien De Maio,fr FRA,DF,38-092,14,8,919.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.2,0.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,Mantova,Sebastien De MaioMantova
David Wieser,it ITA,MF,23-112,29,7,849.0,9.4,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.7,1.5,26.0,51.0,40.0,0.0,0.21,0.21,0.0,0.21,0.08,0.08,0.16,0.08,0.16,Mantova,David WieserMantova
Francesco Ruocco,it ITA,"FW,DF",24-155,21,7,796.0,8.8,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.2,2.2,1.0,3.2,27.0,19.0,98.0,0.23,0.23,0.45,0.23,0.45,0.25,0.12,0.37,0.25,0.37,Mantova,Francesco RuoccoMantova
Mattia Muroni,it ITA,"MF,DF",29-060,5,5,398.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,6.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Mantova,Mattia MuroniMantova
Alessandro Debenedetti,it ITA,"FW,MF",21-255,29,4,832.0,9.2,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.2,3.2,0.2,3.4,6.0,12.0,58.0,0.43,0.0,0.43,0.43,0.43,0.35,0.02,0.36,0.35,0.36,Mantova,Alessandro DebenedettiMantova
Giacomo Fedel,it ITA,"DF,FW",22-304,9,3,394.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,Mantova,Giacomo FedelMantova
Erik Panizzi,it ITA,DF,31-110,5,3,328.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,8.0,25.0,14.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,Mantova,Erik PanizziMantova
Flavio Paoletti,it ITA,"MF,FW",22-140,3,1,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Mantova,Flavio PaolettiMantova
Federico Botti,it ITA,GK,22-350,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mantova,Federico BottiMantova
Luca Sonzogni,it ITA,GK,20-304,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mantova,Luca SonzogniMantova
Opponent Total,,,27.1,38,418,3420.0,38.0,55.0,44.0,99.0,53.0,2.0,2.0,110.0,5.0,48.8,47.2,40.2,87.4,536.0,1205.0,1189.0,1.45,1.16,2.61,1.39,2.55,1.28,1.06,2.34,1.24,2.3,Mantova,Opponent TotalMantova
Luca Lezzerini,it ITA,GK,30-073,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brescia,Luca LezzeriniBrescia
Davide Adorni,it ITA,DF,32-300,36,36,3220.0,35.8,3.0,0.0,3.0,3.0,0.0,0.0,11.0,0.0,3.0,3.0,0.4,3.4,11.0,79.0,3.0,0.08,0.0,0.08,0.08,0.08,0.08,0.01,0.09,0.08,0.09,Brescia,Davide AdorniBrescia
Lorenzo Dickmann,it ITA,DF,28-254,36,33,2928.0,32.5,0.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,1.3,1.3,1.7,3.0,51.0,107.0,120.0,0.0,0.06,0.06,0.0,0.06,0.04,0.05,0.09,0.04,0.09,Brescia,Lorenzo DickmannBrescia
Matthias Verreth,be BEL,MF,27-105,32,31,2695.0,29.9,4.0,1.0,5.0,4.0,0.0,0.0,8.0,0.0,1.5,1.5,3.7,5.2,16.0,146.0,27.0,0.13,0.03,0.17,0.13,0.17,0.05,0.12,0.17,0.05,0.17,Brescia,Matthias VerrethBrescia
Dimitri Bisoli,it ITA,MF,31-072,30,29,2512.0,27.9,1.0,6.0,7.0,1.0,0.0,0.0,8.0,0.0,1.5,1.5,4.7,6.2,31.0,151.0,63.0,0.04,0.21,0.25,0.04,0.25,0.05,0.17,0.22,0.05,0.22,Brescia,Dimitri BisoliBrescia
Gennaro Borrelli,it ITA,FW,25-087,34,28,2544.0,28.3,6.0,1.0,7.0,5.0,1.0,1.0,8.0,0.0,8.3,7.5,1.7,9.2,34.0,44.0,128.0,0.21,0.04,0.25,0.18,0.21,0.29,0.06,0.35,0.27,0.33,Brescia,Gennaro BorrelliBrescia
Alexander Jallow,se SWE,DF,27-094,33,24,2205.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.5,0.8,43.0,85.0,74.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Brescia,Alexander JallowBrescia
Michele Besaggio,it ITA,MF,23-038,35,23,1982.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,2.1,2.1,0.9,3.0,46.0,86.0,84.0,0.05,0.0,0.05,0.05,0.05,0.09,0.04,0.13,0.09,0.13,Brescia,Michele BesaggioBrescia
Niccolo Corrado,it ITA,"DF,MF",25-078,36,21,1963.0,21.8,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,3.7,4.9,42.0,75.0,101.0,0.05,0.09,0.14,0.05,0.14,0.06,0.17,0.23,0.06,0.23,Brescia,Niccolo CorradoBrescia
Andrea Cistana,it ITA,DF,28-065,22,19,1706.0,19.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.9,1.9,22.0,80.0,7.0,0.05,0.05,0.11,0.05,0.11,0.05,0.05,0.1,0.05,0.1,Brescia,Andrea CistanaBrescia
Massimo Bertagnoli,it ITA,MF,26-099,28,18,1490.0,16.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,1.8,3.3,20.0,53.0,54.0,0.06,0.06,0.12,0.06,0.12,0.09,0.11,0.2,0.09,0.2,Brescia,Massimo BertagnoliBrescia
Nicolas Galazzi,it ITA,"MF,FW",24-169,23,17,1463.0,16.3,1.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,2.9,2.9,4.6,7.5,47.0,68.0,81.0,0.06,0.31,0.37,0.06,0.37,0.18,0.28,0.46,0.18,0.46,Brescia,Nicolas GalazziBrescia
Giacomo Olzer,it ITA,"MF,FW",24-052,25,16,1203.0,13.4,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,1.6,3.6,29.0,33.0,84.0,0.07,0.07,0.15,0.07,0.15,0.15,0.12,0.27,0.15,0.27,Brescia,Giacomo OlzerBrescia
Gabriele Calvani,it ITA,DF,21-144,20,14,1291.0,14.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.0,0.6,10.0,41.0,4.0,0.07,0.0,0.07,0.07,0.07,0.04,0.0,0.04,0.04,0.04,Brescia,Gabriele CalvaniBrescia
Patrick Nuamah,it ITA,"FW,MF",19-156,23,14,1259.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,1.1,2.2,47.0,28.0,94.0,0.07,0.0,0.07,0.07,0.07,0.08,0.08,0.16,0.08,0.16,Brescia,Patrick NuamahBrescia
Andrea Papetti,it ITA,DF,22-337,17,14,1155.0,12.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.2,0.6,11.0,47.0,11.0,0.0,0.08,0.08,0.0,0.08,0.03,0.02,0.05,0.03,0.05,Brescia,Andrea PapettiBrescia
Gabriele Moncini,it ITA,FW,29-040,24,13,1165.0,12.9,5.0,1.0,6.0,4.0,1.0,1.0,2.0,0.0,5.9,5.1,0.3,5.4,8.0,9.0,64.0,0.39,0.08,0.46,0.31,0.39,0.45,0.02,0.48,0.39,0.42,Brescia,Gabriele MonciniBrescia
Ante Juric,hr CRO,FW,22-191,30,12,1281.0,14.2,3.0,2.0,5.0,3.0,0.0,0.0,6.0,0.0,3.2,3.2,1.6,4.9,10.0,11.0,73.0,0.21,0.14,0.35,0.21,0.35,0.23,0.12,0.34,0.23,0.34,Brescia,Ante JuricBrescia
Birkir Bjarnason,is ISL,"MF,FW",37-009,27,5,712.0,7.9,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,2.7,2.7,0.7,3.4,19.0,43.0,36.0,0.51,0.13,0.63,0.51,0.63,0.34,0.09,0.43,0.34,0.43,Brescia,Birkir BjarnasonBrescia
Flavio Junior Bianchi,it ITA,FW,25-132,23,5,630.0,7.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,2.4,2.4,0.4,2.8,22.0,12.0,47.0,0.57,0.0,0.57,0.57,0.57,0.34,0.06,0.4,0.34,0.4,Brescia,Flavio Junior BianchiBrescia
Luca D'Andrea,it ITA,"FW,MF",20-272,9,4,345.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.8,18.0,8.0,42.0,0.0,0.0,0.0,0.0,0.0,0.09,0.13,0.22,0.09,0.22,Brescia,Luca D'AndreaBrescia
Riccardo Fogliata,it ITA,MF,21-155,6,2,235.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,13.0,7.0,0.38,0.0,0.38,0.38,0.38,0.05,0.03,0.08,0.05,0.08,Brescia,Riccardo FogliataBrescia
Fabrizio Paghera,it ITA,MF,33-175,6,2,144.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Brescia,Fabrizio PagheraBrescia
Lorenzo Andrenacci,it ITA,GK,30-154,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brescia,Lorenzo AndrenacciBrescia
Trent Buhagiar,mt MLT,MF,27-098,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brescia,Trent BuhagiarBrescia
Zylyf Muca,al ALB,DF,20-090,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brescia,Zylyf MucaBrescia
Michele Avella,it ITA,GK,25-035,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brescia,Michele AvellaBrescia
Giacomo Maucci,it ITA,MF,18-081,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brescia,Giacomo MaucciBrescia
Opponent Total,,,27.2,38,418,3420.0,38.0,47.0,33.0,80.0,42.0,5.0,9.0,100.0,7.0,48.8,42.5,31.0,73.5,700.0,1477.0,1461.0,1.24,0.87,2.11,1.11,1.97,1.28,0.82,2.1,1.12,1.93,Brescia,Opponent TotalBrescia
Michele Cerofolini,it ITA,GK,26-152,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Frosinone,Michele CerofoliniFrosinone
Ilario Monterisi,it ITA,DF,23-168,35,35,3087.0,34.3,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.8,1.8,0.4,2.3,7.0,79.0,6.0,0.03,0.0,0.03,0.03,0.03,0.05,0.01,0.07,0.05,0.07,Frosinone,Ilario MonterisiFrosinone
Anthony Oyono,ga GAB,DF,24-054,32,30,2428.0,27.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.5,1.5,1.2,2.8,42.0,93.0,106.0,0.04,0.04,0.07,0.04,0.07,0.06,0.05,0.1,0.06,0.1,Frosinone,Anthony OyonoFrosinone
Giuseppe Ambrosino,it ITA,"FW,MF",21-268,36,27,2209.0,24.5,5.0,3.0,8.0,5.0,0.0,1.0,3.0,0.0,5.5,4.5,4.0,8.6,48.0,57.0,115.0,0.2,0.12,0.33,0.2,0.33,0.22,0.16,0.39,0.18,0.35,Frosinone,Giuseppe AmbrosinoFrosinone
Riccardo Marchizza,it ITA,DF,27-071,25,24,2069.0,23.0,2.0,3.0,5.0,1.0,1.0,1.0,4.0,0.0,2.3,1.5,2.4,3.9,23.0,107.0,69.0,0.09,0.13,0.22,0.04,0.17,0.1,0.11,0.21,0.07,0.17,Frosinone,Riccardo MarchizzaFrosinone
Ebrima Darboe,gm GAM,MF,23-364,26,21,1715.0,19.1,2.0,1.0,3.0,2.0,0.0,0.0,6.0,1.0,1.5,1.5,1.6,3.1,25.0,91.0,28.0,0.1,0.05,0.16,0.1,0.16,0.08,0.08,0.16,0.08,0.16,Frosinone,Ebrima DarboeFrosinone
Jeremy Oyono,ga GAB,"DF,MF",24-054,23,18,1587.0,17.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,1.7,2.3,39.0,78.0,55.0,0.06,0.0,0.06,0.06,0.06,0.04,0.1,0.13,0.04,0.13,Frosinone,Jeremy OyonoFrosinone
Davide Biraschi,it ITA,DF,30-338,19,18,1444.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.1,0.4,10.0,75.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Frosinone,Davide BiraschiFrosinone
Gabriele Bracaglia,it ITA,DF,21-321,26,16,1621.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.3,1.1,12.0,54.0,28.0,0.06,0.0,0.06,0.06,0.06,0.04,0.02,0.06,0.04,0.06,Frosinone,Gabriele BracagliaFrosinone
Francesco Gelli,it ITA,MF,28-233,17,16,1456.0,16.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,1.3,2.5,28.0,88.0,62.0,0.0,0.06,0.06,0.0,0.06,0.07,0.08,0.15,0.07,0.15,Frosinone,Francesco GelliFrosinone
Anthony Partipilo,it ITA,"FW,MF",30-221,25,14,1223.0,13.6,3.0,1.0,4.0,2.0,1.0,2.0,4.0,0.0,4.4,2.8,1.9,4.7,33.0,64.0,95.0,0.22,0.07,0.29,0.15,0.22,0.32,0.14,0.46,0.21,0.34,Frosinone,Anthony PartipiloFrosinone
Isak Vural,tr TUR,MF,19-008,23,14,1180.0,13.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.6,1.6,0.6,2.2,20.0,35.0,21.0,0.0,0.08,0.08,0.0,0.08,0.12,0.05,0.17,0.12,0.17,Frosinone,Isak VuralFrosinone
Giorgi Kvernadze,ge GEO,"FW,MF",22-118,33,13,1671.0,18.6,3.0,5.0,8.0,3.0,0.0,0.0,2.0,0.0,2.4,2.4,3.8,6.1,80.0,19.0,143.0,0.16,0.27,0.43,0.16,0.43,0.13,0.2,0.33,0.13,0.33,Frosinone,Giorgi KvernadzeFrosinone
Fares Ghedjemis,fr FRA,"FW,MF",22-272,21,13,1066.0,11.8,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.5,3.5,63.0,29.0,89.0,0.17,0.08,0.25,0.17,0.25,0.17,0.13,0.29,0.17,0.29,Frosinone,Fares GhedjemisFrosinone
Davide Bettella,it ITA,DF,25-059,18,12,1143.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.0,1.0,4.0,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.08,0.07,0.08,Frosinone,Davide BettellaFrosinone
