Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Frederico Venâncio,pt POR,DF,31.0,26,21,1807.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.3,0.5,6.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,Matches
Diogo Calila,pt POR,"MF,DF",25.0,31,21,1750.0,19.4,1.0,2.0,3.0,1.0,0.0,0.0,9.0,0.0,0.9,0.9,1.1,2.0,36.0,42.0,100.0,0.05,0.1,0.15,0.05,0.15,0.05,0.06,0.1,0.05,0.1,Matches
Pedro Ferreira,pt POR,MF,26.0,32,20,1826.0,20.3,0.0,4.0,4.0,0.0,0.0,0.0,8.0,0.0,1.3,1.3,1.5,2.9,9.0,50.0,30.0,0.0,0.2,0.2,0.0,0.2,0.07,0.08,0.14,0.07,0.14,Matches
Matheus Pereira,br BRA,"MF,DF",23.0,28,18,1723.0,19.1,0.0,4.0,4.0,0.0,0.0,0.0,12.0,1.0,1.3,1.3,3.3,4.7,31.0,37.0,70.0,0.0,0.21,0.21,0.0,0.21,0.07,0.17,0.24,0.07,0.24,Matches
Lucas Soares,br BRA,"MF,DF",26.0,30,18,1660.0,18.4,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.8,0.8,1.6,2.4,25.0,35.0,85.0,0.0,0.05,0.05,0.0,0.05,0.04,0.09,0.13,0.04,0.13,Matches
Serginho,pt POR,MF,24.0,29,15,1302.0,14.5,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.1,2.1,1.3,3.5,14.0,42.0,18.0,0.14,0.07,0.21,0.14,0.21,0.15,0.09,0.24,0.15,0.24,Matches
Safira,br BRA,FW,29.0,16,12,987.0,11.0,2.0,2.0,4.0,1.0,1.0,2.0,7.0,0.0,4.1,2.5,2.6,5.1,6.0,13.0,34.0,0.18,0.18,0.36,0.09,0.27,0.37,0.23,0.61,0.23,0.46,Matches
Ricardinho,pt POR,"FW,MF",25.0,28,10,1246.0,13.8,7.0,0.0,7.0,7.0,0.0,0.0,5.0,0.0,4.1,4.1,1.5,5.5,40.0,43.0,54.0,0.51,0.0,0.51,0.51,0.51,0.29,0.11,0.4,0.29,0.4,Matches
Gustavo Klismahn,br BRA,"MF,FW",24.0,17,9,822.0,9.1,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.7,2.1,15.0,35.0,30.0,0.0,0.33,0.33,0.0,0.33,0.05,0.18,0.23,0.05,0.23,Matches
João Costa,pt POR,FW,24.0,24,8,728.0,8.1,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,4.0,1.3,5.3,3.0,10.0,28.0,0.37,0.0,0.37,0.37,0.37,0.5,0.16,0.66,0.5,0.66,Matches
Guilherme Ramos,pt POR,DF,26.0,6,4,331.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02,Matches
Wendel,br BRA,FW,23.0,6,2,235.0,2.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,0.3,1.9,3.0,7.0,6.0,0.77,0.0,0.77,0.77,0.77,0.59,0.13,0.73,0.59,0.73,Matches
Alysson Silva,br BRA,DF,21.0,2,2,163.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniel Borges,br BRA,"MF,FW",21.0,16,1,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.5,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.15,0.09,0.24,0.15,0.24,Matches
Matheusinho,br BRA,"FW,MF",26.0,9,0,115.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,6.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.18,0.06,0.24,0.18,0.24,Matches
Bruno Messi,pt POR,"FW,MF",27.0,7,0,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,8.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.15,0.09,0.15,Matches
Ney Bahia,br BRA,MF,20.0,2,0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches
Habraão,br BRA,FW,23.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paulo Henrique Rodrigues Cabral,pt POR,DF,27.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Italo,br BRA,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Vital Maia,pt POR,FW,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Adriel Moraes,br BRA,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Neneca,br BRA,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Henrique Silva,br BRA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
José Tavares,,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rodrigo Varanda,br BRA,FW,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gustavo Veiga,br BRA,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Opponent Total,,,25.8,34,374,3060.0,34.0,32.0,21.0,53.0,28.0,4.0,6.0,96.0,6.0,32.9,28.0,20.0,48.0,426.0,1282.0,1265.0,0.94,0.62,1.56,0.82,1.44,0.97,0.59,1.56,0.82,1.41,
Bruno Varela,cv CPV,GK,29.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
João Mendes,pt POR,DF,24.0,30,30,2589.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.7,0.7,1.5,2.2,66.0,141.0,206.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches
Tomás Händel,pt POR,MF,23.0,32,29,2516.0,28.0,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.6,1.6,1.9,3.5,40.0,174.0,53.0,0.07,0.04,0.11,0.07,0.11,0.06,0.07,0.13,0.06,0.13,Matches
Toni Borevkovic,hr CRO,DF,27.0,27,27,2420.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.5,1.5,0.8,2.2,8.0,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches
Tiago Silva,pt POR,MF,31.0,30,27,2326.0,25.8,5.0,4.0,9.0,2.0,3.0,3.0,6.0,1.0,3.5,1.1,3.8,5.0,20.0,229.0,38.0,0.19,0.15,0.35,0.08,0.23,0.14,0.15,0.28,0.04,0.19,Matches
Nuno Santos,pt POR,"FW,MF",25.0,33,21,1907.0,21.2,3.0,4.0,7.0,3.0,0.0,0.0,5.0,0.0,5.3,5.3,2.7,7.9,32.0,117.0,163.0,0.14,0.19,0.33,0.14,0.33,0.25,0.13,0.37,0.25,0.37,Matches
Nélson Oliveira,pt POR,FW,32.0,31,21,1776.0,19.7,3.0,4.0,7.0,3.0,0.0,0.0,5.0,0.0,3.6,3.6,2.8,6.4,23.0,36.0,89.0,0.15,0.2,0.35,0.15,0.35,0.18,0.14,0.32,0.18,0.32,Matches
Samu,pt POR,MF,28.0,31,20,1743.0,19.4,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,3.0,3.0,4.0,7.0,24.0,101.0,107.0,0.1,0.05,0.15,0.1,0.15,0.16,0.21,0.36,0.16,0.36,Matches
João Mendes,pt POR,"MF,FW",29.0,35,19,1806.0,20.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,2.1,2.1,2.4,4.5,39.0,97.0,133.0,0.2,0.1,0.3,0.2,0.3,0.12,0.14,0.26,0.12,0.26,Matches
Telmo Arcanjo,cv CPV,FW,23.0,28,17,1320.0,14.7,5.0,2.0,7.0,5.0,0.0,0.0,6.0,0.0,3.5,3.5,2.3,5.9,44.0,53.0,117.0,0.34,0.14,0.48,0.34,0.48,0.24,0.16,0.4,0.24,0.4,Matches
Miguel Maga,pt POR,DF,21.0,18,16,1391.0,15.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.1,1.3,23.0,61.0,96.0,0.0,0.06,0.06,0.0,0.06,0.01,0.07,0.08,0.01,0.08,Matches
Kaio,br BRA,FW,20.0,17,16,1299.0,14.4,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,2.7,2.7,2.3,5.0,45.0,61.0,125.0,0.14,0.21,0.35,0.14,0.35,0.18,0.16,0.35,0.18,0.35,Matches
Mikel Villanueva,ve VEN,DF,31.0,19,15,1342.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.6,0.6,0.0,0.6,8.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Bruno Gaspar,ao ANG,DF,31.0,13,10,918.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.9,1.1,17.0,45.0,72.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.02,0.11,Matches
Gustavo da Silva,br BRA,FW,25.0,21,9,871.0,9.7,7.0,0.0,7.0,7.0,0.0,0.0,4.0,0.0,5.0,5.0,1.3,6.3,25.0,18.0,74.0,0.72,0.0,0.72,0.72,0.72,0.52,0.13,0.65,0.52,0.65,Matches
Filipe Relvas,pt POR,DF,24.0,11,9,843.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.0,0.9,5.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Óscar Rivas,es ESP,DF,24.0,10,9,797.0,8.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,3.0,27.0,2.0,0.11,0.0,0.11,0.11,0.11,0.12,0.0,0.12,0.12,0.12,Matches
Manuel Manu,pt POR,MF,23.0,15,7,680.0,7.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.6,1.0,1.0,73.0,14.0,0.13,0.13,0.26,0.13,0.26,0.06,0.08,0.14,0.06,0.14,Matches
Alberto costa,pt POR,DF,20.0,10,7,675.0,7.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.5,1.7,30.0,31.0,52.0,0.0,0.27,0.27,0.0,0.27,0.03,0.2,0.23,0.03,0.23,Matches
Jesús Ramírez,ve VEN,FW,26.0,25,6,732.0,8.1,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,4.8,4.8,0.4,5.2,5.0,9.0,46.0,0.37,0.25,0.61,0.37,0.61,0.59,0.05,0.64,0.59,0.64,Matches
Vando Félix,gw GNB,"FW,MF",21.0,16,5,548.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.5,0.8,20.0,16.0,51.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches
Jorge Filipe Oliveira Fernandes,pt POR,DF,27.0,6,5,415.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,2.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,Matches
Dieu-Merci Michel,ca CAN,FW,20.0,9,4,371.0,4.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,0.1,1.6,2.0,2.0,13.0,0.49,0.0,0.49,0.49,0.49,0.37,0.01,0.38,0.37,0.38,Matches
Ricardo Mangas,pt POR,FW,26.0,4,4,339.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.3,1.2,9.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.24,0.07,0.32,0.24,0.32,Matches
Tomás Ribeiro,pt POR,DF,25.0,4,3,315.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,7.0,1.0,0.29,0.0,0.29,0.29,0.29,0.07,0.0,0.07,0.07,0.07,Matches
Hevertton Santos,br BRA,DF,23.0,6,2,261.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,4.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
Beni,ao ANG,MF,22.0,7,2,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Zé Carlos,pt POR,"MF,DF",22.0,7,1,122.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Úmaro Embaló,pt POR,"FW,MF",23.0,7,0,148.0,1.6,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.7,1.7,0.0,1.7,4.0,4.0,16.0,1.22,0.0,1.22,1.22,1.22,1.06,0.0,1.06,1.06,1.06,Matches
José Bica,pt POR,"FW,MF",21.0,4,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.69,0.2,0.89,0.69,0.89,Matches
Marco Cruz,pt POR,"DF,MF",20.0,2,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Charles,br BRA,GK,30.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diogo Lobão,pt POR,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jose Ribeiro,pt POR,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ricardo Ribeiro,pt POR,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rodrigo Silva,pt POR,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Opponent Total,,,26.0,34,374,3060.0,34.0,37.0,21.0,58.0,32.0,5.0,7.0,100.0,4.0,32.4,27.2,19.4,46.7,364.0,935.0,922.0,1.09,0.62,1.71,0.94,1.56,0.95,0.57,1.52,0.8,1.37,
Óscar Aranda,es ESP,FW,22.0,33,33,2599.0,28.9,9.0,3.0,12.0,5.0,4.0,5.0,5.0,0.0,7.3,3.4,2.4,5.8,69.0,126.0,140.0,0.31,0.1,0.42,0.17,0.28,0.25,0.08,0.34,0.12,0.2,Matches
Gustavo sá,pt POR,MF,19.0,33,32,2520.0,28.0,4.0,6.0,10.0,4.0,0.0,0.0,7.0,0.0,3.7,3.7,3.5,7.2,42.0,117.0,149.0,0.14,0.21,0.36,0.14,0.36,0.13,0.13,0.26,0.13,0.26,Matches
Enea Mihaj,al ALB,DF,26.0,29,29,2533.0,28.1,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.2,1.2,8.0,73.0,2.0,0.0,0.04,0.04,0.0,0.04,0.04,0.01,0.04,0.04,0.04,Matches
Justin de Haas,nl NED,DF,24.0,29,27,2468.0,27.4,2.0,0.0,2.0,1.0,1.0,1.0,5.0,0.0,1.9,1.1,0.2,1.3,9.0,79.0,4.0,0.07,0.0,0.07,0.04,0.04,0.07,0.01,0.08,0.04,0.05,Matches
Mirko Topić,rs SRB,MF,23.0,33,25,2321.0,25.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.2,1.2,0.6,1.8,33.0,134.0,36.0,0.04,0.0,0.04,0.04,0.04,0.05,0.02,0.07,0.05,0.07,Matches
Rafa Soares,pt POR,DF,29.0,26,24,2085.0,23.2,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,3.6,4.0,32.0,94.0,110.0,0.0,0.09,0.09,0.0,0.09,0.02,0.16,0.17,0.02,0.17,Matches
Marcos Vinicios Sorriso,br BRA,"FW,MF",23.0,29,24,2020.0,22.4,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,5.2,5.2,3.8,9.1,45.0,61.0,175.0,0.36,0.18,0.53,0.36,0.53,0.23,0.17,0.4,0.23,0.4,Matches
Rodrigo Pinheiro,pt POR,DF,21.0,29,21,1999.0,22.2,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,2.0,2.7,43.0,99.0,111.0,0.0,0.09,0.09,0.0,0.09,0.04,0.09,0.12,0.04,0.12,Matches
Tom van de Looi,nl NED,MF,25.0,27,18,1753.0,19.5,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.8,1.5,10.0,128.0,14.0,0.0,0.1,0.1,0.0,0.1,0.04,0.04,0.08,0.04,0.08,Matches
Lazar Carević,me MNE,GK,25.0,18,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Calegari,br BRA,DF,22.0,18,17,1489.0,16.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.8,16.0,49.0,53.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,Matches
Zaydou Youssouf,km COM,MF,25.0,17,17,1336.0,14.8,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.2,2.2,0.6,2.7,9.0,50.0,38.0,0.13,0.0,0.13,0.13,0.13,0.15,0.04,0.18,0.15,0.18,Matches
Ivan Zlobin,ru RUS,GK,27.0,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gil Bastião Dias,pt POR,"FW,MF",27.0,30,13,1406.0,15.6,5.0,2.0,7.0,5.0,0.0,0.0,7.0,0.0,2.8,2.8,1.1,3.8,45.0,61.0,123.0,0.32,0.13,0.45,0.32,0.45,0.18,0.07,0.24,0.18,0.24,Matches
Rochinha,pt POR,FW,29.0,22,12,902.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.7,1.3,16.0,35.0,48.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.13,0.06,0.13,Matches
Mathias De Amorim,fr FRA,MF,19.0,24,10,1072.0,11.9,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.2,1.2,1.5,2.6,13.0,62.0,60.0,0.08,0.08,0.17,0.08,0.17,0.1,0.12,0.22,0.1,0.22,Matches
Václav Sejk,cz CZE,FW,22.0,16,10,858.0,9.5,3.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,4.0,7.0,13.0,44.0,0.31,0.1,0.42,0.31,0.42,0.32,0.1,0.42,0.32,0.42,Matches
Simon Elisor,fr FRA,FW,25.0,15,6,597.0,6.6,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.6,3.6,0.5,4.1,11.0,10.0,37.0,0.6,0.0,0.6,0.6,0.6,0.54,0.08,0.62,0.54,0.62,Matches
Riccieli,br BRA,DF,25.0,8,6,586.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,3.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Leonardo Realpe,ec ECU,DF,23.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.12,0.11,0.12,Matches
Moura,pt POR,DF,24.0,4,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,9.0,9.0,19.0,0.0,0.25,0.25,0.0,0.25,0.01,0.13,0.14,0.01,0.14,Matches
Mario González,es ESP,FW,28.0,16,3,576.0,6.4,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.9,1.9,0.5,2.4,3.0,4.0,31.0,0.31,0.31,0.62,0.31,0.62,0.29,0.08,0.37,0.29,0.37,Matches
Pedro Bondo,ao ANG,DF,19.0,6,2,181.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.1,0.1,0.8,0.9,8.0,4.0,10.0,0.5,0.5,0.99,0.5,0.99,0.05,0.42,0.47,0.05,0.47,Matches
Otso Liimatta,fi FIN,"FW,MF",20.0,5,1,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,2.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.21,0.07,0.28,0.21,0.28,Matches
Ibrahima Ba,sn SEN,DF,19.0,2,1,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches
Luiz Lúcio Reis Júnior,br BRA,GK,23.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Samuel Lobato,pt POR,"FW,MF",22.0,12,0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yassir Zabiri,ma MAR,"FW,MF",19.0,5,0,58.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.0,2.0,4.0,1.55,0.0,1.55,1.55,1.55,0.98,0.0,0.98,0.98,0.98,Matches
Otar Mamageishvili,ge GEO,MF,21.0,4,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Leonardo Oliveira,pt POR,FW,19.0,1,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Afonso Rodrigues,pt POR,"MF,FW",21.0,3,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.68,0.68,0.68,Matches
Gustavo Assuncao,pt POR,MF,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diogo Cabral,pt POR,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gabriel Cabral,br BRA,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diogo Costa,pt POR,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Hugo Cunha,pt POR,GK,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rodrigo Ribeiro,pt POR,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Opponent Total,,,26.0,34,374,3060.0,34.0,38.0,29.0,67.0,34.0,4.0,5.0,112.0,4.0,43.0,39.0,31.3,70.3,415.0,1099.0,1087.0,1.12,0.85,1.97,1.0,1.85,1.27,0.92,2.19,1.15,2.07,
Pedro Álvaro,pt POR,DF,24.0,31,31,2623.0,29.1,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.9,0.9,0.3,1.3,8.0,57.0,5.0,0.03,0.03,0.07,0.03,0.07,0.03,0.01,0.04,0.03,0.04,Matches
Joel Robles,es ESP,GK,34.0,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kévin Boma,tg TOG,DF,21.0,29,29,2467.0,27.4,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.3,1.3,0.2,1.5,4.0,56.0,4.0,0.04,0.0,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06,Matches
Wagner Pina,cv CPV,"DF,MF",21.0,30,28,2368.0,26.3,2.0,4.0,6.0,2.0,0.0,0.0,5.0,1.0,2.0,2.0,2.8,4.8,42.0,54.0,145.0,0.08,0.15,0.23,0.08,0.23,0.08,0.1,0.18,0.08,0.18,Matches
Pedro Amaral,pt POR,"DF,MF",26.0,29,27,2395.0,26.6,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,2.1,2.8,30.0,100.0,103.0,0.0,0.08,0.08,0.0,0.08,0.03,0.08,0.11,0.03,0.11,Matches
João Carvalho,pt POR,"MF,FW",27.0,28,27,2308.0,25.6,6.0,3.0,9.0,6.0,0.0,0.0,5.0,1.0,1.8,1.8,4.1,5.9,39.0,135.0,128.0,0.23,0.12,0.35,0.23,0.35,0.07,0.16,0.23,0.07,0.23,Matches
Jordan Holsgrove,sct SCO,MF,24.0,28,26,2383.0,26.5,1.0,4.0,5.0,1.0,0.0,0.0,6.0,0.0,1.1,1.1,4.0,5.1,26.0,176.0,36.0,0.04,0.15,0.19,0.04,0.19,0.04,0.15,0.19,0.04,0.19,Matches
Yanis Begraoui,ma MAR,"FW,MF",23.0,34,25,1913.0,21.3,11.0,3.0,14.0,9.0,2.0,4.0,1.0,0.0,10.8,7.7,3.4,11.0,28.0,46.0,111.0,0.52,0.14,0.66,0.42,0.56,0.51,0.16,0.67,0.36,0.52,Matches
Vinícius Zanocelo,br BRA,MF,23.0,30,23,2075.0,23.1,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,2.2,2.0,0.2,2.3,11.0,106.0,34.0,0.09,0.0,0.09,0.09,0.09,0.1,0.01,0.11,0.09,0.1,Matches
