Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Balázs Tóth,hu HUN,GK,26.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adam Forshaw,eng ENG,MF,32.0,16,5,563.0,6.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,0.4,3.0,22.0,4.0,0.16,0.0,0.16,0.16,0.16,0.05,0.01,0.06,0.05,0.06,Matches
Dion Sanderson,eng ENG,DF,24.0,12,4,567.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Cauley Woodrow,eng ENG,"MF,FW",29.0,9,2,222.0,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,3.0,5.0,16.0,0.0,0.41,0.41,0.0,0.41,0.04,0.19,0.23,0.04,0.23,Matches
Augustus Kargbo,sl SLE,FW,24.0,8,2,186.0,2.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.8,9.0,6.0,13.0,0.0,0.48,0.48,0.0,0.48,0.21,0.17,0.38,0.21,0.38,Matches
Emmanuel Dennis,ng NGA,"FW,MF",26.0,6,1,160.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.5,0.6,8.0,11.0,16.0,0.0,0.56,0.56,0.0,0.56,0.07,0.3,0.37,0.07,0.37,Matches
Kristi Montgomery,sct SCO,DF,20.0,3,1,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Harry Leonard,eng ENG,"FW,MF",20.0,9,0,149.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7,1.7,0.3,2.1,1.0,2.0,11.0,0.6,0.0,0.6,0.6,0.6,1.06,0.2,1.26,1.06,1.26,Matches
Arnór Sigurðsson,is ISL,"FW,MF",25.0,5,0,62.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,1.0,7.0,6.0,1.45,0.0,1.45,1.45,1.45,0.2,0.06,0.26,0.2,0.26,Matches
Sammie Szmodics,ie IRL,MF,28.0,1,0,26.0,0.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.8,1.0,1.0,0.0,3.46,3.46,6.92,3.46,6.92,0.36,2.29,2.65,0.36,2.65,Matches
Igor Tyjon,eng ENG,FW,16.0,2,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leonard Duru,eng ENG,DF,19.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kyle McFadzean,sct SCO,FW,37.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tom Atcheson,nir NIR,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
