Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,PlSqu
Alaves,Carlos Benavidez,295,uy URU,MF,es La Liga,26,1998,5.4,1,5,2,40.0,0.92,0.37,0.20,0.50,21.4,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Carlos BenavidezAlaves
Parma,Adrian Benedyczak,296,pl POL,"FW,MF",it Serie A,23,2000,2.4,0,3,0,0.0,1.26,0.00,0.00,,18.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Adrian BenedyczakParma
Union Berlin,Laszlo Benes,297,sk SVK,"MF,FW",de Bundesliga,26,1997,6.5,2,19,7,36.8,2.90,1.07,0.11,0.29,22.1,2,0,0,0.9,0.9,0.05,+1.1,+1.1,Laszlo BenesUnion Berlin
Osasuna,Iker Benito,298,es ESP,"FW,MF",es La Liga,21,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Iker BenitoOsasuna
Milan,Ismael Bennacer,299,dz ALG,MF,it Serie A,26,1997,3.3,0,3,2,66.7,0.90,0.60,0.00,0.00,31.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Ismael BennacerMilan
Marseille,Ismael Bennacer,300,dz ALG,MF,fr Ligue 1,26,1997,7.2,0,3,0,0.0,0.42,0.00,0.00,,24.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Ismael BennacerMarseille
Lyon,Said Benrahma,301,dz ALG,"FW,MF",fr Ligue 1,28,1995,8.2,1,17,4,23.5,2.08,0.49,0.06,0.25,20.2,1,0,0,2.0,2.0,0.12,-1.0,-1.0,Said BenrahmaLyon
Dortmund,Ramy Bensebaini,302,dz ALG,DF,de Bundesliga,29,1995,22.5,1,20,2,10.0,0.89,0.09,0.05,0.50,13.7,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Ramy BensebainiDortmund
Lille,Nabil Bentaleb,303,dz ALG,MF,fr Ligue 1,29,1994,3.7,1,5,1,20.0,1.37,0.27,0.20,1.00,24.8,2,0,0,0.7,0.7,0.15,+0.3,+0.3,Nabil BentalebLille
Tottenham,Rodrigo Bentancur,304,uy URU,MF,eng Premier League,27,1997,18.3,2,22,5,22.7,1.20,0.27,0.09,0.40,17.4,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Rodrigo BentancurTottenham
Wolves,Daniel Bentley,305,eng ENG,GK,eng Premier League,31,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Daniel BentleyWolves
