Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,PlSqu
Villarreal,Logan Costa,611,cv CPV,DF,es La Liga,23,2001,28.7,2,12,5,41.7,0.42,0.17,0.17,0.40,15.9,0,0,0,0.7,0.7,0.05,+1.3,+1.3,Logan CostaVillarreal
Toulouse,Logan Costa,612,cv CPV,DF,fr Ligue 1,23,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Logan CostaToulouse
Mallorca,Samu Costa,613,pt POR,MF,es La Liga,23,2000,29.4,0,30,8,26.7,1.02,0.27,0.00,0.00,18.3,1,0,0,1.8,1.8,0.06,-1.8,-1.8,Samu CostaMallorca
Brest,Gregoire Coudert,614,fr FRA,GK,fr Ligue 1,25,1999,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Gregoire CoudertBrest
West Ham,Vladimir Coufal,615,cz CZE,DF,eng Premier League,31,1992,11.9,0,7,2,28.6,0.59,0.17,0.00,0.00,15.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Vladimir CoufalWest Ham
Lecce,Lassana Coulibaly,616,ml MLI,MF,it Serie A,28,1996,29.6,1,9,3,33.3,0.30,0.10,0.11,0.33,18.7,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Lassana CoulibalyLecce
Auxerre,Lasso Coulibaly,617,ci CIV,"FW,MF",fr Ligue 1,21,2002,0.5,1,3,2,66.7,6.00,4.00,0.33,0.50,16.2,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Lasso CoulibalyAuxerre
Monaco,Mamadou Coulibaly,618,fr FRA,MF,fr Ligue 1,20,2004,0.1,0,1,0,0.0,11.25,0.00,0.00,,22.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Mamadou CoulibalyMonaco
Brest,Soumaila Coulibaly,619,fr FRA,DF,fr Ligue 1,20,2003,4.9,0,4,0,0.0,0.82,0.00,0.00,,12.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Soumaila CoulibalyBrest
Montpellier,Tanguy Coulibaly,620,fr FRA,"FW,MF",fr Ligue 1,23,2001,16.5,3,30,13,43.3,1.82,0.79,0.10,0.23,15.4,0,0,0,3.5,3.5,0.12,-0.5,-0.5,Tanguy CoulibalyMontpellier
Leicester City,Woyo Coulibaly,621,ml MLI,DF,eng Premier League,25,1999,1.2,0,2,1,50.0,1.65,0.83,0.00,0.00,19.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Woyo CoulibalyLeicester City
Parma,Woyo Coulibaly,622,ml MLI,DF,it Serie A,25,1999,12.0,0,3,0,0.0,0.25,0.00,0.00,,23.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Woyo CoulibalyParma
Angers,Marius Courcoul,623,fr FRA,"MF,DF",fr Ligue 1,17,2007,3.4,0,3,1,33.3,0.87,0.29,0.00,0.00,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Marius CourcoulAngers
Real Madrid,Thibaut Courtois,624,be BEL,GK,es La Liga,32,1992,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Thibaut CourtoisReal Madrid
Dortmund,Yan Couto,625,br BRA,"DF,FW",de Bundesliga,22,2002,9.9,0,6,2,33.3,0.60,0.20,0.00,0.00,21.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Yan CoutoDortmund
Nantes,Nicolas Cozza,626,fr FRA,"DF,MF",fr Ligue 1,25,1999,22.8,1,17,6,35.3,0.75,0.26,0.06,0.17,17.9,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Nicolas CozzaNantes
West Ham,Aaron Cresswell,627,eng ENG,DF,eng Premier League,34,1989,9.2,0,5,0,0.0,0.55,0.00,0.00,,23.8,2,0,0,0.2,0.2,0.05,-0.2,-0.2,Aaron CresswellWest Ham
Toulouse,Charlie Cresswell,628,eng ENG,DF,fr Ligue 1,21,2002,28.8,3,32,13,40.6,1.11,0.45,0.09,0.23,9.5,0,0,0,3.3,3.3,0.10,-0.3,-0.3,Charlie CresswellToulouse
Roma,Bryan Cristante,629,it ITA,MF,it Serie A,29,1995,22.7,4,30,7,23.3,1.32,0.31,0.13,0.57,16.9,0,0,0,2.1,2.1,0.07,+1.9,+1.9,Bryan CristanteRoma
Venezia,Domen Crnigoj,630,si SVN,MF,it Serie A,28,1995,1.5,0,1,0,0.0,0.66,0.00,0.00,,10.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Domen CrnigojVenezia
Osasuna,Juan Cruz Armada,631,es ESP,DF,es La Liga,32,1992,16.6,0,4,0,0.0,0.24,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Juan Cruz ArmadaOsasuna
Leganes,Juan Cruz,632,es ESP,"FW,MF",es La Liga,24,2000,25.1,5,33,14,42.4,1.32,0.56,0.15,0.36,21.0,1,0,0,2.7,2.7,0.08,+2.3,+2.3,Juan CruzLeganes
Atalanta,Juan Cuadrado,633,co COL,"DF,MF",it Serie A,36,1988,9.2,0,16,4,25.0,1.73,0.43,0.00,0.00,16.0,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Juan CuadradoAtalanta
Barcelona,Pau Cubarsi,634,es ESP,DF,es La Liga,17,2007,29.1,0,8,0,0.0,0.28,0.00,0.00,,8.9,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Pau CubarsiBarcelona
Betis,Cucho,635,co COL,FW,es La Liga,25,1999,12.7,5,43,11,25.6,3.40,0.87,0.12,0.45,15.9,0,0,0,3.8,3.8,0.09,+1.2,+1.2,CuchoBetis
Chelsea,Marc Cucurella,636,es ESP,DF,eng Premier League,26,1998,33.2,5,24,11,45.8,0.72,0.33,0.21,0.45,16.1,0,0,0,2.8,2.8,0.12,+2.2,+2.2,Marc CucurellaChelsea
Fulham,Jorge Cuenca,637,es ESP,DF,eng Premier League,24,1999,3.9,0,1,0,0.0,0.26,0.00,0.00,,13.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Jorge CuencaFulham
Wolves,Matheus Cunha,638,br BRA,"MF,FW",eng Premier League,25,1999,28.9,15,110,44,40.0,3.81,1.52,0.14,0.34,20.5,12,0,0,8.6,8.6,0.08,+6.4,+6.4,Matheus CunhaWolves
Como,Patrick Cutrone,639,it ITA,FW,it Serie A,26,1998,22.7,7,69,26,37.7,3.03,1.14,0.10,0.27,15.9,0,0,1,7.1,6.3,0.09,-0.1,+0.7,Patrick CutroneComo
Gladbach,Tomas Cvancara,640,cz CZE,FW,de Bundesliga,23,2000,9.2,2,24,9,37.5,2.60,0.97,0.08,0.22,13.9,0,0,0,3.8,3.8,0.16,-1.8,-1.8,Tomas CvancaraGladbach
Parma,Wylan Cyprien,641,fr FRA,MF,it Serie A,29,1995,0.3,0,1,0,0.0,3.21,0.00,0.00,,15.2,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Wylan CyprienParma
Monza,Danilo D'Ambrosio,642,it ITA,DF,it Serie A,35,1988,12.2,0,9,4,44.4,0.74,0.33,0.00,0.00,18.0,1,0,0,0.5,0.5,0.06,-0.5,-0.5,Danilo D'AmbrosioMonza
Como,Lucas Da Cunha,643,fr FRA,MF,it Serie A,23,2001,29.0,3,37,14,37.8,1.27,0.48,0.08,0.21,23.8,3,0,0,2.0,2.0,0.05,+1.0,+1.0,Lucas Da CunhaComo
Roma,Samuel Dahl,644,se SWE,"DF,MF",it Serie A,24,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Samuel DahlRoma
Augsburg,Finn Dahmen,645,de GER,GK,de Bundesliga,26,1998,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Finn DahmenAugsburg
Holstein Kiel,Thomas Dahne,646,de GER,GK,de Bundesliga,30,1994,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Thomas DahneHolstein Kiel
Eint Frankfurt,Mahmoud Dahoud,647,de GER,MF,de Bundesliga,28,1996,4.0,1,7,2,28.6,1.73,0.49,0.14,0.50,22.6,1,0,0,0.5,0.5,0.08,+0.5,+0.5,Mahmoud DahoudEint Frankfurt
Leicester City,Patson Daka,648,zm ZAM,"FW,MF",eng Premier League,25,1998,8.2,1,15,4,26.7,1.83,0.49,0.07,0.25,14.8,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Patson DakaLeicester City
Stuttgart,Ameen Al-Dakhil,649,be BEL,DF,de Bundesliga,22,2002,4.8,0,1,0,0.0,0.21,0.00,0.00,,19.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Ameen Al-DakhilStuttgart
Bologna,Thijs Dallinga,650,nl NED,FW,it Serie A,23,2000,12.8,3,31,11,35.5,2.42,0.86,0.10,0.27,11.6,0,0,0,4.3,4.3,0.14,-1.3,-1.3,Thijs DallingaBologna
Manchester Utd,Diogo Dalot,651,pt POR,DF,eng Premier League,25,1999,31.3,0,25,5,20.0,0.80,0.16,0.00,0.00,16.1,0,0,0,2.0,2.0,0.08,-2.0,-2.0,Diogo DalotManchester Utd
Brentford,Mikkel Damsgaard,652,dk DEN,"MF,FW",eng Premier League,24,2000,32.3,2,35,7,20.0,1.08,0.22,0.06,0.29,17.6,3,0,0,2.8,2.8,0.08,-0.8,-0.8,Mikkel DamsgaardBrentford
Fiorentina,Maat Daniel Caprini,653,it ITA,FW,it Serie A,18,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Maat Daniel CapriniFiorentina
Hellas Verona,Flavius Daniliuc,654,at AUT,DF,it Serie A,23,2001,11.2,0,3,1,33.3,0.27,0.09,0.00,0.00,18.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Flavius DaniliucHellas Verona
Nott'ham Forest,Danilo,655,br BRA,"MF,FW",eng Premier League,23,2001,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,DaniloNott'ham Forest
Juventus,Danilo,656,br BRA,DF,it Serie A,33,1991,6.5,0,1,0,0.0,0.15,0.00,0.00,,8.2,0,0,0,0.1,0.1,0.10,-0.1,-0.1,DaniloJuventus
Villarreal,Arnaut Danjuma,657,nl NED,FW,es La Liga,27,1997,2.2,2,6,3,50.0,2.70,1.35,0.33,0.67,13.9,0,0,0,0.8,0.8,0.14,+1.2,+1.2,Arnaut DanjumaVillarreal
Girona,Arnaut Danjuma,658,nl NED,"FW,MF",es La Liga,27,1997,14.8,2,30,14,46.7,2.02,0.94,0.07,0.14,16.0,1,0,0,3.6,3.6,0.12,-1.6,-1.6,Arnaut DanjumaGirona
Liverpool,Jayden Danns,659,eng ENG,MF,eng Premier League,18,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Jayden DannsLiverpool
Auxerre,Kevin Danois,660,fr FRA,MF,fr Ligue 1,20,2004,16.2,0,17,3,17.6,1.05,0.18,0.00,0.00,17.4,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Kevin DanoisAuxerre
Tottenham,Kevin Danso,661,at AUT,DF,eng Premier League,25,1998,9.4,0,7,3,42.9,0.75,0.32,0.00,0.00,16.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Kevin DansoTottenham
Lens,Kevin Danso,662,at AUT,DF,fr Ligue 1,25,1998,12.0,0,10,2,20.0,0.83,0.17,0.00,0.00,13.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Kevin DansoLens
Nice,Dante,663,br BRA,DF,fr Ligue 1,40,1983,21.8,0,9,2,22.2,0.41,0.09,0.00,0.00,11.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5,DanteNice
Strasbourg,Pape Daouda Diongue,664,sn SEN,"MF,FW",fr Ligue 1,,,0.9,1,5,2,40.0,5.77,2.31,0.20,0.50,11.5,0,0,0,1.0,1.0,0.20,0.0,0.0,Pape Daouda DiongueStrasbourg
Reims,Mohamed Daramy,665,dk DEN,FW,fr Ligue 1,22,2002,0.2,0,1,0,0.0,5.63,0.00,0.00,,16.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Mohamed DaramyReims
Wolfsburg,Bence Dardai,666,hu HUN,MF,de Bundesliga,18,2006,14.5,1,11,1,9.1,0.76,0.07,0.09,1.00,14.8,0,0,0,1.0,1.0,0.10,0.0,0.0,Bence DardaiWolfsburg
Mallorca,Sergi Darder,667,es ESP,"MF,FW",es La Liga,30,1993,30.5,2,36,9,25.0,1.18,0.30,0.06,0.22,24.2,1,0,0,2.1,2.1,0.06,-0.1,-0.1,Sergi DarderMallorca
Inter,Matteo Darmian,668,it ITA,DF,it Serie A,34,1989,19.8,3,11,3,27.3,0.56,0.15,0.27,1.00,14.4,0,0,0,1.9,1.9,0.18,+1.1,+1.1,Matteo DarmianInter
Bochum,Lukas Daschner,669,de GER,"MF,FW",de Bundesliga,25,1998,4.6,1,8,4,50.0,1.75,0.87,0.13,0.25,15.8,0,0,1,2.7,1.9,0.24,-1.7,-0.9,Lukas DaschnerBochum
Juventus,Juan David Cabal,670,co COL,DF,it Serie A,23,2001,5.1,0,5,0,0.0,0.98,0.00,0.00,,21.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Juan David CabalJuventus
Lille,Jonathan David,671,ca CAN,FW,fr Ligue 1,24,2000,28.4,16,66,28,42.4,2.33,0.99,0.15,0.36,15.3,0,6,7,16.2,10.7,0.16,-0.2,-0.7,Jonathan DavidLille
Bayern Munich,Alphonso Davies,672,ca CAN,DF,de Bundesliga,23,2000,17.3,1,17,3,17.6,0.98,0.17,0.06,0.33,18.3,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Alphonso DaviesBayern Munich
Tottenham,Ben Davies,673,wls WAL,DF,eng Premier League,31,1993,14.8,0,5,1,20.0,0.34,0.07,0.00,0.00,17.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Ben DaviesTottenham
Udinese,Keinan Davis,674,eng ENG,FW,it Serie A,26,1998,11.8,2,29,11,37.9,2.45,0.93,0.07,0.18,12.7,0,0,0,2.9,2.9,0.10,-0.9,-0.9,Keinan DavisUdinese
Ipswich Town,Leif Davis,675,eng ENG,DF,eng Premier League,24,2000,30.5,1,16,2,12.5,0.52,0.07,0.06,0.50,19.8,2,0,0,1.0,1.0,0.06,0.0,0.0,Leif DavisIpswich Town
Saint-Etienne,Zuriko Davitashvili,676,ge GEO,"FW,MF",fr Ligue 1,23,2001,30.9,9,68,24,35.3,2.20,0.78,0.10,0.29,19.4,5,2,2,8.1,6.6,0.10,+0.9,+0.4,Zuriko DavitashviliSaint-Etienne
Hellas Verona,Pawel Dawidowicz,677,pl POL,"DF,MF",it Serie A,29,1995,20.5,0,4,0,0.0,0.20,0.00,0.00,,14.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Pawel DawidowiczHellas Verona
Wolves,Craig Dawson,678,eng ENG,DF,eng Premier League,34,1990,10.8,0,5,1,20.0,0.46,0.09,0.00,0.00,8.5,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Craig DawsonWolves
Manchester City,Kevin De Bruyne,679,be BEL,"MF,FW",eng Premier League,33,1991,18.9,4,57,15,26.3,3.01,0.79,0.07,0.27,21.4,8,0,0,5.1,5.1,0.09,-1.1,-1.1,Kevin De BruyneManchester City
Leicester City,Bobby De Cordova-Reid,680,jm JAM,FW,eng Premier League,31,1993,8.3,1,7,3,42.9,0.85,0.36,0.14,0.33,25.1,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Bobby De Cordova-ReidLeicester City
Atalanta,Charles De Ketelaere,681,be BEL,"MF,FW",it Serie A,23,2001,23.0,7,48,20,41.7,2.09,0.87,0.15,0.35,12.2,0,0,0,7.3,7.3,0.15,-0.3,-0.3,Charles De KetelaereAtalanta
Atletico Madrid,Rodrigo De Paul,682,ar ARG,MF,es La Liga,30,1994,23.4,3,19,4,21.1,0.81,0.17,0.16,0.75,24.3,0,0,0,1.3,1.3,0.07,+1.7,+1.7,Rodrigo De PaulAtletico Madrid
Auxerre,Theo De Percin,683,mq MTQ,GK,fr Ligue 1,23,2001,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Theo De PercinAuxerre
Empoli,Mattia De Sciglio,684,it ITA,DF,it Serie A,31,1992,8.5,1,5,3,60.0,0.59,0.35,0.20,0.33,16.9,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Mattia De SciglioEmpoli
Bologna,Lorenzo De Silvestri,685,it ITA,DF,it Serie A,36,1988,11.8,1,9,4,44.4,0.76,0.34,0.11,0.25,12.2,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Lorenzo De SilvestriBologna
Reims,Thibault De Smet,686,be BEL,DF,fr Ligue 1,26,1998,2.1,0,1,0,0.0,0.47,0.00,0.00,,12.3,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Thibault De SmetReims
Genoa,Koni De Winter,687,be BEL,DF,it Serie A,22,2002,23.7,3,13,7,53.8,0.55,0.30,0.23,0.43,8.8,0,0,0,2.1,2.1,0.16,+0.9,+0.9,Koni De WinterGenoa
Marseille,Amar Dedic,688,ba BIH,DF,fr Ligue 1,21,2002,3.5,0,6,2,33.3,1.72,0.57,0.00,0.00,18.3,0,0,0,0.9,0.9,0.15,-0.9,-0.9,Amar DedicMarseille
Cagliari,Alessandro Deiola,689,it ITA,MF,it Serie A,28,1995,15.9,2,18,5,27.8,1.13,0.31,0.11,0.40,18.1,0,0,0,1.7,1.7,0.10,+0.3,+0.3,Alessandro DeiolaCagliari
Brest,Romain Del Castillo,690,fr FRA,FW,fr Ligue 1,28,1996,14.0,6,17,8,47.1,1.22,0.57,0.18,0.38,19.7,0,3,4,4.7,1.5,0.09,+1.3,+1.5,Romain Del CastilloBrest
Parma,Enrico Del Prato,691,it ITA,DF,it Serie A,24,1999,32.7,4,12,5,41.7,0.37,0.15,0.33,0.80,12.0,0,0,0,2.0,2.0,0.17,+2.0,+2.0,Enrico Del PratoParma
Strasbourg,Thomas Delaine,692,fr FRA,DF,fr Ligue 1,32,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Thomas DelaineStrasbourg
Ipswich Town,Liam Delap,693,eng ENG,FW,eng Premier League,21,2003,28.8,12,66,29,43.9,2.29,1.01,0.15,0.34,16.0,0,2,2,9.3,7.8,0.12,+2.7,+2.2,Liam DelapIpswich Town
Lazio,Fisayo Dele-Bashiru,694,ng NGA,"MF,FW",it Serie A,23,2001,10.5,3,16,5,31.3,1.52,0.48,0.19,0.60,20.9,0,0,0,1.1,1.1,0.07,+1.9,+1.9,Fisayo Dele-BashiruLazio
Montpellier,Andy Delort,695,dz ALG,FW,fr Ligue 1,32,1991,6.7,0,17,6,35.3,2.52,0.89,0.00,0.00,15.7,0,0,0,1.3,1.3,0.08,-1.3,-1.3,Andy DelortMontpellier
Werder Bremen,Olivier Deman,696,be BEL,DF,de Bundesliga,24,2000,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Olivier DemanWerder Bremen
Torino,Ali Dembele,697,fr FRA,DF,it Serie A,20,2004,4.3,1,5,2,40.0,1.16,0.46,0.20,0.50,13.3,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Ali DembeleTorino
Paris S-G,Ousmane Dembele,698,fr FRA,FW,fr Ligue 1,27,1997,19.2,21,96,49,51.0,4.99,2.55,0.21,0.41,16.0,0,1,1,16.6,15.8,0.16,+4.4,+4.2,Ousmane DembeleParis S-G
Stuttgart,Ermedin Demirovic,699,ba BIH,FW,de Bundesliga,26,1998,20.6,15,64,27,42.2,3.11,1.31,0.23,0.56,11.3,0,0,2,14.1,12.4,0.19,+0.9,+2.6,Ermedin DemirovicStuttgart
Brentford,Sepp van den Berg,700,nl NED,DF,eng Premier League,22,2001,28.7,0,20,6,30.0,0.70,0.21,0.00,0.00,10.5,0,0,0,2.0,2.0,0.10,-2.0,-2.0,Sepp van den BergBrentford
Lyon,Remy Descamps,701,fr FRA,GK,fr Ligue 1,28,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Remy DescampsLyon
Le Havre,Arthur Desmas,702,fr FRA,GK,fr Ligue 1,30,1994,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Arthur DesmasLe Havre
Crystal Palace,Justin Devenny,703,nir NIR,MF,eng Premier League,20,2003,5.6,1,10,6,60.0,1.78,1.07,0.10,0.17,21.1,1,0,0,0.8,0.8,0.08,+0.2,+0.2,Justin DevennyCrystal Palace
Chelsea,Kiernan Dewsbury-Hall,704,eng ENG,"MF,FW",eng Premier League,25,1998,2.9,0,1,0,0.0,0.34,0.00,0.00,,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Kiernan Dewsbury-HallChelsea
Juventus,Michele Di Gregorio,705,it ITA,GK,it Serie A,27,1997,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Michele Di GregorioJuventus
Napoli,Giovanni Di Lorenzo,706,it ITA,DF,it Serie A,30,1993,37.0,3,21,6,28.6,0.57,0.16,0.14,0.50,11.4,0,0,0,2.8,2.8,0.15,+0.2,+0.2,Giovanni Di LorenzoNapoli
Lazio,Boulaye Dia,707,sn SEN,"MF,FW",it Serie A,27,1996,24.2,9,39,19,48.7,1.61,0.79,0.23,0.47,13.3,0,0,0,7.1,7.1,0.18,+1.9,+1.9,Boulaye DiaLazio
Valencia,Mouctar Diakhaby,708,gn GUI,DF,es La Liga,27,1996,7.3,2,11,4,36.4,1.52,0.55,0.18,0.50,9.0,0,0,0,1.5,1.5,0.13,+0.5,+0.5,Mouctar DiakhabyValencia
Reims,Mamadou Diakhon,709,fr FRA,"FW,MF",fr Ligue 1,18,2005,9.5,2,18,8,44.4,1.89,0.84,0.11,0.25,19.2,2,0,0,1.0,1.0,0.06,+1.0,+1.0,Mamadou DiakhonReims
Lille,Bafode Diakite,710,fr FRA,DF,fr Ligue 1,23,2001,30.7,4,16,7,43.8,0.52,0.23,0.25,0.57,8.3,0,0,0,2.3,2.3,0.15,+1.7,+1.7,Bafode DiakiteLille
Reims,Oumar Diakite,711,ci CIV,FW,fr Ligue 1,20,2003,18.1,4,26,9,34.6,1.44,0.50,0.15,0.44,12.1,0,0,1,5.5,4.7,0.18,-1.5,-0.7,Oumar DiakiteReims
Manchester Utd,Amad Diallo,712,ci CIV,"MF,FW",eng Premier League,22,2002,21.1,8,47,17,36.2,2.23,0.80,0.17,0.47,17.5,0,0,0,4.7,4.7,0.10,+3.3,+3.3,Amad DialloManchester Utd
Como,Assane Diao,713,sn SEN,"FW,MF",it Serie A,18,2005,13.9,8,28,13,46.4,2.01,0.93,0.29,0.62,15.5,0,0,0,4.0,4.0,0.14,+4.0,+4.0,Assane DiaoComo
Betis,Assane Diao,714,sn SEN,FW,es La Liga,18,2005,3.1,1,7,1,14.3,2.27,0.32,0.14,1.00,14.4,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Assane DiaoBetis
Strasbourg,Habib Diarra,715,sn SEN,"MF,FW",fr Ligue 1,20,2004,26.1,4,25,10,40.0,0.96,0.38,0.08,0.20,20.2,1,2,2,3.3,1.8,0.07,+0.7,+0.2,Habib DiarraStrasbourg
Alaves,Moussa Diarra,716,ml MLI,DF,es La Liga,23,2000,20.7,0,1,0,0.0,0.05,0.00,0.00,,25.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Moussa DiarraAlaves
Manchester City,Ruben Dias,717,pt POR,DF,eng Premier League,27,1997,25.2,0,21,7,33.3,0.83,0.28,0.00,0.00,19.4,0,0,0,1.5,1.5,0.07,-1.5,-1.5,Ruben DiasManchester City
Monaco,Krepin Diatta,718,sn SEN,"DF,FW",fr Ligue 1,25,1999,5.6,0,2,1,50.0,0.35,0.18,0.00,0.00,13.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Krepin DiattaMonaco
Le Havre,Kandet Diawara,719,gn GUI,FW,fr Ligue 1,24,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Kandet DiawaraLe Havre
Le Havre,Mahamadou Diawara,720,fr FRA,MF,fr Ligue 1,19,2005,6.5,0,7,1,14.3,1.08,0.15,0.00,0.00,20.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Mahamadou DiawaraLe Havre
Lyon,Mahamadou Diawara,721,fr FRA,MF,fr Ligue 1,19,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Mahamadou DiawaraLyon
Real Madrid,Brahim Diaz,722,ma MAR,"FW,MF",es La Liga,24,1999,15.4,4,28,15,53.6,1.82,0.97,0.14,0.27,12.6,0,0,0,5.3,5.3,0.19,-1.3,-1.3,Brahim DiazReal Madrid
Real Sociedad,Daniel Diaz,723,es ESP,MF,es La Liga,18,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Daniel DiazReal Sociedad
Liverpool,Luis Diaz,724,co COL,FW,eng Premier League,27,1997,26.7,13,71,30,42.3,2.66,1.13,0.18,0.43,13.4,0,0,0,12.0,12.0,0.17,+1.0,+1.0,Luis DiazLiverpool
Rayo Vallecano,Pedro Diaz,725,es ESP,MF,es La Liga,26,1998,13.5,3,31,7,22.6,2.30,0.52,0.10,0.43,24.6,1,0,1,2.4,1.6,0.05,+0.6,+1.4,Pedro DiazRayo Vallecano
Southampton,Tyler Dibling,726,eng ENG,"FW,MF",eng Premier League,18,2006,20.8,2,28,9,32.1,1.34,0.43,0.07,0.22,19.3,0,0,0,2.5,2.5,0.09,-0.5,-0.5,Tyler DiblingSouthampton
Leganes,Diego,727,es ESP,FW,es La Liga,24,2000,13.3,3,29,9,31.0,2.18,0.68,0.10,0.33,14.1,0,0,0,3.8,3.8,0.13,-0.8,-0.8,DiegoLeganes
Stuttgart,Justin Diehl,728,de GER,"FW,DF",de Bundesliga,19,2004,1.2,1,7,1,14.3,6.06,0.87,0.14,1.00,15.8,0,0,0,1.0,1.0,0.14,0.0,0.0,Justin DiehlStuttgart
Angers,Bamba Dieng,729,sn SEN,FW,fr Ligue 1,24,2000,5.9,3,13,6,46.2,2.20,1.02,0.15,0.33,18.5,2,1,1,3.1,2.3,0.18,-0.1,-0.3,Bamba DiengAngers
Bayern Munich,Eric Dier,730,eng ENG,DF,de Bundesliga,30,1994,16.3,2,9,5,55.6,0.55,0.31,0.22,0.40,6.3,0,0,0,1.1,1.1,0.12,+0.9,+0.9,Eric DierBayern Munich
Aston Villa,Lucas Digne,731,fr FRA,DF,eng Premier League,31,1993,26.1,0,13,3,23.1,0.50,0.11,0.00,0.00,22.7,5,0,0,0.8,0.8,0.06,-0.8,-0.8,Lucas DigneAston Villa
Lens,Kembo Diliwidi,732,fr FRA,DF,fr Ligue 1,18,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Kembo DiliwidiLens
Inter,Federico Dimarco,733,it ITA,"DF,FW",it Serie A,26,1997,24.2,4,56,21,37.5,2.32,0.87,0.07,0.19,20.1,8,0,0,3.3,3.3,0.06,+0.7,+0.7,Federico DimarcoInter
Valencia,Stole Dimitrievski,734,mk MKD,GK,es La Liga,30,1993,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Stole DimitrievskiValencia
