Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,PlSqu
Leganes,Julian Chicco,546,ar ARG,"MF,DF",es La Liga,26,1998,3.4,0,0,0,1,3,0,3,4,7,0,0,0,12,1,10,9.1,Julian ChiccoLeganes
Parma,Leandro Chichizola,547,ar ARG,GK,it Serie A,34,1990,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Leandro ChichizolaParma
Liverpool,Federico Chiesa,548,it ITA,FW,eng Premier League,26,1997,1.2,0,0,0,3,2,0,2,0,0,0,0,0,6,0,4,0.0,Federico ChiesaLiverpool
Crystal Palace,Ben Chilwell,549,eng ENG,DF,eng Premier League,27,1996,2.9,1,0,0,2,3,2,7,6,6,0,0,0,20,3,4,42.9,Ben ChilwellCrystal Palace
Wolves,Chiquinho,550,pt POR,MF,eng Premier League,24,2000,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,ChiquinhoWolves
Mallorca,Chiquinho,551,pt POR,"MF,FW",es La Liga,24,2000,1.6,2,0,0,6,8,0,9,2,0,0,0,0,10,0,5,0.0,ChiquinhoMallorca
Nantes,Pedro Chirivella,552,es ESP,MF,fr Ligue 1,27,1997,26.1,6,0,0,25,16,0,19,19,29,0,0,0,116,10,14,41.7,Pedro ChirivellaNantes
Montpellier,Joris Chotard,553,fr FRA,MF,fr Ligue 1,22,2001,21.0,5,0,0,16,10,1,30,19,27,0,1,0,90,16,11,59.3,Joris ChotardMontpellier
Leicester City,Hamza Choudhury,554,bd BAN,"MF,DF",eng Premier League,26,1997,1.5,0,0,0,1,0,0,5,5,1,0,0,0,2,0,0,,Hamza ChoudhuryLeicester City
Barcelona,Andreas Christensen,555,dk DEN,DF,es La Liga,28,1996,2.8,3,0,0,5,0,0,0,4,4,0,0,0,14,11,3,78.6,Andreas ChristensenBarcelona
Bournemouth,Ryan Christie,556,sct SCO,MF,eng Premier League,29,1995,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7,Ryan ChristieBournemouth
Dortmund,Carney Chukwuemeka,557,eng ENG,MF,de Bundesliga,20,2003,2.8,1,0,0,4,5,1,1,1,5,0,0,0,12,6,8,42.9,Carney ChukwuemekaDortmund
Milan,Samuel Chukwueze,558,ng NGA,"FW,MF",it Serie A,25,1999,10.3,0,0,0,3,10,3,50,2,11,0,0,0,38,6,10,37.5,Samuel ChukwuezeMilan
Torino,Aaron Ciammaglichella,559,it ITA,MF,it Serie A,19,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aaron CiammaglichellaTorino
Las Palmas,Jasper Cillessen,560,nl NED,GK,es La Liga,35,1989,25.9,1,0,0,0,5,0,0,0,0,0,0,0,20,2,2,50.0,Jasper CillessenLas Palmas
Cagliari,Giuseppe Ciocci,561,it ITA,GK,it Serie A,22,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Giuseppe CiocciCagliari
Parma,Alessandro Circati,562,au AUS,DF,it Serie A,20,2003,6.0,1,0,0,4,5,0,0,3,5,0,0,0,11,17,4,81.0,Alessandro CircatiParma
Rayo Vallecano,Pathe Ciss,563,sn SEN,"MF,DF",es La Liga,30,1994,23.8,12,0,0,45,25,0,4,40,24,0,2,0,148,48,30,61.5,Pathe CissRayo Vallecano
Hellas Verona,Alphadjo Cisse,564,it ITA,"FW,MF",it Serie A,17,2006,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0,Alphadjo CisseHellas Verona
Rennes,Djaoui Cisse,565,fr FRA,MF,fr Ligue 1,20,2004,12.5,4,0,0,25,14,0,3,13,18,0,0,0,78,4,13,23.5,Djaoui CisseRennes
Leganes,Seydouba Cisse,566,gn GUI,MF,es La Liga,23,2001,27.1,3,1,0,39,25,2,10,12,37,1,1,0,154,25,38,39.7,Seydouba CisseLeganes
Auxerre,Yoann Cisse,567,fr FRA,MF,fr Ligue 1,19,2004,0.1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,,Yoann CisseAuxerre
Monza,Patrick Ciurria,568,it ITA,"MF,DF",it Serie A,29,1995,12.3,1,0,0,17,11,1,61,6,14,0,0,0,32,5,15,25.0,Patrick CiurriaMonza
Ipswich Town,Harry Clarke,569,eng ENG,DF,eng Premier League,23,2001,4.2,3,1,1,5,1,0,5,4,3,0,1,0,17,10,4,71.4,Harry ClarkeIpswich Town
Ipswich Town,Jack Clarke,570,eng ENG,"FW,MF",eng Premier League,23,2000,13.1,2,0,0,15,23,3,13,7,20,0,0,0,75,7,18,28.0,Jack ClarkeIpswich Town
Augsburg,Alexis Claude-Maurice,571,fr FRA,"MF,FW",de Bundesliga,26,1998,23.4,4,0,0,26,42,3,21,15,26,1,0,0,72,14,23,37.8,Alexis Claude-MauriceAugsburg
Nice,Jonathan Clauss,572,fr FRA,"DF,MF",fr Ligue 1,31,1992,25.6,7,0,0,26,12,1,190,48,35,1,0,0,114,16,11,59.3,Jonathan ClaussNice
Girona,Silvi Clua,573,es ESP,MF,es La Liga,19,2005,1.8,0,0,0,5,0,0,0,2,7,0,0,0,4,6,3,66.7,Silvi CluaGirona
Crystal Palace,Nathaniel Clyne,574,eng ENG,"DF,MF",eng Premier League,33,1991,5.4,1,0,0,2,2,0,7,3,8,0,0,0,10,1,7,12.5,Nathaniel ClyneCrystal Palace
Leicester City,Conor Coady,575,eng ENG,DF,eng Premier League,31,1993,19.0,3,0,0,8,2,1,0,13,9,0,2,0,62,13,22,37.1,Conor CoadyLeicester City
Nantes,Marcus Coco,576,fr FRA,DF,fr Ligue 1,28,1996,10.6,3,2,0,30,17,0,28,11,21,0,0,0,42,17,13,56.7,Marcus CocoNantes
Torino,Saul Coco,577,gq EQG,DF,it Serie A,25,1999,31.6,10,0,0,53,19,0,2,38,26,0,0,1,87,62,58,51.7,Saul CocoTorino
Everton,Seamus Coleman,578,ie IRL,DF,eng Premier League,35,1988,2.4,1,0,0,0,1,0,4,1,2,0,0,0,7,2,1,66.7,Seamus ColemanEverton
Brentford,Nathan Collins,579,ie IRL,DF,eng Premier League,23,2001,38.0,5,0,0,29,31,6,8,34,24,2,0,0,162,117,69,62.9,Nathan CollinsBrentford
Eint Frankfurt,Nnamdi Collins,580,de GER,DF,de Bundesliga,20,2004,16.5,4,0,0,26,22,0,17,16,24,0,0,0,78,13,13,50.0,Nnamdi CollinsEint Frankfurt
Manchester Utd,Toby Collyer,581,eng ENG,MF,eng Premier League,20,2004,2.0,0,0,0,2,4,0,0,2,9,0,0,0,17,3,1,75.0,Toby CollyerManchester Utd
Empoli,Lorenzo Colombo,582,it ITA,"FW,MF",it Serie A,22,2002,24.8,5,1,1,46,41,6,10,2,14,0,0,0,73,53,121,30.5,Lorenzo ColomboEmpoli
Fiorentina,Andrea Colpani,583,it ITA,"FW,MF",it Serie A,25,1999,16.1,1,0,0,22,24,1,33,9,9,0,0,0,46,10,15,40.0,Andrea ColpaniFiorentina
Chelsea,Levi Colwill,584,eng ENG,DF,eng Premier League,21,2003,35.0,9,0,0,45,21,5,13,33,34,0,1,0,121,82,53,60.7,Levi ColwillChelsea
Cagliari,Florinel Coman,585,ro ROU,"FW,MF",it Serie A,26,1998,2.9,2,0,0,8,9,0,2,1,3,0,0,0,12,4,2,66.7,Florinel ComanCagliari
Bayern Munich,Kingsley Coman,586,fr FRA,FW,de Bundesliga,28,1996,14.2,0,0,0,9,12,8,45,8,12,0,0,0,59,11,16,40.7,Kingsley ComanBayern Munich
Valladolid,Eray Comert,587,ch SUI,"DF,MF",es La Liga,26,1998,19.8,6,0,0,18,16,0,0,24,14,0,0,0,51,18,22,45.0,Eray ComertValladolid
Villarreal,Santi Comesana,588,es ESP,MF,es La Liga,27,1996,28.4,7,0,0,37,27,1,14,19,49,0,0,0,160,32,49,39.5,Santi ComesanaVillarreal
Fiorentina,Pietro Comuzzo,589,it ITA,DF,it Serie A,19,2005,24.4,5,0,0,25,12,0,3,29,21,0,0,0,86,63,43,59.4,Pietro ComuzzoFiorentina
Juventus,Francisco Conceicao,590,pt POR,"FW,MF",it Serie A,21,2002,14.9,5,1,1,24,36,4,62,6,14,1,0,0,55,2,9,18.2,Francisco ConceicaoJuventus
Villarreal,Diego Conde,591,es ESP,GK,es La Liga,25,1998,21.8,2,0,0,0,1,0,0,1,2,0,0,0,30,1,0,100.0,Diego CondeVillarreal
Alaves,Tomas Conechny,592,ar ARG,"FW,MF",es La Liga,26,1998,9.4,8,0,0,28,11,5,31,6,12,0,0,0,45,23,20,53.5,Tomas ConechnyAlaves
Le Havre,Alois Confais,593,fr FRA,MF,fr Ligue 1,27,1996,0.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,,Alois ConfaisLe Havre
Heidenheim,Sirlord Conteh,594,de GER,"FW,MF",de Bundesliga,28,1996,9.9,2,0,0,8,11,4,20,1,5,0,0,0,17,16,20,44.4,Sirlord ContehHeidenheim
Bournemouth,Lewis Cook,595,eng ENG,"MF,DF",eng Premier League,27,1997,33.1,8,1,0,49,10,3,132,41,42,0,1,0,187,41,34,54.7,Lewis CookBournemouth
Mallorca,Copete,596,es ESP,DF,es La Liga,24,1999,17.0,6,0,0,27,13,0,7,17,17,0,0,0,46,27,16,62.8,CopeteMallorca
Hellas Verona,Diego Coppola,597,it ITA,DF,it Serie A,20,2003,32.5,10,0,0,44,0,0,0,72,36,0,0,0,89,133,72,64.9,Diego CoppolaHellas Verona
Nantes,Francis Coquelin,598,fr FRA,MF,fr Ligue 1,33,1991,2.5,1,0,0,7,1,0,0,6,5,0,0,0,8,3,0,100.0,Francis CoquelinNantes
Valencia,Iker Cordoba,599,es ESP,DF,es La Liga,18,2005,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,100.0,Iker CordobaValencia
Marseille,Derek Cornelius,600,ca CAN,DF,fr Ligue 1,26,1997,15.8,9,2,2,25,14,0,4,14,17,0,1,0,67,32,13,71.1,Derek CorneliusMarseille
Southampton,Maxwel Cornet,601,ci CIV,FW,eng Premier League,27,1996,0.8,1,0,0,0,1,1,3,0,5,0,0,0,2,3,0,100.0,Maxwel CornetSouthampton
Genoa,Maxwel Cornet,602,ci CIV,"FW,MF",it Serie A,27,1996,2.7,0,0,0,0,1,1,8,2,1,0,0,0,14,1,9,10.0,Maxwel CornetGenoa
Saint-Etienne,Pierre Cornud,603,fr FRA,DF,fr Ligue 1,27,1996,6.4,2,0,0,10,3,1,14,9,10,0,1,0,33,3,4,42.9,Pierre CornudSaint-Etienne
Atletico Madrid,Angel Correa,604,ar ARG,"FW,MF",es La Liga,29,1995,8.9,3,1,0,18,11,4,24,4,3,0,0,0,40,1,8,11.1,Angel CorreaAtletico Madrid
Inter,Joaquin Correa,605,ar ARG,"FW,MF",it Serie A,29,1994,8.1,3,0,0,8,14,2,8,0,5,0,0,0,31,6,18,25.0,Joaquin CorreaInter
Valencia,Thierry Correia,606,pt POR,DF,es La Liga,25,1999,8.5,1,0,0,15,14,0,18,4,18,0,0,0,38,4,8,33.3,Thierry CorreiaValencia
Juventus,Alberto costa,607,pt POR,DF,it Serie A,20,2003,4.0,3,0,0,8,2,0,2,4,10,0,0,0,23,5,3,62.5,Alberto costaJuventus
Getafe,Coba da Costa,608,es ESP,"MF,FW",es La Liga,22,2002,11.2,4,0,0,10,10,0,41,8,13,0,0,0,35,19,19,50.0,Coba da CostaGetafe
Mainz 05,Danny da Costa,609,de GER,DF,de Bundesliga,31,1993,22.3,0,0,0,19,4,0,22,27,23,0,0,0,98,33,38,46.5,Danny da CostaMainz 05
Lens,David Costa,610,pt POR,"MF,FW",fr Ligue 1,23,2001,3.9,0,1,0,3,4,0,15,1,0,1,0,0,10,0,2,0.0,David CostaLens
Villarreal,Logan Costa,611,cv CPV,DF,es La Liga,23,2001,28.7,3,0,0,19,3,2,5,21,21,1,2,0,104,46,37,55.4,Logan CostaVillarreal
Toulouse,Logan Costa,612,cv CPV,DF,fr Ligue 1,23,2001,1.0,0,0,0,0,0,0,1,2,1,0,0,0,4,4,2,66.7,Logan CostaToulouse
Mallorca,Samu Costa,613,pt POR,MF,es La Liga,23,2000,29.4,10,1,1,62,63,2,20,32,44,0,0,0,129,68,40,63.0,Samu CostaMallorca
Brest,Gregoire Coudert,614,fr FRA,GK,fr Ligue 1,25,1999,2.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Gregoire CoudertBrest
West Ham,Vladimir Coufal,615,cz CZE,DF,eng Premier League,31,1992,11.9,5,0,0,22,16,0,28,8,15,0,0,1,39,23,16,59.0,Vladimir CoufalWest Ham
Lecce,Lassana Coulibaly,616,ml MLI,MF,it Serie A,28,1996,29.6,3,0,0,39,44,0,13,18,29,1,1,0,146,31,41,43.1,Lassana CoulibalyLecce
Auxerre,Lasso Coulibaly,617,ci CIV,"FW,MF",fr Ligue 1,21,2002,0.5,0,0,0,0,1,0,2,0,1,0,0,0,1,0,2,0.0,Lasso CoulibalyAuxerre
Monaco,Mamadou Coulibaly,618,fr FRA,MF,fr Ligue 1,20,2004,0.1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,Mamadou CoulibalyMonaco
Brest,Soumaila Coulibaly,619,fr FRA,DF,fr Ligue 1,20,2003,4.9,1,0,0,12,1,0,0,5,2,1,0,0,19,8,6,57.1,Soumaila CoulibalyBrest
Montpellier,Tanguy Coulibaly,620,fr FRA,"FW,MF",fr Ligue 1,23,2001,16.5,4,2,1,45,21,3,21,11,24,0,1,0,70,19,23,45.2,Tanguy CoulibalyMontpellier
Leicester City,Woyo Coulibaly,621,ml MLI,DF,eng Premier League,25,1999,1.2,1,0,0,2,1,0,0,5,4,0,0,0,14,0,3,0.0,Woyo CoulibalyLeicester City
Parma,Woyo Coulibaly,622,ml MLI,DF,it Serie A,25,1999,12.0,1,1,0,12,12,1,5,8,10,1,0,1,60,9,9,50.0,Woyo CoulibalyParma
Angers,Marius Courcoul,623,fr FRA,"MF,DF",fr Ligue 1,17,2007,3.4,0,0,0,4,2,0,4,5,2,0,1,0,12,4,1,80.0,Marius CourcoulAngers
Real Madrid,Thibaut Courtois,624,be BEL,GK,es La Liga,32,1992,30.0,1,0,0,0,2,0,0,1,0,0,0,1,45,8,0,100.0,Thibaut CourtoisReal Madrid
Dortmund,Yan Couto,625,br BRA,"DF,FW",de Bundesliga,22,2002,9.9,5,0,0,12,7,0,53,10,16,0,0,0,55,1,7,12.5,Yan CoutoDortmund
Nantes,Nicolas Cozza,626,fr FRA,"DF,MF",fr Ligue 1,25,1999,22.8,3,1,0,14,12,2,27,25,41,1,0,0,62,15,16,48.4,Nicolas CozzaNantes
West Ham,Aaron Cresswell,627,eng ENG,DF,eng Premier League,34,1989,9.2,3,0,0,4,2,0,36,8,7,0,0,0,36,7,7,50.0,Aaron CresswellWest Ham
Toulouse,Charlie Cresswell,628,eng ENG,DF,fr Ligue 1,21,2002,28.8,5,0,0,28,15,3,4,28,23,0,0,1,103,98,44,69.0,Charlie CresswellToulouse
Roma,Bryan Cristante,629,it ITA,MF,it Serie A,29,1995,22.7,8,0,0,37,9,0,15,19,29,0,0,0,109,61,58,51.3,Bryan CristanteRoma
Venezia,Domen Crnigoj,630,si SVN,MF,it Serie A,28,1995,1.5,0,0,0,2,4,0,2,4,2,0,0,0,8,2,5,28.6,Domen CrnigojVenezia
Osasuna,Juan Cruz Armada,631,es ESP,DF,es La Liga,32,1992,16.6,4,0,0,16,2,2,11,9,14,0,1,0,46,9,10,47.4,Juan Cruz ArmadaOsasuna
Leganes,Juan Cruz,632,es ESP,"FW,MF",es La Liga,24,2000,25.1,2,0,0,14,23,7,92,13,19,0,0,0,109,15,19,44.1,Juan CruzLeganes
Atalanta,Juan Cuadrado,633,co COL,"DF,MF",it Serie A,36,1988,9.2,3,0,0,9,27,0,56,7,9,1,0,0,31,12,4,75.0,Juan CuadradoAtalanta
Barcelona,Pau Cubarsi,634,es ESP,DF,es La Liga,17,2007,29.1,3,0,0,24,9,0,2,16,23,0,1,0,102,62,44,58.5,Pau CubarsiBarcelona
Betis,Cucho,635,co COL,FW,es La Liga,25,1999,12.7,0,0,0,10,9,5,12,7,10,1,0,0,28,29,35,45.3,CuchoBetis
Chelsea,Marc Cucurella,636,es ESP,DF,eng Premier League,26,1998,33.2,10,1,1,37,38,3,31,28,45,0,0,0,130,32,57,36.0,Marc CucurellaChelsea
Fulham,Jorge Cuenca,637,es ESP,DF,eng Premier League,24,1999,3.9,0,0,0,2,2,0,1,2,2,0,0,0,10,6,3,66.7,Jorge CuencaFulham
Wolves,Matheus Cunha,638,br BRA,"MF,FW",eng Premier League,25,1999,28.9,4,0,0,42,71,8,142,17,22,0,1,0,125,13,29,31.0,Matheus CunhaWolves
Como,Patrick Cutrone,639,it ITA,FW,it Serie A,26,1998,22.7,1,0,0,23,28,20,30,5,11,1,0,0,54,23,66,25.8,Patrick CutroneComo
Gladbach,Tomas Cvancara,640,cz CZE,FW,de Bundesliga,23,2000,9.2,5,1,1,11,6,1,15,5,1,0,0,0,23,13,16,44.8,Tomas CvancaraGladbach
Parma,Wylan Cyprien,641,fr FRA,MF,it Serie A,29,1995,0.3,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,,Wylan CyprienParma
Monza,Danilo D'Ambrosio,642,it ITA,DF,it Serie A,35,1988,12.2,2,1,0,18,11,3,9,15,15,0,0,0,46,16,23,41.0,Danilo D'AmbrosioMonza
Como,Lucas Da Cunha,643,fr FRA,MF,it Serie A,23,2001,29.0,4,0,0,21,29,1,102,17,25,0,0,0,157,16,25,39.0,Lucas Da CunhaComo
Roma,Samuel Dahl,644,se SWE,"DF,MF",it Serie A,24,2000,0.5,0,0,0,2,0,0,1,0,2,0,0,0,1,0,1,0.0,Samuel DahlRoma
Augsburg,Finn Dahmen,645,de GER,GK,de Bundesliga,26,1998,19.0,0,0,0,0,1,0,0,0,0,0,0,0,33,5,0,100.0,Finn DahmenAugsburg
Holstein Kiel,Thomas Dahne,646,de GER,GK,de Bundesliga,30,1994,9.0,0,0,0,1,1,0,0,0,0,0,1,0,15,6,0,100.0,Thomas DahneHolstein Kiel
Eint Frankfurt,Mahmoud Dahoud,647,de GER,MF,de Bundesliga,28,1996,4.0,2,0,0,10,2,0,4,2,4,0,0,0,20,1,2,33.3,Mahmoud DahoudEint Frankfurt
Leicester City,Patson Daka,648,zm ZAM,"FW,MF",eng Premier League,25,1998,8.2,0,0,0,15,19,3,3,1,10,0,0,0,18,10,28,26.3,Patson DakaLeicester City
Stuttgart,Ameen Al-Dakhil,649,be BEL,DF,de Bundesliga,22,2002,4.8,0,1,0,4,5,0,0,9,6,0,0,0,17,8,9,47.1,Ameen Al-DakhilStuttgart
Bologna,Thijs Dallinga,650,nl NED,FW,it Serie A,23,2000,12.8,1,0,0,24,17,8,3,1,5,1,0,0,35,41,36,53.2,Thijs DallingaBologna
Manchester Utd,Diogo Dalot,651,pt POR,DF,eng Premier League,25,1999,31.3,5,0,0,40,9,4,66,37,40,0,1,0,167,38,21,64.4,Diogo DalotManchester Utd
Brentford,Mikkel Damsgaard,652,dk DEN,"MF,FW",eng Premier League,24,2000,32.3,2,0,0,18,27,6,144,27,44,0,0,0,179,12,27,30.8,Mikkel DamsgaardBrentford
Fiorentina,Maat Daniel Caprini,653,it ITA,FW,it Serie A,18,2006,0.1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0.0,Maat Daniel CapriniFiorentina
Hellas Verona,Flavius Daniliuc,654,at AUT,DF,it Serie A,23,2001,11.2,0,0,0,12,2,0,6,7,21,0,0,0,44,18,17,51.4,Flavius DaniliucHellas Verona
Nott'ham Forest,Danilo,655,br BRA,"MF,FW",eng Premier League,23,2001,3.1,0,0,0,2,0,0,3,4,4,0,0,0,19,1,2,33.3,DaniloNott'ham Forest
Juventus,Danilo,656,br BRA,DF,it Serie A,33,1991,6.5,2,0,0,11,1,0,3,9,4,0,1,0,24,16,7,69.6,DaniloJuventus
Villarreal,Arnaut Danjuma,657,nl NED,FW,es La Liga,27,1997,2.2,1,0,0,1,1,3,0,0,1,0,0,0,2,2,0,100.0,Arnaut DanjumaVillarreal
Girona,Arnaut Danjuma,658,nl NED,"FW,MF",es La Liga,27,1997,14.8,2,0,0,16,16,14,76,2,6,0,1,0,40,1,3,25.0,Arnaut DanjumaGirona
Liverpool,Jayden Danns,659,eng ENG,MF,eng Premier League,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jayden DannsLiverpool
Auxerre,Kevin Danois,660,fr FRA,MF,fr Ligue 1,20,2004,16.2,1,0,0,22,18,2,14,20,30,0,0,0,102,14,18,43.8,Kevin DanoisAuxerre
Tottenham,Kevin Danso,661,at AUT,DF,eng Premier League,25,1998,9.4,0,0,0,9,13,0,1,6,5,0,0,0,27,21,12,63.6,Kevin DansoTottenham
Lens,Kevin Danso,662,at AUT,DF,fr Ligue 1,25,1998,12.0,3,0,0,27,11,1,0,20,7,0,1,0,59,41,21,66.1,Kevin DansoLens
Nice,Dante,663,br BRA,DF,fr Ligue 1,40,1983,21.8,5,1,0,19,14,0,2,34,15,0,0,0,112,41,21,66.1,DanteNice
Strasbourg,Pape Daouda Diongue,664,sn SEN,"MF,FW",fr Ligue 1,,,0.9,0,0,0,0,0,0,1,3,0,0,0,0,9,4,0,100.0,Pape Daouda DiongueStrasbourg
Reims,Mohamed Daramy,665,dk DEN,FW,fr Ligue 1,22,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3,Mohamed DaramyReims
Wolfsburg,Bence Dardai,666,hu HUN,MF,de Bundesliga,18,2006,14.5,0,0,0,9,16,0,10,12,14,1,0,0,52,10,15,40.0,Bence DardaiWolfsburg
Mallorca,Sergi Darder,667,es ESP,"MF,FW",es La Liga,30,1993,30.5,4,0,0,21,37,3,163,16,26,0,0,0,122,13,10,56.5,Sergi DarderMallorca
Inter,Matteo Darmian,668,it ITA,DF,it Serie A,34,1989,19.8,3,0,0,26,19,5,32,10,17,0,1,1,39,13,15,46.4,Matteo DarmianInter
Bochum,Lukas Daschner,669,de GER,"MF,FW",de Bundesliga,25,1998,4.6,0,0,0,4,2,0,19,0,2,0,0,0,17,4,8,33.3,Lukas DaschnerBochum
Juventus,Juan David Cabal,670,co COL,DF,it Serie A,23,2001,5.1,0,0,0,7,10,1,7,2,4,0,0,0,20,8,3,72.7,Juan David CabalJuventus
Lille,Jonathan David,671,ca CAN,FW,fr Ligue 1,24,2000,28.4,4,0,0,25,36,10,4,7,8,1,0,0,66,16,42,27.6,Jonathan DavidLille
Bayern Munich,Alphonso Davies,672,ca CAN,DF,de Bundesliga,23,2000,17.3,0,0,0,8,26,3,22,13,17,0,0,0,115,9,8,52.9,Alphonso DaviesBayern Munich
Tottenham,Ben Davies,673,wls WAL,DF,eng Premier League,31,1993,14.8,5,0,0,17,7,0,4,12,11,0,0,0,41,52,43,54.7,Ben DaviesTottenham
Udinese,Keinan Davis,674,eng ENG,FW,it Serie A,26,1998,11.8,2,0,0,24,12,8,3,1,4,0,0,0,34,37,40,48.1,Keinan DavisUdinese
Ipswich Town,Leif Davis,675,eng ENG,DF,eng Premier League,24,2000,30.5,5,1,0,27,31,5,161,25,27,0,2,0,113,34,23,59.6,Leif DavisIpswich Town
Saint-Etienne,Zuriko Davitashvili,676,ge GEO,"FW,MF",fr Ligue 1,23,2001,30.9,3,0,0,20,40,5,85,14,14,2,0,0,117,14,47,23.0,Zuriko DavitashviliSaint-Etienne
Hellas Verona,Pawel Dawidowicz,677,pl POL,"DF,MF",it Serie A,29,1995,20.5,7,1,0,36,11,0,1,20,24,0,1,0,54,33,27,55.0,Pawel DawidowiczHellas Verona
Wolves,Craig Dawson,678,eng ENG,DF,eng Premier League,34,1990,10.8,2,0,0,6,5,2,0,9,3,0,0,2,35,21,11,65.6,Craig DawsonWolves
Manchester City,Kevin De Bruyne,679,be BEL,"MF,FW",eng Premier League,33,1991,18.9,2,0,0,17,18,5,145,7,9,0,0,0,64,5,16,23.8,Kevin De BruyneManchester City
Leicester City,Bobby De Cordova-Reid,680,jm JAM,FW,eng Premier League,31,1993,8.3,2,0,0,9,9,4,15,0,4,1,0,0,29,6,14,30.0,Bobby De Cordova-ReidLeicester City
Atalanta,Charles De Ketelaere,681,be BEL,"MF,FW",it Serie A,23,2001,23.0,1,0,0,22,39,2,56,3,9,0,0,0,78,36,38,48.6,Charles De KetelaereAtalanta
Atletico Madrid,Rodrigo De Paul,682,ar ARG,MF,es La Liga,30,1994,23.4,7,0,0,19,49,0,59,6,26,0,0,0,128,4,7,36.4,Rodrigo De PaulAtletico Madrid
Auxerre,Theo De Percin,683,mq MTQ,GK,fr Ligue 1,23,2001,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Theo De PercinAuxerre
Empoli,Mattia De Sciglio,684,it ITA,DF,it Serie A,31,1992,8.5,0,0,0,8,5,0,7,8,13,0,0,0,27,6,2,75.0,Mattia De SciglioEmpoli
Bologna,Lorenzo De Silvestri,685,it ITA,DF,it Serie A,36,1988,11.8,1,0,0,17,8,1,23,10,6,0,0,0,26,12,16,42.9,Lorenzo De SilvestriBologna
Reims,Thibault De Smet,686,be BEL,DF,fr Ligue 1,26,1998,2.1,0,0,0,1,2,0,0,4,4,0,0,0,6,1,1,50.0,Thibault De SmetReims
Genoa,Koni De Winter,687,be BEL,DF,it Serie A,22,2002,23.7,6,0,0,43,14,1,4,25,19,0,2,0,114,74,34,68.5,Koni De WinterGenoa
Marseille,Amar Dedic,688,ba BIH,DF,fr Ligue 1,21,2002,3.5,1,0,0,7,2,0,5,3,4,0,0,0,18,7,6,53.8,Amar DedicMarseille
Cagliari,Alessandro Deiola,689,it ITA,MF,it Serie A,28,1995,15.9,6,0,0,32,11,0,14,13,20,0,0,0,68,37,29,56.1,Alessandro DeiolaCagliari
Brest,Romain Del Castillo,690,fr FRA,FW,fr Ligue 1,28,1996,14.0,0,0,0,11,17,0,103,6,22,0,0,0,73,8,12,40.0,Romain Del CastilloBrest
Parma,Enrico Del Prato,691,it ITA,DF,it Serie A,24,1999,32.7,8,0,0,20,17,0,16,19,17,0,0,0,120,38,43,46.9,Enrico Del PratoParma
Strasbourg,Thomas Delaine,692,fr FRA,DF,fr Ligue 1,32,1992,0.1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,,Thomas DelaineStrasbourg
Ipswich Town,Liam Delap,693,eng ENG,FW,eng Premier League,21,2003,28.8,12,0,0,72,51,14,5,2,8,2,0,0,68,55,74,42.6,Liam DelapIpswich Town
Lazio,Fisayo Dele-Bashiru,694,ng NGA,"MF,FW",it Serie A,23,2001,10.5,0,0,0,8,4,0,7,4,6,0,0,0,48,3,13,18.8,Fisayo Dele-BashiruLazio
Montpellier,Andy Delort,695,dz ALG,FW,fr Ligue 1,32,1991,6.7,1,0,0,11,12,10,11,0,3,0,0,0,9,27,33,45.0,Andy DelortMontpellier
Werder Bremen,Olivier Deman,696,be BEL,DF,de Bundesliga,24,2000,0.7,1,0,0,1,2,0,6,3,3,0,0,0,5,4,0,100.0,Olivier DemanWerder Bremen
Torino,Ali Dembele,697,fr FRA,DF,it Serie A,20,2004,4.3,4,1,1,9,7,0,7,1,5,0,1,0,15,5,11,31.3,Ali DembeleTorino
Paris S-G,Ousmane Dembele,698,fr FRA,FW,fr Ligue 1,27,1997,19.2,1,0,0,8,14,9,80,9,5,1,0,0,39,4,6,40.0,Ousmane DembeleParis S-G
Stuttgart,Ermedin Demirovic,699,ba BIH,FW,de Bundesliga,26,1998,20.6,2,0,0,24,27,17,3,3,7,0,0,0,33,34,47,42.0,Ermedin DemirovicStuttgart
