League,Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,PlSqu
Big5,Unknown Squad,Yacine Adli,33,fr FRA,MF,it Serie A,24,2000,13.7,50,3.64,35,10,2,2,1,0,10,0.73,6,2,1,1,0,0,Yacine AdliUnknown Squad
Big5,Unknown Squad,Adrian,34,es ESP,GK,es La Liga,37,1987,19.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,AdrianUnknown Squad
Big5,Unknown Squad,Adryelson,35,br BRA,DF,fr Ligue 1,26,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,AdryelsonUnknown Squad
Big5,Unknown Squad,Vasilije Adzic,36,me MNE,"MF,FW",it Serie A,18,2006,0.5,2,4.29,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Vasilije AdzicUnknown Squad
Big5,Unknown Squad,Michel Aebischer,37,ch SUI,MF,it Serie A,27,1997,8.0,18,2.23,15,2,0,0,0,1,0,0.00,0,0,0,0,0,0,Michel AebischerUnknown Squad
Big5,Unknown Squad,Oladapo Afolayan,38,eng ENG,"FW,MF",de Bundesliga,26,1998,18.2,52,2.86,28,0,12,7,5,0,6,0.33,3,0,3,0,0,0,Oladapo AfolayanUnknown Squad
Big5,Unknown Squad,Emmanuel Agbadou,39,ci CIV,DF,eng Premier League,27,1997,15.7,17,1.09,15,2,0,0,0,0,3,0.19,2,1,0,0,0,0,Emmanuel AgbadouUnknown Squad
Big5,Unknown Squad,Emmanuel Agbadou,40,ci CIV,DF,fr Ligue 1,27,1997,14.0,21,1.50,19,0,1,1,0,0,1,0.07,1,0,0,0,0,0,Emmanuel AgbadouUnknown Squad
Big5,Unknown Squad,Asher Agbinone,41,eng ENG,MF,eng Premier League,18,2005,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Asher AgbinoneUnknown Squad
Big5,Unknown Squad,Jeremy Agbonifo,42,se SWE,"FW,MF",fr Ligue 1,18,2005,3.3,8,2.40,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Jeremy AgbonifoUnknown Squad
Big5,Unknown Squad,Julen Agirrezabala,43,es ESP,GK,es La Liga,23,2000,13.4,3,0.22,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Julen AgirrezabalaUnknown Squad
Big5,Unknown Squad,Lucien Agoume,44,fr FRA,MF,es La Liga,22,2002,23.5,60,2.55,57,0,1,1,0,1,5,0.21,4,0,0,1,0,0,Lucien AgoumeUnknown Squad
Big5,Unknown Squad,Felix Agu,45,ng NGA,DF,de Bundesliga,24,1999,19.5,35,1.80,30,1,2,0,2,0,1,0.05,1,0,0,0,0,0,Felix AguUnknown Squad
Big5,Unknown Squad,Alvaro Aguado,46,es ESP,MF,es La Liga,28,1996,4.9,16,3.25,13,1,1,1,0,0,1,0.20,1,0,0,0,0,0,Alvaro AguadoUnknown Squad
Big5,Unknown Squad,Lorenzo Aguado,47,es ESP,DF,es La Liga,21,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Lorenzo AguadoUnknown Squad
Big5,Unknown Squad,Nayef Aguerd,48,ma MAR,DF,es La Liga,28,1996,19.6,16,0.82,13,1,0,2,0,0,1,0.05,1,0,0,0,0,0,Nayef AguerdUnknown Squad
Big5,Unknown Squad,Ruben Aguilar,49,fr FRA,"DF,MF",fr Ligue 1,31,1993,12.5,26,2.08,24,0,0,2,0,0,5,0.40,4,0,0,1,0,0,Ruben AguilarUnknown Squad
Big5,Unknown Squad,Naouirou Ahamada,50,fr FRA,"MF,FW",fr Ligue 1,22,2002,0.6,2,3.10,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Naouirou AhamadaUnknown Squad
Big5,Unknown Squad,Honest Ahanor,51,it ITA,"DF,MF",it Serie A,16,2008,3.0,5,1.67,3,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Honest AhanorUnknown Squad
Big5,Unknown Squad,Erik Ahlstrand,52,se SWE,"FW,MF",de Bundesliga,22,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Erik AhlstrandUnknown Squad
Big5,Unknown Squad,Jean-Eudes Aholou,53,ci CIV,MF,fr Ligue 1,30,1994,21.8,33,1.52,21,0,2,4,3,3,1,0.05,0,0,0,0,1,0,Jean-Eudes AholouUnknown Squad
Big5,Unknown Squad,Joseph Aidoo,54,gh GHA,DF,es La Liga,28,1995,6.5,1,0.15,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Joseph AidooUnknown Squad
Big5,Unknown Squad,Joseph Aidoo,55,gh GHA,DF,es La Liga,28,1995,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Joseph AidooUnknown Squad
Big5,Unknown Squad,Ayman Aiki,56,fr FRA,"FW,MF",fr Ligue 1,19,2005,1.4,1,0.71,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Ayman AikiUnknown Squad
Big5,Unknown Squad,Ola Aina,57,ng NGA,DF,eng Premier League,27,1996,33.3,62,1.86,49,5,3,1,3,1,4,0.12,3,0,0,0,0,1,Ola AinaUnknown Squad
Big5,Unknown Squad,Rayan Ait-Nouri,58,dz ALG,DF,eng Premier League,23,2001,34.5,91,2.63,56,15,8,7,4,1,12,0.35,10,1,0,0,0,1,Rayan Ait-NouriUnknown Squad
Big5,Unknown Squad,Junior Ajayi,59,ci CIV,FW,it Serie A,19,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Junior AjayiUnknown Squad
Big5,Unknown Squad,Kristoffer Ajer,60,no NOR,DF,eng Premier League,26,1998,16.0,18,1.13,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0,Kristoffer AjerUnknown Squad
