Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,PlSqu
Nice,Hicham Boudaoui,370,dz ALG,MF,fr Ligue 1,24,1999,27.1,1134,1104,26,24,12,5,17,1,0,0,0,0,943,4,27,Hicham BoudaouiNice
St. Pauli,Carlo Boukhalfa,371,ma MAR,MF,de Bundesliga,25,1999,18.3,467,460,4,3,2,1,10,0,0,0,0,0,333,3,15,Carlo BoukhalfaSt. Pauli
Brest,Justin Bourgault,372,fr FRA,DF,fr Ligue 1,18,2005,1.4,74,64,9,0,0,0,4,9,0,0,0,0,54,1,2,Justin BourgaultBrest
Rennes,Benjamin Bourigeaud,373,fr FRA,MF,fr Ligue 1,30,1994,0.9,48,40,8,2,0,1,6,0,6,4,1,0,36,0,1,Benjamin BourigeaudRennes
Fiorentina,Edoardo Bove,374,it ITA,"MF,FW",it Serie A,22,2002,9.5,344,321,19,15,1,3,2,3,1,0,0,0,282,4,13,Edoardo BoveFiorentina
West Ham,Jarrod Bowen,375,eng ENG,"FW,MF",eng Premier League,27,1996,33.0,815,722,87,6,7,4,106,3,44,28,15,0,584,6,44,Jarrod BowenWest Ham
Osasuna,Enzo Boyomo,376,cm CMR,DF,es La Liga,22,2001,33.2,1402,1326,74,50,4,6,2,18,0,0,0,0,1220,2,9,Enzo BoyomoOsasuna
Valladolid,Enzo Boyomo,377,cm CMR,DF,es La Liga,22,2001,3.0,190,182,8,4,0,1,0,0,0,0,0,0,174,0,0,Enzo BoyomoValladolid
Hellas Verona,Domagoj Bradaric,378,hr CRO,DF,it Serie A,24,1999,21.5,780,571,208,21,0,5,78,162,25,12,10,0,565,1,25,Domagoj BradaricHellas Verona
Liverpool,Conor Bradley,379,nir NIR,DF,eng Premier League,21,2003,8.4,544,471,71,13,0,2,7,58,0,0,0,0,456,2,12,Conor BradleyLiverpool
Nice,Bilal Brahimi,380,dz ALG,MF,fr Ligue 1,24,2000,0.8,40,35,5,0,0,0,5,3,2,1,1,0,35,0,1,Bilal BrahimiNice
Dortmund,Julian Brandt,381,de GER,MF,de Bundesliga,28,1996,25.6,1209,1157,48,7,18,3,71,18,20,11,6,0,953,4,30,Julian BrandtDortmund
Everton,Jarrad Branthwaite,382,eng ENG,DF,eng Premier League,22,2002,27.9,1198,1141,51,38,1,17,5,3,0,0,0,0,984,6,7,Jarrad BranthwaiteEverton
Leganes,Darko Brasanac,383,rs SRB,MF,es La Liga,32,1992,18.0,502,482,19,1,1,1,11,3,0,0,0,0,380,1,20,Darko BrasanacLeganes
Marseille,Lilian Brassier,384,fr FRA,DF,fr Ligue 1,24,1999,8.7,653,605,43,12,0,2,5,21,0,0,0,0,560,5,6,Lilian BrassierMarseille
Rennes,Lilian Brassier,385,fr FRA,DF,fr Ligue 1,24,1999,13.7,919,882,34,27,1,8,9,3,0,0,0,0,787,3,8,Lilian BrassierRennes
Como,Matthias Braunoder,386,at AUT,MF,it Serie A,22,2002,3.0,146,143,3,3,0,0,0,0,0,0,0,0,128,0,1,Matthias BraunoderComo
Udinese,Iker Bravo,387,es ESP,"FW,MF",it Serie A,19,2005,7.6,196,176,18,5,1,0,8,3,6,2,2,0,159,2,4,Iker BravoUdinese
Southampton,James Bree,388,eng ENG,DF,eng Premier League,26,1997,11.9,599,549,49,9,0,0,29,36,3,2,0,0,500,1,9,James BreeSouthampton
Augsburg,Tim Breithaupt,389,de GER,MF,de Bundesliga,22,2002,1.3,67,65,2,2,0,0,1,0,0,0,0,0,58,0,2,Tim BreithauptAugsburg
Juventus,Gleison Bremer,390,br BRA,DF,it Serie A,27,1997,6.0,504,496,8,6,0,1,0,1,0,0,0,0,468,0,0,Gleison BremerJuventus
Udinese,Brenner,391,br BRA,"MF,FW",it Serie A,24,2000,4.3,114,100,13,6,1,1,11,1,6,3,3,0,87,1,3,BrennerUdinese
Southampton,Ben Brereton,392,cl CHI,FW,eng Premier League,25,1999,5.0,166,163,2,1,1,0,5,1,0,0,0,0,128,1,3,Ben BreretonSouthampton
Atalanta,Marco Brescianini,393,it ITA,MF,it Serie A,24,2000,11.0,420,410,9,2,4,2,18,5,2,1,0,0,334,1,14,Marco BrescianiniAtalanta
Heidenheim,Maximilian Breunig,394,de GER,"FW,MF",de Bundesliga,23,2000,3.9,81,78,3,0,0,1,1,3,0,0,0,0,47,0,6,Maximilian BreunigHeidenheim
Saint-Etienne,Anthony Briancon,395,fr FRA,DF,fr Ligue 1,29,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anthony BrianconSaint-Etienne
Ipswich Town,Nathan Broadhead,396,wls WAL,"MF,FW",eng Premier League,26,1998,7.8,228,218,10,0,3,1,9,2,3,3,0,0,178,0,11,Nathan BroadheadIpswich Town
Everton,Armando Broja,397,al ALB,FW,eng Premier League,22,2001,3.7,73,72,0,0,0,0,1,0,0,0,0,0,53,1,1,Armando BrojaEverton
Bournemouth,David Brooks,398,wls WAL,"FW,MF",eng Premier League,27,1997,10.7,411,366,44,14,3,0,52,10,17,7,4,0,310,1,14,David BrooksBournemouth
Monza,Arvid Brorsson,399,se SWE,DF,it Serie A,25,1999,4.0,247,236,10,7,0,0,0,1,0,0,0,0,224,1,0,Arvid BrorssonMonza
Bochum,Moritz Broschinski,400,de GER,"FW,MF",de Bundesliga,23,2000,15.4,295,274,19,1,0,0,28,2,0,0,0,0,187,2,24,Moritz BroschinskiBochum
Eint Frankfurt,Nathaniel Brown,401,de GER,"DF,MF",de Bundesliga,21,2003,21.6,901,713,181,19,2,3,92,114,48,43,1,0,727,7,28,Nathaniel BrownEint Frankfurt
Hoffenheim,Jacob Bruun Larsen,402,dk DEN,"FW,MF",de Bundesliga,25,1998,4.4,163,150,13,1,2,2,19,5,5,2,3,0,121,0,3,Jacob Bruun LarsenHoffenheim
