Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,PlSqu
Dortmund,Karim Adeyemi,30,de GER,"FW,MF",de Bundesliga,22,2002,15.9,636,9,51,231,365,88,636,94,40,42.6,49,52.1,417,3230,1543,68,36,41,43,31,465,153,Karim AdeyemiDortmund
Brighton,Simon Adingra,31,ci CIV,"FW,MF",eng Premier League,22,2002,12.2,548,10,66,174,315,76,548,50,21,42.0,27,54.0,366,2514,1300,50,21,27,39,12,388,136,Simon AdingraBrighton
Leverkusen,Amine Adli,32,ma MAR,"MF,FW",de Bundesliga,24,2000,8.5,468,4,40,152,286,53,468,32,15,46.9,16,50.0,248,1501,838,37,25,11,20,6,350,100,Amine AdliLeverkusen
Fiorentina,Yacine Adli,33,fr FRA,MF,it Serie A,24,2000,13.7,1021,31,177,607,248,11,1021,32,12,37.5,16,50.0,618,3613,1680,24,28,3,19,8,690,30,Yacine AdliFiorentina
Betis,Adrian,34,es ESP,GK,es La Liga,37,1987,19.0,658,568,657,1,0,0,658,0,0,,0,,390,1788,1161,0,0,0,1,0,299,0,AdrianBetis
Lyon,Adryelson,35,br BRA,DF,fr Ligue 1,26,1998,0.0,5,1,2,3,0,0,5,0,0,,0,,1,0,0,0,0,0,0,0,1,0,AdryelsonLyon
Juventus,Vasilije Adzic,36,me MNE,"MF,FW",it Serie A,18,2006,0.5,24,0,5,8,11,2,24,1,0,0.0,1,100.0,14,40,10,0,1,0,1,1,20,3,Vasilije AdzicJuventus
Bologna,Michel Aebischer,37,ch SUI,MF,it Serie A,27,1997,8.0,485,11,74,302,114,10,485,6,3,50.0,2,33.3,291,1201,508,8,12,2,5,7,346,17,Michel AebischerBologna
St. Pauli,Oladapo Afolayan,38,eng ENG,"FW,MF",de Bundesliga,26,1998,18.2,741,13,84,304,365,62,741,98,48,49.0,43,43.9,495,3452,1392,53,43,28,63,45,555,108,Oladapo AfolayanSt. Pauli
Wolves,Emmanuel Agbadou,39,ci CIV,DF,eng Premier League,27,1997,15.7,1172,190,649,504,28,7,1172,13,10,76.9,2,15.4,758,3670,1752,6,4,0,6,4,796,2,Emmanuel AgbadouWolves
Reims,Emmanuel Agbadou,40,ci CIV,DF,fr Ligue 1,27,1997,14.0,1080,178,565,474,45,4,1080,12,9,75.0,3,25.0,621,3413,1974,10,9,0,9,6,701,0,Emmanuel AgbadouReims
Crystal Palace,Asher Agbinone,41,eng ENG,MF,eng Premier League,18,2005,0.1,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1,Asher AgbinoneCrystal Palace
Lens,Jeremy Agbonifo,42,se SWE,"FW,MF",fr Ligue 1,18,2005,3.3,131,1,22,39,72,16,131,20,9,45.0,10,50.0,84,627,283,13,2,10,11,6,92,36,Jeremy AgbonifoLens
Athletic Club,Julen Agirrezabala,43,es ESP,GK,es La Liga,23,2000,13.4,437,357,436,1,0,0,437,0,0,,0,,237,1238,682,0,0,0,1,0,211,0,Julen AgirrezabalaAthletic Club
Sevilla,Lucien Agoume,44,fr FRA,MF,es La Liga,22,2002,23.5,1481,65,386,867,248,19,1481,30,22,73.3,7,23.3,689,3227,1597,29,23,2,26,13,928,23,Lucien AgoumeSevilla
Werder Bremen,Felix Agu,45,ng NGA,DF,de Bundesliga,24,1999,19.5,1045,48,315,465,270,37,1045,35,9,25.7,19,54.3,545,2589,1278,33,12,8,33,12,605,105,Felix AguWerder Bremen
Espanyol,Alvaro Aguado,46,es ESP,MF,es La Liga,28,1996,4.9,303,7,68,161,78,6,303,8,5,62.5,2,25.0,175,1443,753,15,10,4,9,4,189,4,Alvaro AguadoEspanyol
Real Madrid,Lorenzo Aguado,47,es ESP,DF,es La Liga,21,2002,0.1,3,0,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,1,1,0,Lorenzo AguadoReal Madrid
Real Sociedad,Nayef Aguerd,48,ma MAR,DF,es La Liga,28,1996,19.6,1594,132,729,815,53,16,1594,10,5,50.0,2,20.0,1019,6113,3798,26,18,0,7,3,1138,1,Nayef AguerdReal Sociedad
Lens,Ruben Aguilar,49,fr FRA,"DF,MF",fr Ligue 1,31,1993,12.5,996,27,253,430,320,30,996,21,9,42.9,9,42.9,518,2371,1309,32,21,5,19,6,612,101,Ruben AguilarLens
Rennes,Naouirou Ahamada,50,fr FRA,"MF,FW",fr Ligue 1,22,2002,0.6,31,1,12,16,3,0,31,1,0,0.0,1,100.0,16,131,55,2,1,0,1,1,17,1,Naouirou AhamadaRennes
Genoa,Honest Ahanor,51,it ITA,"DF,MF",it Serie A,16,2008,3.0,106,8,27,43,38,7,106,1,0,0.0,0,0.0,52,282,119,3,1,0,7,2,50,7,Honest AhanorGenoa
St. Pauli,Erik Ahlstrand,52,se SWE,"FW,MF",de Bundesliga,22,2001,0.5,22,0,2,10,10,2,22,0,0,,0,,12,68,26,1,2,0,3,0,14,3,Erik AhlstrandSt. Pauli
Angers,Jean-Eudes Aholou,53,ci CIV,MF,fr Ligue 1,30,1994,21.8,1032,45,259,615,167,34,1032,28,12,42.9,12,42.9,495,2116,987,15,8,2,32,15,615,16,Jean-Eudes AholouAngers
Valladolid,Joseph Aidoo,54,gh GHA,DF,es La Liga,28,1995,6.5,431,61,265,168,2,1,431,1,1,100.0,0,0.0,259,1248,678,1,0,0,0,1,320,0,Joseph AidooValladolid
Celta Vigo,Joseph Aidoo,55,gh GHA,DF,es La Liga,28,1995,0.0,8,0,4,4,0,0,8,0,0,,0,,7,9,8,0,0,0,0,1,6,0,Joseph AidooCelta Vigo
Saint-Etienne,Ayman Aiki,56,fr FRA,"FW,MF",fr Ligue 1,19,2005,1.4,48,1,10,20,19,2,48,4,0,0.0,4,100.0,33,169,95,4,2,1,5,7,37,8,Ayman AikiSaint-Etienne
