Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,PlSqu
Girona,Daley Blind,347,nl NED,DF,es La Liga,34,1990,30.9,2860,172,910,1600,364,21,2860,28,15,53.6,11,39.3,1862,10086,5550,71,67,3,16,12,2151,61,Daley BlindGirona
Bochum,Myron Boadu,348,nl NED,FW,de Bundesliga,23,2001,11.6,287,7,19,123,150,46,286,23,11,47.8,12,52.2,179,840,343,12,9,7,30,15,209,70,Myron BoaduBochum
Saint-Etienne,Augustine Boakye,349,gh GHA,"FW,MF",fr Ligue 1,23,2000,8.1,349,6,32,130,191,29,349,24,13,54.2,10,41.7,194,1180,579,25,20,9,18,25,251,60,Augustine BoakyeSaint-Etienne
Manchester City,Oscar Bobb,350,no NOR,FW,eng Premier League,21,2003,0.2,15,0,2,6,7,0,15,2,2,100.0,0,0.0,10,67,32,1,0,0,0,0,13,1,Oscar BobbManchester City
Le Havre,Matheo Bodmer,351,fr FRA,MF,fr Ligue 1,20,2004,0.1,3,1,1,2,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Matheo BodmerLe Havre
Bayern Munich,Sacha Boey,352,fr FRA,DF,de Bundesliga,23,2000,6.6,580,16,83,272,226,11,580,19,6,31.6,11,57.9,360,1543,745,18,9,4,11,7,416,63,Sacha BoeyBayern Munich
Nice,Jeremie Boga,353,ci CIV,"MF,FW",fr Ligue 1,27,1997,11.7,529,5,65,204,268,57,529,64,25,39.1,32,50.0,338,3010,1837,64,37,24,18,17,408,75,Jeremie BogaNice
Aston Villa,Lamare Bogarde,354,nl NED,"DF,MF",eng Premier League,20,2004,5.3,325,16,95,191,40,4,325,4,2,50.0,1,25.0,173,1031,599,12,6,1,6,8,212,9,Lamare BogardeAston Villa
Genoa,Emil Bohinen,355,no NOR,MF,it Serie A,25,1999,1.8,109,12,30,52,28,3,109,0,0,,0,,51,463,224,6,3,0,4,2,72,2,Emil BohinenGenoa
Athletic Club,Adama Boiro,356,es ESP,"DF,FW",es La Liga,22,2002,12.2,627,25,158,309,165,14,627,26,8,30.8,16,61.5,288,1675,890,25,21,5,23,15,332,36,Adama BoiroAthletic Club
Nott'ham Forest,Willy Boly,357,ci CIV,DF,eng Premier League,33,1991,1.7,97,22,63,32,2,1,97,0,0,,0,,35,128,45,0,0,0,1,0,46,0,Willy BolyNott'ham Forest
Nice,Moise Bombito,358,ca CAN,DF,fr Ligue 1,24,2000,24.4,1673,214,767,855,63,9,1673,17,12,70.6,4,23.5,906,4744,2693,27,10,1,16,3,1109,10,Moise BombitoNice
Monza,Warren Bondo,359,fr FRA,MF,it Serie A,20,2003,18.0,741,27,179,440,140,7,741,40,20,50.0,12,30.0,511,3240,1464,25,19,2,20,30,521,21,Warren BondoMonza
Milan,Warren Bondo,360,fr FRA,MF,it Serie A,20,2003,1.8,97,3,19,65,16,0,97,1,1,100.0,0,0.0,66,287,129,2,3,0,2,1,68,0,Warren BondoMilan
Leverkusen,Victor Boniface,361,ng NGA,FW,de Bundesliga,23,2000,11.2,400,5,24,163,215,77,399,35,15,42.9,19,54.3,207,1148,507,26,12,15,43,29,319,61,Victor BonifaceLeverkusen
Lecce,Kevin Bonifazi,362,it ITA,DF,it Serie A,28,1996,0.7,54,6,28,27,0,0,54,2,1,50.0,1,50.0,28,204,53,0,0,0,2,0,31,1,Kevin BonifaziLecce
Parma,Ange-Yoan Bonny,363,fr FRA,FW,it Serie A,20,2003,28.1,898,14,70,412,435,112,895,67,33,49.3,28,41.8,527,2690,1112,41,35,17,86,70,647,163,Ange-Yoan BonnyParma
Wolfsburg,Sebastiaan Bornauw,364,be BEL,DF,de Bundesliga,25,1999,8.8,428,50,170,239,21,10,428,1,0,0.0,1,100.0,206,920,379,3,2,0,2,1,230,1,Sebastiaan BornauwWolfsburg
Newcastle Utd,Sven Botman,365,nl NED,DF,eng Premier League,24,2000,4.6,304,40,132,160,16,11,304,3,1,33.3,1,33.3,145,670,337,0,1,0,5,1,197,0,Sven BotmanNewcastle Utd
Monaco,Saimon Bouabre,366,fr FRA,"MF,FW",fr Ligue 1,18,2006,1.1,36,2,7,18,11,1,36,2,0,0.0,1,50.0,27,156,69,3,3,1,2,2,29,5,Saimon BouabreMonaco
Lille,Ayyoub Bouaddi,367,fr FRA,MF,fr Ligue 1,16,2007,12.8,703,30,149,378,181,14,703,29,14,48.3,14,48.3,383,1829,682,11,9,3,34,15,474,26,Ayyoub BouaddiLille
Nice,Badredine Bouanani,368,dz ALG,"MF,FW",fr Ligue 1,19,2004,12.2,571,4,53,228,299,43,570,36,14,38.9,19,52.8,362,2436,1372,47,33,15,24,18,425,93,Badredine BouananiNice
Saint-Etienne,Benjamin Bouchouari,369,ma MAR,MF,fr Ligue 1,22,2001,19.7,1233,26,219,644,386,14,1233,53,27,50.9,24,45.3,733,3593,1970,48,23,6,34,26,953,54,Benjamin BouchouariSaint-Etienne
Nice,Hicham Boudaoui,370,dz ALG,MF,fr Ligue 1,24,1999,27.1,1467,75,312,806,377,45,1467,65,25,38.5,34,52.3,770,4519,2308,54,45,7,38,26,943,75,Hicham BoudaouiNice
St. Pauli,Carlo Boukhalfa,371,ma MAR,MF,de Bundesliga,25,1999,18.3,651,28,118,315,222,29,651,28,12,42.9,16,57.1,290,1281,486,10,9,3,31,20,393,44,Carlo BoukhalfaSt. Pauli
Brest,Justin Bourgault,372,fr FRA,DF,fr Ligue 1,18,2005,1.4,83,5,25,38,20,1,83,0,0,,0,,45,175,84,2,3,0,1,1,49,12,Justin BourgaultBrest
Rennes,Benjamin Bourigeaud,373,fr FRA,MF,fr Ligue 1,30,1994,0.9,57,3,9,24,25,2,57,1,1,100.0,0,0.0,20,79,44,0,2,0,1,1,35,4,Benjamin BourigeaudRennes
Fiorentina,Edoardo Bove,374,it ITA,"MF,FW",it Serie A,22,2002,9.5,437,12,80,244,117,21,437,16,7,43.8,7,43.8,251,1288,531,12,19,2,13,11,286,24,Edoardo BoveFiorentina
West Ham,Jarrod Bowen,375,eng ENG,"FW,MF",eng Premier League,27,1996,33.0,1252,28,132,466,678,171,1251,130,44,33.8,76,58.5,741,5306,2501,109,46,61,70,77,834,212,Jarrod BowenWest Ham
Osasuna,Enzo Boyomo,376,cm CMR,DF,es La Liga,22,2001,33.2,1723,192,821,850,69,21,1723,16,9,56.3,6,37.5,965,4884,2884,16,6,1,19,10,1064,7,Enzo BoyomoOsasuna
Valladolid,Enzo Boyomo,377,cm CMR,DF,es La Liga,22,2001,3.0,215,23,131,79,6,4,215,1,1,100.0,0,0.0,128,563,282,1,0,0,0,0,159,0,Enzo BoyomoValladolid
Hellas Verona,Domagoj Bradaric,378,hr CRO,DF,it Serie A,24,1999,21.5,988,39,258,409,340,23,988,37,15,40.5,18,48.6,426,2554,1313,30,32,3,30,11,459,83,Domagoj BradaricHellas Verona
Liverpool,Conor Bradley,379,nir NIR,DF,eng Premier League,21,2003,8.4,663,32,197,299,178,43,663,25,10,40.0,12,48.0,369,2332,1356,35,22,9,13,5,411,39,Conor BradleyLiverpool
Nice,Bilal Brahimi,380,dz ALG,MF,fr Ligue 1,24,2000,0.8,49,2,7,23,19,0,49,2,0,0.0,2,100.0,29,202,112,3,3,0,0,3,35,10,Bilal BrahimiNice
Dortmund,Julian Brandt,381,de GER,MF,de Bundesliga,28,1996,25.6,1455,13,155,671,645,81,1455,54,19,35.2,32,59.3,869,4116,2014,61,48,17,48,36,1097,199,Julian BrandtDortmund
Everton,Jarrad Branthwaite,382,eng ENG,DF,eng Premier League,22,2002,27.9,1520,211,783,676,69,28,1520,6,3,50.0,2,33.3,747,4143,2515,10,14,2,8,4,894,2,Jarrad BranthwaiteEverton
Leganes,Darko Brasanac,383,rs SRB,MF,es La Liga,32,1992,18.0,672,49,169,307,197,28,672,7,2,28.6,5,71.4,268,987,414,6,12,1,16,9,356,53,Darko BrasanacLeganes
Marseille,Lilian Brassier,384,fr FRA,DF,fr Ligue 1,24,1999,8.7,732,59,303,382,48,11,732,9,1,11.1,6,66.7,447,2283,1109,11,8,0,9,4,532,8,Lilian BrassierMarseille
Rennes,Lilian Brassier,385,fr FRA,DF,fr Ligue 1,24,1999,13.7,1058,98,440,529,99,16,1058,4,2,50.0,0,0.0,630,3450,1812,21,17,1,6,1,778,11,Lilian BrassierRennes
Como,Matthias Braunoder,386,at AUT,MF,it Serie A,22,2002,3.0,175,4,43,108,25,3,175,4,1,25.0,2,50.0,88,362,187,2,4,1,3,2,112,0,Matthias BraunoderComo
Udinese,Iker Bravo,387,es ESP,"FW,MF",it Serie A,19,2005,7.6,294,4,27,131,140,28,294,29,11,37.9,18,62.1,157,852,281,7,5,6,31,14,190,39,Iker BravoUdinese
Southampton,James Bree,388,eng ENG,DF,eng Premier League,26,1997,11.9,694,49,221,308,170,11,694,8,4,50.0,2,25.0,363,1586,808,13,12,1,9,5,443,43,James BreeSouthampton
Augsburg,Tim Breithaupt,389,de GER,MF,de Bundesliga,22,2002,1.3,75,2,18,49,8,1,75,2,2,100.0,0,0.0,44,174,67,1,0,0,3,2,47,1,Tim BreithauptAugsburg
Juventus,Gleison Bremer,390,br BRA,DF,it Serie A,27,1997,6.0,569,63,286,268,15,3,569,4,3,75.0,1,25.0,352,1760,985,2,1,0,4,2,445,0,Gleison BremerJuventus
Udinese,Brenner,391,br BRA,"MF,FW",it Serie A,24,2000,4.3,151,5,28,74,53,6,151,5,3,60.0,2,40.0,94,502,210,5,4,1,5,9,107,16,BrennerUdinese
Southampton,Ben Brereton,392,cl CHI,FW,eng Premier League,25,1999,5.0,206,4,19,76,112,20,206,4,1,25.0,2,50.0,136,791,394,12,13,4,9,4,171,42,Ben BreretonSouthampton
Atalanta,Marco Brescianini,393,it ITA,MF,it Serie A,24,2000,11.0,547,8,68,261,226,38,547,26,8,30.8,15,57.7,355,2337,1219,46,30,13,28,19,417,69,Marco BrescianiniAtalanta
Heidenheim,Maximilian Breunig,394,de GER,"FW,MF",de Bundesliga,23,2000,3.9,140,5,17,77,51,17,139,7,3,42.9,3,42.9,78,304,138,5,4,2,15,6,96,13,Maximilian BreunigHeidenheim
Saint-Etienne,Anthony Briancon,395,fr FRA,DF,fr Ligue 1,29,1994,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Anthony BrianconSaint-Etienne
Ipswich Town,Nathan Broadhead,396,wls WAL,"MF,FW",eng Premier League,26,1998,7.8,317,7,41,161,126,21,317,34,17,50.0,15,44.1,174,1238,584,20,16,5,19,15,222,33,Nathan BroadheadIpswich Town
Everton,Armando Broja,397,al ALB,FW,eng Premier League,22,2001,3.7,127,4,14,47,72,18,127,16,8,50.0,7,43.8,64,577,281,12,8,3,16,13,94,26,Armando BrojaEverton
Bournemouth,David Brooks,398,wls WAL,"FW,MF",eng Premier League,27,1997,10.7,545,15,59,207,289,39,545,34,11,32.4,20,58.8,342,2344,1115,35,25,10,30,14,375,83,David BrooksBournemouth
Monza,Arvid Brorsson,399,se SWE,DF,it Serie A,25,1999,4.0,303,56,201,93,10,0,303,1,1,100.0,0,0.0,185,749,364,1,1,0,1,1,202,1,Arvid BrorssonMonza
Bochum,Moritz Broschinski,400,de GER,"FW,MF",de Bundesliga,23,2000,15.4,552,19,54,211,297,68,552,53,14,26.4,38,71.7,322,1887,814,37,21,13,69,33,385,130,Moritz BroschinskiBochum
Eint Frankfurt,Nathaniel Brown,401,de GER,"DF,MF",de Bundesliga,21,2003,21.6,1174,43,314,485,389,50,1174,33,11,33.3,17,51.5,600,3259,1680,45,31,6,30,12,658,119,Nathaniel BrownEint Frankfurt
Hoffenheim,Jacob Bruun Larsen,402,dk DEN,"FW,MF",de Bundesliga,25,1998,4.4,226,3,17,82,133,30,226,21,7,33.3,13,61.9,147,896,471,16,13,8,9,9,167,41,Jacob Bruun LarsenHoffenheim
Stuttgart,Jacob Bruun Larsen,403,dk DEN,"MF,FW",de Bundesliga,25,1998,4.6,215,3,22,78,116,27,215,22,10,45.5,10,45.5,127,881,425,19,5,10,11,3,148,40,Jacob Bruun LarsenStuttgart
Inter,Tajon Buchanan,404,ca CAN,"DF,FW",it Serie A,25,1999,1.1,64,3,18,29,19,2,64,9,3,33.3,4,44.4,42,403,259,6,3,0,2,2,44,8,Tajon BuchananInter
Villarreal,Tajon Buchanan,405,ca CAN,MF,es La Liga,25,1999,4.6,223,2,41,69,119,25,223,22,10,45.5,7,31.8,133,973,499,19,9,6,18,7,138,45,Tajon BuchananVillarreal
Osasuna,Ante Budimir,406,hr CRO,FW,es La Liga,33,1991,32.8,788,31,52,335,407,170,780,43,10,23.3,29,67.4,380,1566,541,23,15,8,83,44,540,134,Ante BudimirOsasuna
Aston Villa,Emi Buendia,407,ar ARG,"MF,FW",eng Premier League,27,1996,1.1,82,0,17,35,31,3,82,2,0,0.0,2,100.0,53,185,119,3,5,0,4,3,64,6,Emi BuendiaAston Villa
Leverkusen,Emi Buendia,408,ar ARG,MF,de Bundesliga,27,1996,2.9,198,0,21,107,71,12,198,11,6,54.5,2,18.2,108,326,113,2,3,1,10,8,153,24,Emi BuendiaLeverkusen
Sevilla,Manu Bueno,409,es ESP,"MF,FW",es La Liga,20,2004,1.6,91,2,15,43,33,2,91,2,1,50.0,1,50.0,56,277,121,2,3,0,2,2,74,5,Manu BuenoSevilla
Wolves,Santiago Bueno,410,uy URU,DF,eng Premier League,25,1998,18.7,1025,170,522,485,21,6,1025,4,0,0.0,4,100.0,555,2727,1430,1,2,0,2,2,660,1,Santiago BuenoWolves
Athletic Club,Endika Bujan,411,es ESP,FW,es La Liga,21,2003,0.1,7,0,0,0,7,2,7,2,1,50.0,1,50.0,5,26,13,1,0,0,0,0,5,0,Endika BujanAthletic Club
Hoffenheim,Marius Bulter,412,de GER,"FW,DF",de Bundesliga,31,1993,19.2,774,25,108,297,379,83,774,47,24,51.1,22,46.8,511,2924,1435,57,24,23,39,21,576,155,Marius BulterHoffenheim
Leicester City,Facundo Buonanotte,413,ar ARG,"FW,MF",eng Premier League,19,2004,16.9,874,26,128,452,307,39,874,83,28,33.7,49,59.0,479,2997,1347,39,26,9,58,39,528,74,Facundo BuonanotteLeicester City
Napoli,Alessandro Buongiorno,414,it ITA,DF,it Serie A,25,1999,21.4,1489,125,655,788,55,15,1489,7,1,14.3,3,42.9,902,4549,2741,27,7,1,13,8,1059,8,Alessandro BuongiornoNapoli
Ipswich Town,Cameron Burgess,415,au AUS,DF,eng Premier League,28,1995,17.1,982,248,609,327,48,24,982,0,0,,0,,430,1965,1002,2,4,0,3,0,573,4,Cameron BurgessIpswich Town
Mainz 05,Jonathan Burkardt,416,de GER,FW,de Bundesliga,24,2000,23.4,788,19,49,364,378,121,786,39,16,41.0,23,59.0,447,1868,747,32,26,13,76,33,562,157,Jonathan BurkardtMainz 05
Werder Bremen,Oliver Burke,417,sct SCO,FW,de Bundesliga,27,1997,10.1,440,5,38,167,241,79,440,12,7,58.3,5,41.7,246,1353,493,22,12,14,38,13,329,88,Oliver BurkeWerder Bremen
Newcastle Utd,Dan Burn,418,eng ENG,DF,eng Premier League,32,1992,37.0,2386,366,1305,959,130,52,2386,4,3,75.0,1,25.0,1346,6322,2798,12,8,1,24,3,1615,14,Dan BurnNewcastle Utd
Lecce,Rares-Catalin Burnete,419,ro ROU,FW,it Serie A,20,2004,0.3,22,0,0,12,10,4,22,2,1,50.0,1,50.0,12,26,2,0,0,0,6,4,15,4,Rares-Catalin BurneteLecce
Ipswich Town,Wes Burns,420,wls WAL,"FW,DF",eng Premier League,29,1994,10.3,350,21,69,129,160,18,350,24,9,37.5,14,58.3,216,1458,696,38,13,10,17,13,220,65,Wes BurnsIpswich Town
Heidenheim,Marnon Busch,421,de GER,"DF,MF",de Bundesliga,29,1994,15.5,1030,79,378,468,190,9,1030,8,3,37.5,4,50.0,495,2288,1217,22,20,1,13,1,553,43,Marnon BuschHeidenheim
Venezia,Gianluca Busio,422,us USA,MF,it Serie A,22,2002,28.0,1250,58,217,635,417,56,1250,48,15,31.3,28,58.3,747,4377,2249,60,57,5,54,32,842,135,Gianluca BusioVenezia
Reims,Aurelio Buta,423,pt POR,DF,fr Ligue 1,27,1997,21.9,1195,69,348,559,299,14,1195,22,9,40.9,11,50.0,546,2567,1237,28,21,4,28,7,672,64,Aurelio ButaReims
Como,Jean Butez,424,fr FRA,GK,it Serie A,29,1995,18.5,799,641,791,9,0,0,799,0,0,,0,,534,2755,1559,0,0,0,1,0,447,0,Jean ButezComo
Arsenal,Nathan Butler-Oyedeji,425,eng ENG,FW,eng Premier League,21,2003,0.1,1,0,0,0,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Nathan Butler-OyedejiArsenal
Nice,Marcin Bulka,426,pl POL,GK,fr Ligue 1,24,1999,34.0,1196,957,1187,9,1,1,1196,1,0,0.0,1,100.0,702,3363,2185,0,0,0,2,0,605,0,Marcin BulkaNice
Villarreal,Pau Cabanes,427,es ESP,"MF,FW",es La Liga,19,2005,1.8,122,2,17,35,71,11,122,12,5,41.7,6,50.0,74,467,245,10,9,5,8,3,89,33,Pau CabanesVillarreal
Alaves,Pau Cabanes,428,es ESP,"MF,FW",es La Liga,19,2005,2.1,125,1,16,49,63,7,125,13,4,30.8,7,53.8,83,493,309,15,9,3,10,3,82,15,Pau CabanesAlaves
Lille,Remy Cabella,429,fr FRA,"FW,MF",fr Ligue 1,34,1990,11.2,900,6,75,357,483,51,900,38,19,50.0,18,47.4,546,2893,1530,45,35,12,16,10,667,130,Remy CabellaLille
Espanyol,Leandro Cabrera,430,uy URU,DF,es La Liga,33,1991,31.9,1796,332,1047,681,76,33,1796,2,1,50.0,1,50.0,833,3674,2284,9,9,0,9,1,1009,6,Leandro CabreraEspanyol
Empoli,Liberato Cacace,431,nz NZL,"MF,DF",it Serie A,23,2000,24.8,1187,81,343,485,381,56,1187,51,14,27.5,34,66.7,542,3590,1884,53,34,7,40,21,635,97,Liberato CacaceEmpoli
Torino,Alessio Cacciamani,432,it ITA,"MF,DF",it Serie A,17,2007,0.3,18,0,4,4,10,1,18,1,1,100.0,0,0.0,14,138,75,2,1,1,1,0,12,2,Alessio CacciamaniTorino
Mainz 05,Anthony Caci,433,fr FRA,DF,de Bundesliga,27,1997,29.8,1973,70,398,884,709,62,1973,64,29,45.3,31,48.4,960,3680,1650,45,25,13,44,24,1161,152,Anthony CaciMainz 05
Saint-Etienne,Mathieu Cafaro,434,fr FRA,"MF,FW",fr Ligue 1,27,1997,8.1,324,5,61,112,153,27,324,17,7,41.2,9,52.9,169,1138,529,19,8,7,16,10,225,51,Mathieu CafaroSaint-Etienne
Chelsea,Moises Caicedo,435,ec ECU,"MF,DF",eng Premier League,22,2001,37.2,2579,95,562,1570,476,15,2579,64,29,45.3,22,34.4,1409,6882,3384,43,38,2,37,25,1780,37,Moises CaicedoChelsea
Fulham,Tom Cairney,436,sct SCO,MF,eng Premier League,33,1991,7.0,683,12,123,347,223,18,683,13,5,38.5,4,30.8,456,2179,1047,18,17,4,6,4,553,33,Tom CairneyFulham
Ipswich Town,Jens Cajuste,437,se SWE,MF,eng Premier League,24,1999,21.8,1017,61,286,530,217,15,1017,53,28,52.8,19,35.8,481,2609,1329,26,23,3,23,17,594,20,Jens CajusteIpswich Town
Bologna,Davide Calabria,438,it ITA,DF,it Serie A,27,1996,7.0,490,10,141,243,111,4,490,3,0,0.0,3,100.0,271,1208,586,7,7,0,10,3,285,20,Davide CalabriaBologna
Milan,Davide Calabria,439,it ITA,DF,it Serie A,27,1996,3.5,258,9,56,137,69,4,258,5,3,60.0,1,20.0,159,727,358,8,5,0,1,1,174,31,Davide CalabriaMilan
Arsenal,Riccardo Calafiori,440,it ITA,DF,eng Premier League,22,2002,10.9,653,30,164,264,229,30,653,13,9,69.2,3,23.1,308,1655,889,22,15,3,12,5,394,29,Riccardo CalafioriArsenal
Monza,Luca Caldirola,441,it ITA,DF,it Serie A,33,1991,9.7,699,86,362,315,23,4,699,1,1,100.0,0,0.0,461,2278,1223,5,5,0,2,1,498,4,Luca CaldirolaMonza
Espanyol,Fernando Calero,442,es ESP,"DF,MF",es La Liga,28,1995,7.9,498,66,288,187,24,2,498,0,0,,0,,236,947,525,0,2,0,6,0,286,2,Fernando CaleroEspanyol
Lyon,Duje Caleta-Car,443,hr CRO,DF,fr Ligue 1,27,1996,17.6,1178,205,601,546,34,21,1178,2,1,50.0,1,50.0,672,2869,1409,4,1,0,7,2,783,0,Duje Caleta-CarLyon
Inter,Hakan Calhanoglu,444,tr TUR,MF,it Serie A,30,1994,21.6,1881,45,380,1010,500,23,1877,7,3,42.9,4,57.1,1150,5984,3106,52,53,6,21,9,1353,51,Hakan CalhanogluInter
Everton,Dominic Calvert-Lewin,445,eng ENG,FW,eng Premier League,27,1997,17.9,520,26,45,215,265,88,520,25,10,40.0,13,52.0,280,1445,463,23,8,17,77,33,417,112,Dominic Calvert-LewinEverton
Parma,Drissa Camara,446,ci CIV,"MF,FW",it Serie A,22,2002,5.0,251,1,30,120,113,24,251,27,17,63.0,10,37.0,174,1222,648,18,10,10,14,3,173,35,Drissa CamaraParma
Nice,Issiaga Camara,447,gn GUI,MF,fr Ligue 1,19,2005,0.2,23,0,4,19,2,0,23,1,0,0.0,1,100.0,11,63,28,1,0,0,1,0,13,1,Issiaga CamaraNice
Monaco,Lamine Camara,448,sn SEN,MF,fr Ligue 1,20,2004,22.8,1743,33,258,1086,413,16,1743,25,12,48.0,8,32.0,967,4625,1914,25,29,3,41,23,1170,46,Lamine CamaraMonaco
Brest,Mahdi Camara,449,fr FRA,"MF,FW",fr Ligue 1,26,1998,29.5,1530,36,268,841,441,78,1530,65,29,44.6,28,43.1,828,4647,2478,58,40,14,38,28,999,112,Mahdi CamaraBrest
Angers,Ousmane Camara,450,fr FRA,DF,fr Ligue 1,21,2003,2.8,126,23,81,43,2,2,126,0,0,,0,,70,335,196,0,0,0,1,1,82,0,Ousmane CamaraAngers
Milan,Francesco Camarda,451,it ITA,"FW,MF",it Serie A,16,2008,2.3,80,5,10,32,39,17,80,7,2,28.6,4,57.1,34,191,66,2,1,0,7,3,51,16,Francesco CamardaMilan
Real Madrid,Eduardo Camavinga,452,fr FRA,"MF,DF",es La Liga,21,2002,12.2,957,49,272,494,207,15,957,31,15,48.4,10,32.3,565,3051,1699,26,27,7,7,11,643,31,Eduardo CamavingaReal Madrid
Bologna,Nicolo Cambiaghi,453,it ITA,FW,it Serie A,23,2000,6.9,334,1,38,106,195,36,334,25,11,44.0,8,32.0,241,1731,884,45,9,15,16,11,257,63,Nicolo CambiaghiBologna
Juventus,Andrea Cambiaso,454,it ITA,"DF,FW",it Serie A,24,2000,24.7,1911,55,474,939,517,42,1911,50,27,54.0,18,36.0,1195,7318,3868,78,63,13,45,21,1364,122,Andrea CambiasoJuventus
Brest,Axel Camblan,455,fr FRA,"MF,FW",fr Ligue 1,20,2003,0.3,10,0,0,3,7,3,10,0,0,,0,,5,68,50,2,0,2,0,0,8,1,Axel CamblanBrest
Rayo Vallecano,Sergio Camello,456,es ESP,FW,es La Liga,23,2001,12.6,398,17,39,173,196,46,398,23,13,56.5,8,34.8,222,1128,554,20,16,8,38,23,308,68,Sergio CamelloRayo Vallecano
Las Palmas,Jose Campana,457,es ESP,MF,es La Liga,31,1993,13.2,946,40,224,577,153,5,946,18,8,44.4,8,44.4,478,2164,988,11,12,1,17,15,605,15,Jose CampanaLas Palmas
Empoli,Thomas Campaniello,458,it ITA,FW,it Serie A,16,2008,0.3,17,0,1,6,10,1,17,0,0,,0,,5,20,2,0,0,0,1,0,13,6,Thomas CampanielloEmpoli
Dortmund,Cole Campbell,459,us USA,"MF,FW",de Bundesliga,18,2006,0.2,21,2,4,9,8,0,21,1,0,0.0,1,100.0,10,57,34,1,0,0,3,0,13,1,Cole CampbellDortmund
Dortmund,Emre Can,460,de GER,"DF,MF",de Bundesliga,30,1994,23.4,2156,150,787,1207,174,12,2154,26,15,57.7,9,34.6,1405,6693,3628,20,32,2,18,10,1582,12,Emre CanDortmund
Athletic Club,Peio Canales,461,es ESP,"MF,FW",es La Liga,19,2005,2.9,140,3,14,63,64,3,140,11,5,45.5,5,45.5,74,472,221,6,4,2,4,3,86,11,Peio CanalesAthletic Club
Parma,Matteo Cancellieri,462,it ITA,"FW,MF",it Serie A,22,2002,15.8,531,20,103,210,230,40,531,70,28,40.0,33,47.1,314,2108,1025,40,20,16,34,24,348,79,Matteo CancellieriParma
Venezia,Fali Cande,463,gw GNB,DF,it Serie A,26,1998,17.0,1131,164,591,496,55,8,1131,10,9,90.0,0,0.0,557,2582,1115,5,9,0,12,8,572,3,Fali CandeVenezia
Venezia,Antonio Candela,464,it ITA,DF,it Serie A,24,2000,11.2,505,38,198,201,112,13,505,12,6,50.0,5,41.7,250,1430,700,12,5,2,17,10,285,25,Antonio CandelaVenezia
Valladolid,Antonio Candela,465,it ITA,DF,es La Liga,24,2000,10.1,528,39,239,216,80,7,528,15,6,40.0,9,60.0,261,1618,841,16,8,1,8,5,332,29,Antonio CandelaValladolid
Valencia,Sergi Canos,466,es ESP,"MF,FW",es La Liga,27,1997,4.1,231,6,34,76,122,20,231,13,1,7.7,12,92.3,124,540,279,7,6,4,13,5,164,47,Sergi CanosValencia
Toulouse,Jaydee Canvot,467,fr FRA,"DF,MF",fr Ligue 1,18,2006,12.3,666,68,276,322,72,8,666,10,7,70.0,3,30.0,384,1875,928,9,5,1,6,8,431,0,Jaydee CanvotToulouse
Angers,Pierrick Capelle,468,fr FRA,MF,fr Ligue 1,37,1987,5.4,299,6,47,186,73,7,299,13,8,61.5,5,38.5,138,747,331,10,4,0,15,6,173,17,Pierrick CapelleAngers
Monza,Gianluca Caprari,469,it ITA,"MF,FW",it Serie A,31,1993,18.3,912,3,70,450,399,39,910,40,10,25.0,23,57.5,629,3384,1544,43,37,12,38,31,686,104,Gianluca CaprariMonza
Cagliari,Elia Caprile,470,it ITA,GK,it Serie A,22,2001,18.0,756,620,754,2,0,0,756,0,0,,0,,408,1899,1065,0,0,0,1,0,335,0,Elia CaprileCagliari
Napoli,Elia Caprile,471,it ITA,GK,it Serie A,22,2001,3.6,105,79,105,0,0,0,105,0,0,,0,,44,234,161,0,0,0,0,0,62,0,Elia CaprileNapoli
Lens,Gabin Capuano,472,fr FRA,FW,fr Ligue 1,18,2006,0.1,4,0,0,2,2,0,4,0,0,,0,,3,21,1,0,0,0,1,0,4,1,Gabin CapuanoLens
Empoli,Francesco Caputo,473,it ITA,FW,it Serie A,36,1987,0.1,2,0,0,1,1,0,2,0,0,,0,,1,1,0,0,0,0,0,0,1,1,Francesco CaputoEmpoli
Como,Maxence Caqueret,474,fr FRA,MF,it Serie A,24,2000,12.1,698,9,134,368,205,24,698,33,14,42.4,15,45.5,455,2082,883,15,17,1,29,17,512,46,Maxence CaqueretComo
Lyon,Maxence Caqueret,475,fr FRA,MF,fr Ligue 1,24,2000,6.4,419,5,66,241,116,11,419,18,7,38.9,9,50.0,211,1191,537,14,10,2,15,10,304,15,Maxence CaqueretLyon
Montpellier,Simon Cara,476,fr FRA,"MF,FW",fr Ligue 1,19,2005,0.1,7,0,0,2,5,1,7,1,0,0.0,1,100.0,5,17,5,0,0,0,0,0,5,1,Simon CaraMontpellier
Monza,Andrea Carboni,477,it ITA,DF,it Serie A,23,2001,24.3,1412,155,681,614,120,18,1412,9,5,55.6,4,44.4,822,3143,1502,9,13,0,15,5,925,32,Andrea CarboniMonza
