League,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,PlSqu
Serie B,Juve Stabia,Federico Zuccon,it ITA,"MF,DF",22-066,0.8,36.0,24.0,11.0,5.0,0.0,1.0,3,1.0,5.0,0.0,2.0,0.0,26.0,1.0,1.0,Federico ZucconJuve Stabia
Serie B,Juve Stabia,Tommaso Di Marco,it ITA,MF,21-311,0.7,15.0,15.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,Tommaso Di MarcoJuve Stabia
Serie B,Juve Stabia,Enrico Piovanello,it ITA,"DF,MF",25-047,0.6,14.0,12.0,2.0,1.0,0.0,0.0,1,0.0,1.0,0.0,1.0,0.0,14.0,0.0,0.0,Enrico PiovanelloJuve Stabia
Serie B,Juve Stabia,Gregorio Morachioli,it ITA,DF,25-099,0.3,17.0,15.0,2.0,1.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,Gregorio MorachioliJuve Stabia
Serie B,Juve Stabia,Alessandro Louati,it ITA,MF,22-146,0.3,9.0,9.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,Alessandro LouatiJuve Stabia
Serie B,Juve Stabia,Opponent Total,,,27.3,38.0,14315.0,12321.0,1934.0,730.0,20.0,56.0,738,693.0,183.0,52.0,106.0,0.0,10198.0,60.0,349.0,Opponent TotalJuve Stabia
Serie B,Catanzaro,Mirko Pigliacelli,it ITA,GK,31-341,38.0,1703.0,1473.0,223.0,93.0,0.0,8.0,0,0.0,0.0,0.0,0.0,0.0,1361.0,7.0,2.0,Mirko PigliacelliCatanzaro
Serie B,Catanzaro,Federico Bonini,it ITA,DF,23-304,35.2,2346.0,2044.0,297.0,66.0,2.0,7.0,36,184.0,0.0,0.0,0.0,0.0,1980.0,5.0,19.0,Federico BoniniCatanzaro
Serie B,Catanzaro,Pietro Iemmello,it ITA,FW,33-092,33.7,924.0,846.0,76.0,7.0,2.0,5.0,6,7.0,0.0,0.0,0.0,0.0,723.0,2.0,23.0,Pietro IemmelloCatanzaro
Serie B,Catanzaro,Stefano Scognamillo,it ITA,DF,31-033,30.1,1797.0,1610.0,185.0,85.0,2.0,4.0,11,40.0,0.0,0.0,0.0,0.0,1646.0,2.0,14.0,Stefano ScognamilloCatanzaro
Serie B,Catanzaro,Nicolo Brighenti,it ITA,DF,35-309,29.7,1849.0,1699.0,143.0,42.0,3.0,5.0,21,92.0,0.0,0.0,0.0,0.0,1515.0,7.0,13.0,Nicolo BrighentiCatanzaro
Serie B,Catanzaro,Jacopo Petriccione,it ITA,MF,30-104,28.2,1781.0,1605.0,172.0,145.0,4.0,9.0,52,6.0,20.0,4.0,15.0,0.0,1568.0,4.0,10.0,Jacopo PetriccioneCatanzaro
Serie B,Catanzaro,Simone Pontisso,it ITA,MF,28-078,22.6,1130.0,1040.0,90.0,32.0,2.0,4.0,97,16.0,42.0,13.0,27.0,0.0,920.0,0.0,14.0,Simone PontissoCatanzaro
Serie B,Catanzaro,Marco Pompetti,it ITA,MF,25-015,27.2,1560.0,1394.0,163.0,84.0,3.0,18.0,145,3.0,74.0,27.0,39.0,0.0,1270.0,3.0,9.0,Marco PompettiCatanzaro
Serie B,Catanzaro,Tommaso Biasci,it ITA,FW,30-208,17.2,278.0,268.0,6.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,215.0,4.0,9.0,Tommaso BiasciCatanzaro
Serie B,Catanzaro,Tommaso Cassandro,it ITA,DF,25-148,19.2,793.0,664.0,128.0,12.0,0.0,2.0,100,116.0,0.0,0.0,0.0,0.0,609.0,1.0,26.0,Tommaso CassandroCatanzaro
Serie B,Catanzaro,Mario Situm,hr CRO,DF,33-063,17.0,718.0,624.0,94.0,9.0,0.0,4.0,47,85.0,0.0,0.0,0.0,0.0,570.0,0.0,21.0,Mario SitumCatanzaro
Serie B,Catanzaro,Matias Antonini Lui,br BRA,DF,27-058,16.2,995.0,896.0,99.0,33.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,897.0,0.0,7.0,Matias Antonini LuiCatanzaro
Serie B,Catanzaro,Giacomo Quagliata,it ITA,DF,25-107,13.6,341.0,294.0,47.0,11.0,0.0,1.0,60,31.0,5.0,1.0,4.0,0.0,236.0,0.0,13.0,Giacomo QuagliataCatanzaro
Serie B,Catanzaro,Mattia Compagnon,it ITA,"DF,MF",23-212,13.2,326.0,302.0,24.0,7.0,1.0,0.0,35,13.0,4.0,0.0,4.0,0.0,255.0,0.0,14.0,Mattia CompagnonCatanzaro
Serie B,Catanzaro,Filippo Pittarello,it ITA,FW,28-240,16.6,248.0,242.0,5.0,2.0,0.0,1.0,4,0.0,0.0,0.0,0.0,0.0,168.0,1.0,16.0,Filippo PittarelloCatanzaro
Serie B,Catanzaro,Riccardo Pagano,it ITA,MF,20-190,10.7,330.0,318.0,11.0,5.0,2.0,1.0,13,0.0,2.0,0.0,1.0,0.0,264.0,1.0,7.0,Riccardo PaganoCatanzaro
Serie B,Catanzaro,Marco D'Alessandro,it ITA,"DF,FW",34-109,7.4,224.0,211.0,13.0,2.0,0.0,0.0,24,11.0,0.0,0.0,0.0,0.0,166.0,0.0,7.0,Marco D'AlessandroCatanzaro
Serie B,Catanzaro,Ilias Koutsoupias,gr GRE,MF,24-027,6.5,213.0,208.0,3.0,2.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,156.0,2.0,5.0,Ilias KoutsoupiasCatanzaro
Serie B,Catanzaro,Andrea Ceresoli,it ITA,DF,22-073,4.8,163.0,147.0,15.0,1.0,0.0,0.0,9,14.0,0.0,0.0,0.0,0.0,114.0,1.0,7.0,Andrea CeresoliCatanzaro
Serie B,Catanzaro,Rares Ilie,ro ROU,MF,22-048,6.7,218.0,205.0,11.0,5.0,1.0,0.0,8,1.0,5.0,1.0,3.0,0.0,171.0,2.0,6.0,Rares IlieCatanzaro
Serie B,Catanzaro,Andrea La Mantia,it ITA,FW,34-031,5.3,90.0,89.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,Andrea La MantiaCatanzaro
Serie B,Catanzaro,Mamadou Coulibaly,sn SEN,MF,26-123,5.9,233.0,231.0,2.0,2.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,186.0,0.0,5.0,Mamadou CoulibalyCatanzaro
Serie B,Catanzaro,Nicolo Buso,it ITA,"MF,FW",25-125,4.7,120.0,115.0,5.0,1.0,0.0,0.0,5,1.0,0.0,0.0,0.0,0.0,103.0,0.0,4.0,Nicolo BusoCatanzaro
Serie B,Catanzaro,Demba Seck,sn SEN,"DF,MF",24-116,4.4,155.0,151.0,3.0,2.0,0.0,1.0,10,1.0,0.0,0.0,0.0,0.0,119.0,1.0,6.0,Demba SeckCatanzaro
Serie B,Catanzaro,Enrico Brignola,it ITA,DF,25-333,2.6,81.0,72.0,8.0,0.0,0.0,0.0,9,5.0,3.0,0.0,3.0,0.0,63.0,1.0,1.0,Enrico BrignolaCatanzaro
Serie B,Catanzaro,Giovanni Volpe,it ITA,"MF,FW",22-328,0.5,25.0,25.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,Giovanni VolpeCatanzaro
Serie B,Catanzaro,Riccardo Turicchia,it ITA,DF,22-121,0.4,23.0,19.0,4.0,0.0,0.0,0.0,5,4.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,Riccardo TuricchiaCatanzaro
Serie B,Catanzaro,Luka Krajnc,si SVN,DF,30-260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Luka KrajncCatanzaro
Serie B,Catanzaro,Opponent Total,,,27.2,38.0,15316.0,13649.0,1609.0,476.0,26.0,87.0,766,582.0,184.0,60.0,82.0,0.0,11964.0,58.0,227.0,Opponent TotalCatanzaro
Serie B,Cesena,Massimiliano Mangraviti,it ITA,DF,27-133,35.3,1877.0,1804.0,66.0,60.0,0.0,4.0,15,5.0,0.0,0.0,0.0,0.0,1605.0,7.0,12.0,Massimiliano MangravitiCesena
Serie B,Cesena,Giuseppe Prestia,it ITA,DF,31-205,32.1,1576.0,1494.0,76.0,70.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,1365.0,6.0,10.0,Giuseppe PrestiaCesena
Serie B,Cesena,Giacomo Calo,it ITA,MF,28-121,28.0,1690.0,1421.0,255.0,137.0,4.0,14.0,144,4.0,92.0,41.0,41.0,1.0,1309.0,14.0,21.0,Giacomo CaloCesena
Serie B,Cesena,Cristian Shpendi,al ALB,FW,22-018,27.6,465.0,422.0,41.0,2.0,1.0,2.0,11,2.0,0.0,0.0,0.0,0.0,355.0,2.0,18.0,Cristian ShpendiCesena
Serie B,Cesena,Andrea Ciofi,it ITA,DF,25-343,28.8,1934.0,1687.0,241.0,53.0,2.0,7.0,23,185.0,0.0,0.0,0.0,0.0,1636.0,6.0,27.0,Andrea CiofiCesena
Serie B,Cesena,Jonathan Klinsmann,us USA,GK,28-059,27.0,735.0,478.0,253.0,75.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,497.0,4.0,0.0,Jonathan KlinsmannCesena
Serie B,Cesena,Simone Bastoni,it ITA,MF,28-213,24.0,1053.0,932.0,116.0,38.0,1.0,11.0,95,10.0,63.0,30.0,16.0,0.0,777.0,5.0,39.0,Simone BastoniCesena
Serie B,Cesena,Tommaso Berti,it ITA,MF,21-091,21.4,948.0,925.0,16.0,7.0,2.0,6.0,18,6.0,0.0,0.0,0.0,0.0,793.0,7.0,14.0,Tommaso BertiCesena
Serie B,Cesena,Emanuele Adamo,it ITA,"DF,MF",26-322,23.0,996.0,888.0,107.0,7.0,0.0,6.0,53,92.0,8.0,5.0,3.0,0.0,766.0,1.0,35.0,Emanuele AdamoCesena
Serie B,Cesena,Daniele Donnarumma,it ITA,DF,33-055,20.7,1006.0,816.0,183.0,25.0,1.0,1.0,73,157.0,1.0,0.0,1.0,0.0,741.0,7.0,34.0,Daniele DonnarummaCesena
Serie B,Cesena,Mirko Antonucci,it ITA,"MF,FW",26-087,21.0,634.0,618.0,15.0,1.0,0.0,3.0,34,12.0,0.0,0.0,0.0,0.0,484.0,1.0,30.0,Mirko AntonucciCesena
Serie B,Cesena,Matteo Francesconi,it ITA,MF,21-115,16.4,535.0,517.0,16.0,11.0,0.0,0.0,9,4.0,0.0,0.0,0.0,0.0,379.0,2.0,18.0,Matteo FrancesconiCesena
Serie B,Cesena,Raffaele Celia,it ITA,DF,26-094,16.2,683.0,536.0,142.0,16.0,0.0,1.0,38,125.0,1.0,0.0,0.0,0.0,554.0,5.0,21.0,Raffaele CeliaCesena
Serie B,Cesena,Joseph Ceesay,gm GAM,DF,27-003,15.6,478.0,444.0,33.0,2.0,0.0,1.0,42,30.0,0.0,0.0,0.0,0.0,345.0,1.0,23.0,Joseph CeesayCesena
Serie B,Cesena,Dario Saric,ba BIH,MF,28-007,9.7,280.0,275.0,3.0,2.0,0.0,1.0,9,0.0,0.0,0.0,0.0,0.0,219.0,2.0,3.0,Dario SaricCesena
Serie B,Cesena,Matteo Pisseri,it ITA,GK,33-197,11.0,315.0,207.0,107.0,26.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,234.0,1.0,0.0,Matteo PisseriCesena
Serie B,Cesena,Augustus Kargbo,sl SLE,"FW,MF",25-286,10.7,230.0,225.0,4.0,1.0,1.0,2.0,18,1.0,0.0,0.0,0.0,0.0,150.0,1.0,18.0,Augustus KargboCesena
Serie B,Cesena,Marco Curto,it ITA,DF,26-152,9.4,518.0,453.0,64.0,24.0,1.0,3.0,6,40.0,0.0,0.0,0.0,0.0,425.0,1.0,13.0,Marco CurtoCesena
Serie B,Cesena,Elayis Tavsan,nl NED,"MF,FW",24-037,12.7,373.0,339.0,31.0,9.0,0.0,0.0,41,5.0,17.0,10.0,4.0,0.0,290.0,3.0,17.0,Elayis TavsanCesena
Serie B,Cesena,Antonino La Gumina,it ITA,"FW,MF",29-092,5.7,87.0,80.0,5.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,61.0,2.0,5.0,Antonino La GuminaCesena
Serie B,Cesena,Matteo Piacentini,it ITA,DF,26-047,5.4,243.0,225.0,15.0,5.0,0.0,1.0,4,10.0,0.0,0.0,0.0,0.0,203.0,3.0,2.0,Matteo PiacentiniCesena
Serie B,Cesena,Leonardo Mendicino,it ITA,MF,18-346,5.9,266.0,253.0,12.0,8.0,0.0,3.0,1,0.0,1.0,1.0,0.0,0.0,231.0,1.0,4.0,Leonardo MendicinoCesena
Serie B,Cesena,Sydney van Hooijdonk,nl NED,FW,25-120,2.9,54.0,48.0,5.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,41.0,1.0,4.0,Sydney van HooijdonkCesena
Serie B,Cesena,Simone Pieraccini,it ITA,DF,21-088,2.3,163.0,152.0,11.0,4.0,0.0,0.0,1,6.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,Simone PieracciniCesena
Serie B,Cesena,Flavio Russo,it ITA,"FW,MF",21-156,2.5,49.0,49.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,37.0,0.0,2.0,Flavio RussoCesena
Serie B,Cesena,Saber Hraiech,it ITA,"MF,DF",29-311,0.7,54.0,51.0,3.0,2.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,46.0,0.0,0.0,Saber HraiechCesena
Serie B,Cesena,Riccardo Chiarello,it ITA,"MF,DF",31-240,0.2,8.0,8.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,Riccardo ChiarelloCesena
Serie B,Cesena,Opponent Total,,,27.2,38.0,18162.0,16326.0,1787.0,627.0,22.0,64.0,645,704.0,141.0,53.0,62.0,6.0,14653.0,49.0,295.0,Opponent TotalCesena
Serie B,Palermo,Dimitris Nikolaou,gr GRE,DF,26-297,26.6,1396.0,1298.0,95.0,65.0,0.0,2.0,8,13.0,0.0,0.0,0.0,0.0,1190.0,3.0,6.0,Dimitris NikolaouPalermo
Serie B,Palermo,Claudio Gomes,fr FRA,MF,24-318,26.3,986.0,952.0,33.0,27.0,1.0,10.0,15,4.0,1.0,0.0,0.0,0.0,862.0,1.0,12.0,Claudio GomesPalermo
Serie B,Palermo,Pietro Ceccaroni,it ITA,DF,29-167,25.7,1495.0,1298.0,197.0,59.0,1.0,1.0,40,130.0,0.0,0.0,0.0,0.0,1240.0,0.0,18.0,Pietro CeccaroniPalermo
Serie B,Palermo,Rayyan Baniya,,DF,26-108,25.9,1201.0,1117.0,81.0,49.0,1.0,4.0,0,17.0,0.0,0.0,0.0,0.0,1045.0,3.0,6.0,Rayyan BaniyaPalermo
Serie B,Palermo,Filippo Ranocchia,it ITA,MF,24-023,25.9,1255.0,1017.0,233.0,100.0,6.0,17.0,227,5.0,124.0,55.0,52.0,0.0,861.0,5.0,31.0,Filippo RanocchiaPalermo
Serie B,Palermo,Jacopo Segre,it ITA,MF,28-109,25.0,715.0,689.0,25.0,12.0,1.0,2.0,15,7.0,0.0,0.0,0.0,0.0,602.0,1.0,16.0,Jacopo SegrePalermo
Serie B,Palermo,Salim Diakite,ml MLI,DF,25-003,22.9,985.0,794.0,191.0,29.0,1.0,1.0,51,162.0,0.0,0.0,0.0,0.0,747.0,0.0,32.0,Salim DiakitePalermo
Serie B,Palermo,Kristoffer Lund,us USA,"DF,FW",23-023,22.3,892.0,741.0,151.0,19.0,1.0,4.0,88,132.0,0.0,0.0,0.0,0.0,680.0,0.0,25.0,Kristoffer LundPalermo
Serie B,Palermo,Matteo Brunori,it ITA,"MF,FW",30-217,22.1,526.0,476.0,50.0,12.0,4.0,9.0,48,7.0,8.0,3.0,3.0,0.0,355.0,0.0,35.0,Matteo BrunoriPalermo
Serie B,Palermo,Sebastiano Desplanches,it ITA,GK,22-087,20.6,714.0,535.0,177.0,66.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,561.0,2.0,2.0,Sebastiano DesplanchesPalermo
Serie B,Palermo,Niccolo Pierozzi,it ITA,DF,23-267,17.4,628.0,504.0,123.0,16.0,0.0,2.0,48,107.0,0.0,0.0,0.0,0.0,466.0,1.0,17.0,Niccolo PierozziPalermo
Serie B,Palermo,Federico Di Francesco,it ITA,"MF,FW",30-357,16.0,538.0,521.0,13.0,3.0,4.0,3.0,56,8.0,1.0,0.0,0.0,0.0,381.0,4.0,25.0,Federico Di FrancescoPalermo
Serie B,Palermo,Alexis Blin,fr FRA,"MF,DF",28-263,15.2,729.0,681.0,47.0,21.0,0.0,5.0,20,7.0,12.0,8.0,4.0,0.0,641.0,1.0,2.0,Alexis BlinPalermo
Serie B,Palermo,Valerio Verre,it ITA,"MF,FW",31-146,14.3,763.0,712.0,47.0,18.0,3.0,5.0,49,5.0,17.0,8.0,6.0,0.0,584.0,4.0,17.0,Valerio VerrePalermo
Serie B,Palermo,Roberto Insigne,it ITA,"MF,FW",31-026,14.0,518.0,450.0,67.0,18.0,7.0,5.0,39,12.0,33.0,13.0,3.0,0.0,404.0,1.0,10.0,Roberto InsignePalermo
Serie B,Palermo,Jeremy Le Douaron,fr FRA,"FW,MF",27-046,15.8,264.0,256.0,8.0,2.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,171.0,0.0,8.0,Jeremy Le DouaronPalermo
Serie B,Palermo,Emil Audero,id IDN,GK,28-139,14.0,528.0,368.0,160.0,54.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,359.0,0.0,1.0,Emil AuderoPalermo
Serie B,Palermo,Joel Pohjanpalo,fi FIN,FW,30-266,13.4,218.0,195.0,22.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,0.0,140.0,1.0,3.0,Joel PohjanpaloPalermo
Serie B,Palermo,Giangiacomo Magnani,it ITA,DF,29-245,12.8,592.0,517.0,72.0,33.0,0.0,4.0,6,5.0,0.0,0.0,0.0,0.0,495.0,3.0,3.0,Giangiacomo MagnaniPalermo
Serie B,Palermo,Francesco Di Mariano,it ITA,"MF,FW",29-047,11.0,326.0,303.0,23.0,5.0,0.0,5.0,51,18.0,0.0,0.0,0.0,0.0,240.0,0.0,8.0,Francesco Di MarianoPalermo
Serie B,Palermo,Thomas Henry,fr FRA,FW,30-259,10.1,173.0,166.0,7.0,0.0,1.0,2.0,6,1.0,0.0,0.0,0.0,0.0,101.0,0.0,7.0,Thomas HenryPalermo
Serie B,Palermo,Ionut Nedelcearu,ro ROU,DF,29-042,7.0,386.0,355.0,31.0,13.0,0.0,5.0,3,8.0,0.0,0.0,0.0,0.0,329.0,0.0,5.0,Ionut NedelcearuPalermo
Serie B,Palermo,Salvatore Sirigu,it ITA,GK,38-145,3.0,94.0,71.0,23.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,Salvatore SiriguPalermo
Serie B,Palermo,Aljosa Vasic,rs SRB,"MF,DF",23-046,6.2,126.0,122.0,3.0,1.0,2.0,1.0,7,2.0,0.0,0.0,0.0,0.0,71.0,1.0,4.0,Aljosa VasicPalermo
Serie B,Palermo,Dario Saric,ba BIH,MF,28-007,2.3,81.0,79.0,2.0,1.0,0.0,1.0,5,0.0,0.0,0.0,0.0,0.0,59.0,0.0,7.0,Dario SaricPalermo
Serie B,Palermo,Alfred Gomis,sn SEN,GK,31-274,0.4,17.0,15.0,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,Alfred GomisPalermo
Serie B,Palermo,Stredair Appuah,fr FRA,"MF,FW",20-344,0.7,23.0,19.0,4.0,0.0,0.0,0.0,3,2.0,2.0,1.0,1.0,0.0,17.0,0.0,0.0,Stredair AppuahPalermo
Serie B,Palermo,Alessio Buttaro,it ITA,"MF,DF",22-269,0.4,23.0,21.0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,Alessio ButtaroPalermo
Serie B,Palermo,Patryk Peda,pl POL,DF,23-051,0.4,35.0,34.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,Patryk PedaPalermo
Serie B,Palermo,Opponent Total,,,27.3,38.0,16716.0,14798.0,1822.0,559.0,35.0,81.0,755,636.0,205.0,85.0,89.0,0.0,13148.0,96.0,297.0,Opponent TotalPalermo
Serie B,Bari,Boris Radunovic,rs SRB,GK,29-011,36.8,1006.0,681.0,325.0,87.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,764.0,0.0,1.0,Boris RadunovicBari
Serie B,Bari,Emile Dorval,fr FRA,DF,24-117,34.3,1171.0,1078.0,90.0,11.0,3.0,1.0,143,74.0,5.0,1.0,2.0,0.0,851.0,3.0,38.0,Emile DorvalBari
Serie B,Bari,Valerio Mantovani,it ITA,DF,29-049,32.7,1622.0,1298.0,323.0,91.0,0.0,11.0,37,228.0,0.0,0.0,0.0,0.0,1239.0,1.0,18.0,Valerio MantovaniBari
Serie B,Bari,Ahmad Benali,ly LBY,MF,33-119,31.2,1885.0,1738.0,141.0,94.0,3.0,13.0,53,11.0,25.0,11.0,10.0,1.0,1619.0,6.0,25.0,Ahmad BenaliBari
Serie B,Bari,Mattia Maita,it ITA,MF,32-155,30.0,1350.0,1314.0,30.0,21.0,0.0,7.0,17,9.0,0.0,0.0,0.0,0.0,1115.0,6.0,26.0,Mattia MaitaBari
Serie B,Bari,Raffaele Pucino,it ITA,DF,34-034,28.4,1501.0,1229.0,267.0,73.0,1.0,10.0,74,174.0,20.0,7.0,9.0,0.0,1174.0,5.0,23.0,Raffaele PucinoBari
Serie B,Bari,Kevin Lasagna,it ITA,FW,32-300,23.9,414.0,383.0,28.0,1.0,0.0,3.0,26,1.0,0.0,0.0,0.0,0.0,257.0,3.0,13.0,Kevin LasagnaBari
Serie B,Bari,Francesco Vicari,it ITA,DF,30-307,21.8,871.0,828.0,40.0,23.0,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,756.0,3.0,0.0,Francesco VicariBari
Serie B,Bari,Nosa Edward Obaretin,it ITA,DF,22-131,20.1,751.0,685.0,64.0,9.0,0.0,0.0,7,55.0,0.0,0.0,0.0,0.0,625.0,2.0,7.0,Nosa Edward ObaretinBari
Serie B,Bari,Andrea Oliveri,it ITA,DF,22-143,19.4,716.0,642.0,73.0,13.0,0.0,6.0,87,33.0,27.0,10.0,15.0,0.0,542.0,1.0,22.0,Andrea OliveriBari
Serie B,Bari,Costantino Favasuli,it ITA,DF,21-041,18.3,625.0,598.0,25.0,2.0,1.0,0.0,26,22.0,1.0,0.0,0.0,0.0,507.0,2.0,24.0,Costantino FavasuliBari
Serie B,Bari,Cesar Falletti,uy URU,"FW,MF",32-186,17.0,847.0,713.0,127.0,47.0,2.0,8.0,109,5.0,72.0,25.0,31.0,2.0,668.0,7.0,14.0,Cesar FallettiBari
Serie B,Bari,Nunzio Lella,it ITA,MF,24-313,15.4,513.0,504.0,6.0,1.0,0.0,1.0,16,5.0,0.0,0.0,0.0,0.0,394.0,3.0,21.0,Nunzio LellaBari
Serie B,Bari,Lorenco Simic,hr CRO,DF,28-326,11.9,462.0,410.0,52.0,21.0,0.0,0.0,2,6.0,0.0,0.0,0.0,0.0,355.0,0.0,2.0,Lorenco SimicBari
Serie B,Bari,Giuseppe Sibilli,it ITA,"MF,FW",28-303,9.8,393.0,369.0,21.0,5.0,4.0,3.0,40,3.0,7.0,2.0,4.0,0.0,277.0,3.0,13.0,Giuseppe SibilliBari
Serie B,Bari,Andrija Novakovich,us USA,"FW,MF",28-258,12.8,240.0,230.0,9.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,169.0,1.0,5.0,Andrija NovakovichBari
Serie B,Bari,Giulio Maggiore,it ITA,MF,27-086,8.9,296.0,291.0,3.0,3.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,227.0,2.0,4.0,Giulio MaggioreBari
Serie B,Bari,Nicholas Bonfanti,it ITA,"FW,MF",23-070,8.2,118.0,117.0,1.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,81.0,0.0,2.0,Nicholas BonfantiBari
Serie B,Bari,Andrea Favilli,it ITA,FW,28-020,8.7,226.0,211.0,14.0,0.0,0.0,3.0,8,2.0,0.0,0.0,0.0,0.0,146.0,1.0,10.0,Andrea FavilliBari
Serie B,Bari,Raffaele Maiello,it ITA,MF,33-331,6.9,422.0,394.0,23.0,17.0,0.0,1.0,3,2.0,0.0,0.0,0.0,0.0,345.0,5.0,5.0,Raffaele MaielloBari
Serie B,Bari,Nicola Bellomo,it ITA,"MF,FW",34-108,5.8,201.0,165.0,36.0,10.0,0.0,0.0,54,4.0,18.0,5.0,11.0,0.0,127.0,0.0,7.0,Nicola BellomoBari
Serie B,Bari,Gaston Pereiro,uy URU,"MF,FW",29-360,3.1,108.0,98.0,10.0,0.0,0.0,0.0,12,1.0,8.0,7.0,0.0,0.0,81.0,0.0,6.0,Gaston PereiroBari
Serie B,Bari,Giacomo Manzari,it ITA,"MF,FW",24-258,3.8,136.0,117.0,17.0,6.0,1.0,0.0,26,0.0,11.0,9.0,2.0,0.0,89.0,2.0,6.0,Giacomo ManzariBari
Serie B,Bari,Lorenzo Sgarbi,it ITA,"MF,FW",24-074,2.4,130.0,117.0,12.0,1.0,1.0,1.0,23,7.0,2.0,1.0,0.0,0.0,92.0,1.0,9.0,Lorenzo SgarbiBari
Serie B,Bari,Marco Pissardo,it ITA,GK,27-149,1.2,40.0,19.0,21.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,Marco PissardoBari
Serie B,Bari,Alessandro Tripaldelli,it ITA,DF,26-117,1.8,58.0,42.0,16.0,2.0,0.0,0.0,4,14.0,0.0,0.0,0.0,0.0,37.0,0.0,2.0,Alessandro TripaldelliBari
Serie B,Bari,Coli Saco,ml MLI,"MF,FW",23-022,1.8,53.0,53.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,1.0,Coli SacoBari
Serie B,Bari,Giacomo Ricci,it ITA,DF,28-277,0.9,44.0,36.0,8.0,2.0,0.0,0.0,8,3.0,3.0,1.0,2.0,0.0,33.0,0.0,1.0,Giacomo RicciBari
Serie B,Bari,Karlo Lulic,hr CRO,MF,29-027,0.5,36.0,36.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,Karlo LulicBari
Serie B,Bari,Gregorio Morachioli,it ITA,"DF,MF",25-099,0.1,12.0,12.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,Gregorio MorachioliBari
Serie B,Bari,Opponent Total,,,27.2,38.0,16003.0,14107.0,1865.0,623.0,32.0,58.0,736,705.0,163.0,56.0,76.0,0.0,12400.0,31.0,320.0,Opponent TotalBari
Serie B,Sudtirol,Salvatore Molina,it ITA,"DF,MF",33-156,33.1,1256.0,1086.0,166.0,19.0,0.0,3.0,124,141.0,0.0,0.0,0.0,0.0,835.0,4.0,36.0,Salvatore MolinaSudtirol
Serie B,Sudtirol,Raphael Odogwu,ng NGA,FW,34-129,31.2,585.0,570.0,12.0,0.0,1.0,1.0,8,0.0,0.0,0.0,0.0,0.0,376.0,3.0,16.0,Raphael OdogwuSudtirol
Serie B,Sudtirol,Daniele Casiraghi,it ITA,MF,32-088,25.1,1103.0,925.0,177.0,55.0,8.0,6.0,193,20.0,101.0,24.0,70.0,0.0,713.0,1.0,62.0,Daniele CasiraghiSudtirol
