League,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,PlSqu
EFL Championship,Leeds United,Joe Gelhardt,eng ENG,"FW,MF",22.0,0.1,6.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Joe GelhardtLeeds United
EFL Championship,Leeds United,Charlie Crew,wls WAL,MF,18.0,0.1,6.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Charlie CrewLeeds United
EFL Championship,Leeds United,Harry Gray,eng ENG,MF,15.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Harry GrayLeeds United
EFL Championship,Leeds United,James Debayo,eng ENG,DF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,James DebayoLeeds United
EFL Championship,Leeds United,Opponent Total,,,26.0,46.0,17314.0,15158.0,2091.0,565.0,33.0,98.0,540,853.0,136.0,86.0,32.0,1.0,12928.0,65.0,334.0,Opponent TotalLeeds United
EFL Championship,Sheffield United,Michael Cooper,eng ENG,GK,24.0,43.0,1657.0,1302.0,346.0,123.0,0.0,7.0,0,0.0,0.0,0.0,0.0,0.0,1207.0,9.0,0.0,Michael CooperSheffield United
EFL Championship,Sheffield United,Harrison Burrows,eng ENG,DF,22.0,38.4,1971.0,1550.0,416.0,64.0,2.0,1.0,213,249.0,103.0,77.0,9.0,1.0,1402.0,5.0,49.0,Harrison BurrowsSheffield United
EFL Championship,Sheffield United,Callum O'Hare,eng ENG,"MF,FW",26.0,34.9,1078.0,1021.0,48.0,9.0,9.0,3.0,22,4.0,2.0,0.0,0.0,0.0,860.0,9.0,42.0,Callum O'HareSheffield United
EFL Championship,Sheffield United,Gustavo Hamer,nl NED,"FW,MF",27.0,34.7,1569.0,1383.0,171.0,67.0,27.0,24.0,141,14.0,80.0,54.0,14.0,1.0,1057.0,15.0,28.0,Gustavo HamerSheffield United
EFL Championship,Sheffield United,Anel Ahmedhodzic,ba BIH,DF,25.0,34.8,1802.0,1725.0,77.0,44.0,1.0,3.0,7,7.0,0.0,0.0,0.0,0.0,1617.0,0.0,12.0,Anel AhmedhodzicSheffield United
EFL Championship,Sheffield United,Sydie Peck,eng ENG,MF,19.0,32.5,1689.0,1638.0,46.0,14.0,6.0,5.0,46,8.0,24.0,18.0,3.0,0.0,1350.0,5.0,31.0,Sydie PeckSheffield United
EFL Championship,Sheffield United,Vinicius Souza,br BRA,MF,25.0,31.0,1545.0,1495.0,46.0,40.0,2.0,7.0,5,5.0,0.0,0.0,0.0,0.0,1344.0,4.0,22.0,Vinicius SouzaSheffield United
EFL Championship,Sheffield United,Jack Robinson,eng ENG,DF,30.0,31.6,1939.0,1672.0,263.0,83.0,1.0,13.0,3,141.0,0.0,0.0,0.0,0.0,1600.0,4.0,5.0,Jack RobinsonSheffield United
