League,Squad,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,PlSqu
EFL Championship,Leeds United,Joe Gelhardt,eng ENG,"FW,MF",22.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Joe GelhardtLeeds United
EFL Championship,Leeds United,Charlie Crew,wls WAL,MF,18.0,0.1,0,1,1,100.0,18.0,18.0,0.0,0.0,27.6,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Charlie CrewLeeds United
EFL Championship,Leeds United,Harry Gray,eng ENG,MF,15.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Harry GrayLeeds United
EFL Championship,Leeds United,James Debayo,eng ENG,DF,19.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,James DebayoLeeds United
EFL Championship,Leeds United,Opponent Total,,,26.0,46.0,26,304,95,31.3,6.61,2.07,0.08,0.24,17.6,4.0,3,4,29.6,26.5,0.09,-3.6,-3.5,Opponent TotalLeeds United
EFL Championship,Sheffield United,Michael Cooper,eng ENG,GK,24.0,43.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Michael CooperSheffield United
EFL Championship,Sheffield United,Harrison Burrows,eng ENG,DF,22.0,38.4,5,49,14,28.6,1.27,0.36,0.06,0.21,21.8,5.0,2,2,3.9,2.3,0.05,1.1,0.7,Harrison BurrowsSheffield United
EFL Championship,Sheffield United,Callum O'Hare,eng ENG,"MF,FW",26.0,34.9,2,40,12,30.0,1.15,0.34,0.05,0.17,15.0,0.0,0,0,4.7,4.7,0.12,-2.7,-2.7,Callum O'HareSheffield United
EFL Championship,Sheffield United,Gustavo Hamer,nl NED,"FW,MF",27.0,34.7,9,91,27,29.7,2.62,0.78,0.1,0.33,22.6,10.0,0,0,5.8,5.8,0.06,3.2,3.2,Gustavo HamerSheffield United
EFL Championship,Sheffield United,Anel Ahmedhodzic,ba BIH,DF,25.0,34.8,3,12,4,33.3,0.34,0.11,0.25,0.75,9.3,0.0,0,0,2.3,2.3,0.19,0.7,0.7,Anel AhmedhodzicSheffield United
EFL Championship,Sheffield United,Sydie Peck,eng ENG,MF,19.0,32.5,0,39,11,28.2,1.2,0.34,0.0,0.0,18.7,0.0,0,0,2.1,2.1,0.05,-2.1,-2.1,Sydie PeckSheffield United
EFL Championship,Sheffield United,Vinicius Souza,br BRA,MF,25.0,31.0,0,15,6,40.0,0.48,0.19,0.0,0.0,21.0,0.0,0,0,0.7,0.7,0.04,-0.7,-0.7,Vinicius SouzaSheffield United
EFL Championship,Sheffield United,Jack Robinson,eng ENG,DF,30.0,31.6,0,14,2,14.3,0.44,0.06,0.0,0.0,8.0,0.0,0,0,0.9,0.9,0.06,-0.9,-0.9,Jack RobinsonSheffield United
EFL Championship,Sheffield United,Alfie Gilchrist,eng ENG,DF,20.0,23.4,0,9,2,22.2,0.39,0.09,0.0,0.0,22.1,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,Alfie GilchristSheffield United
EFL Championship,Sheffield United,Jesurun Rak Sakyi,eng ENG,"FW,MF",21.0,19.2,7,46,16,34.8,2.4,0.83,0.15,0.44,14.0,0.0,0,0,6.1,6.1,0.13,0.9,0.9,Jesurun Rak SakyiSheffield United
