Squad,Player,PlSqu,Rk,Nation,Pos,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
Le Havre,Fode Ballo-Toure,Fode Ballo-ToureLe Havre,221,sn SEN,"DF,MF",fr Ligue 1,27,1997,10,9,589,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,15,13,14,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Parma,Botond Balogh,Botond BaloghParma,222,hu HUN,DF,it Serie A,22,2002,29,23,2053,22.8,0,1,1,0,0,0,5,0,0.4,0.4,0.1,0.5,7,37,1,0.00,0.04,0.04,0.00,0.04,0.02,0.00,0.02,0.02,0.02
Monaco,Folarin Balogun,Folarin BalogunMonaco,223,us USA,FW,fr Ligue 1,23,2001,13,7,615,6.8,4,0,4,4,0,0,0,0,4.8,4.8,0.9,5.6,21,9,73,0.59,0.00,0.59,0.59,0.59,0.70,0.13,0.82,0.70,0.82
Genoa,Mario Balotelli,Mario BalotelliGenoa,224,it ITA,"FW,MF",it Serie A,33,1990,6,0,62,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,5,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Angers,Abdoulaye Bamba,Abdoulaye BambaAngers,225,ci CIV,DF,fr Ligue 1,34,1990,19,16,1510,16.8,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,1,16,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02
Celta Vigo,Jonathan Bamba,Jonathan BambaCelta Vigo,226,ci CIV,"FW,MF",es La Liga,28,1996,12,10,811,9.0,0,1,1,0,0,0,1,0,0.8,0.8,1.8,2.6,31,30,71,0.00,0.11,0.11,0.00,0.11,0.09,0.20,0.29,0.09,0.29
Reims,Mohamed Bamba,Mohamed BambaReims,227,ci CIV,MF,fr Ligue 1,19,2004,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bochum,Samuel Bamba,Samuel BambaBochum,228,de GER,"FW,MF",de Bundesliga,20,2004,5,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,5,8,0.00,0.00,0.00,0.00,0.00,0.35,0.10,0.45,0.35,0.45
Lecce,Lameck Banda,Lameck BandaLecce,229,zm ZAM,"FW,MF",it Serie A,23,2001,15,6,610,6.8,0,1,1,0,0,0,1,0,1.2,1.2,1.1,2.3,27,7,46,0.00,0.15,0.15,0.00,0.15,0.18,0.16,0.34,0.18,0.34
Hellas Verona,Daniel Bandeira,Daniel BandeiraHellas Verona,230,pt POR,MF,it Serie A,24,2000,11,4,407,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,1,25,4,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Genoa,Mattia Bani,Mattia BaniGenoa,231,it ITA,DF,it Serie A,30,1993,20,19,1507,16.7,0,0,0,0,0,0,3,0,1.2,1.2,0.2,1.4,6,25,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08
Augsburg,Noahkai Banks,Noahkai BanksAugsburg,232,us USA,DF,de Bundesliga,17,2006,8,2,278,3.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,8,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
St. Pauli,Scott Banks,Scott BanksSt. Pauli,233,sct SCO,"FW,MF",de Bundesliga,22,2001,12,0,116,1.3,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,3,1,8,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22
Valladolid,Adrian Baquerin,Adrian BaquerinValladolid,234,es ESP,FW,es La Liga,17,2007,5,0,49,0.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,1,0,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.71,0.71,0.71
Fiorentina,Antonin Barak,Antonin BarakFiorentina,235,cz CZE,MF,it Serie A,29,1994,1,1,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,2,5,0.00,0.00,0.00,0.00,0.00,0.13,0.47,0.60,0.13,0.60
Como,Federico Barba,Federico BarbaComo,236,it ITA,DF,it Serie A,30,1993,7,5,431,4.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,25,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Sevilla,Valentin Barco,Valentin BarcoSevilla,237,ar ARG,"DF,FW",es La Liga,20,2004,7,3,288,3.2,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,4,13,13,0.00,0.00,0.00,0.00,0.00,0.09,0.20,0.28,0.09,0.28
Strasbourg,Valentin Barco,Valentin BarcoStrasbourg,238,ar ARG,"MF,DF",fr Ligue 1,20,2004,14,14,1157,12.9,0,2,2,0,0,0,2,0,0.5,0.5,1.5,2.0,20,64,55,0.00,0.16,0.16,0.00,0.16,0.04,0.11,0.15,0.04,0.15
Paris S-G,Bradley Barcola,Bradley BarcolaParis S-G,239,fr FRA,FW,fr Ligue 1,21,2002,34,27,2181,24.2,14,10,24,14,0,0,2,0,13.4,13.4,10.1,23.5,137,96,374,0.58,0.41,0.99,0.58,0.99,0.55,0.42,0.97,0.55,0.97
Nice,Melvin Bard,Melvin BardNice,240,fr FRA,"DF,MF",fr Ligue 1,23,2000,24,22,1938,21.5,2,1,3,2,0,0,4,2,2.2,2.2,1.9,4.1,53,88,95,0.09,0.05,0.14,0.09,0.14,0.10,0.09,0.19,0.10,0.19
Inter,Nicolo Barella,Nicolo BarellaInter,241,it ITA,MF,it Serie A,27,1997,33,29,2493,27.7,3,6,9,3,0,0,4,0,2.2,2.2,4.5,6.7,63,235,133,0.11,0.22,0.32,0.11,0.32,0.08,0.16,0.24,0.08,0.24
