Squad,Player,PlSqu,Rk,Nation,Pos,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
Monza,Patrick Ciurria,Patrick CiurriaMonza,568,it ITA,"MF,DF",it Serie A,29,1995,21,12,1111,12.3,1,1,2,1,0,0,1,0,0.8,0.8,2.3,3.1,19,27,52,0.08,0.08,0.16,0.08,0.16,0.07,0.18,0.25,0.07,0.25
Ipswich Town,Harry Clarke,Harry ClarkeIpswich Town,569,eng ENG,DF,eng Premier League,23,2001,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,5,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Ipswich Town,Jack Clarke,Jack ClarkeIpswich Town,570,eng ENG,"FW,MF",eng Premier League,23,2000,32,12,1181,13.1,0,4,4,0,0,0,2,0,1.2,1.2,2.3,3.5,39,44,57,0.00,0.30,0.30,0.00,0.30,0.09,0.17,0.26,0.09,0.26
Augsburg,Alexis Claude-Maurice,Alexis Claude-MauriceAugsburg,571,fr FRA,"MF,FW",de Bundesliga,26,1998,28,25,2109,23.4,9,2,11,9,0,0,4,0,4.7,4.7,1.2,5.9,59,61,102,0.38,0.09,0.47,0.38,0.47,0.20,0.05,0.25,0.20,0.25
Nice,Jonathan Clauss,Jonathan ClaussNice,572,fr FRA,"DF,MF",fr Ligue 1,31,1992,28,27,2303,25.6,3,8,11,3,0,0,7,0,2.2,2.2,7.7,9.9,53,105,160,0.12,0.31,0.43,0.12,0.43,0.09,0.30,0.39,0.09,0.39
Girona,Silvi Clua,Silvi CluaGirona,573,es ESP,MF,es La Liga,19,2005,4,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,3,3,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Crystal Palace,Nathaniel Clyne,Nathaniel ClyneCrystal Palace,574,eng ENG,"DF,MF",eng Premier League,33,1991,13,5,483,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,6,7,8,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Leicester City,Conor Coady,Conor CoadyLeicester City,575,eng ENG,DF,eng Premier League,31,1993,22,19,1714,19.0,1,0,1,1,0,0,3,0,0.4,0.4,0.1,0.5,3,32,0,0.05,0.00,0.05,0.05,0.05,0.02,0.00,0.03,0.02,0.03
Nantes,Marcus Coco,Marcus CocoNantes,576,fr FRA,DF,fr Ligue 1,28,1996,20,10,951,10.6,0,1,1,0,0,0,3,2,0.1,0.1,1.2,1.3,12,34,40,0.00,0.09,0.09,0.00,0.09,0.01,0.12,0.12,0.01,0.12
Torino,Saul Coco,Saul CocoTorino,577,gq EQG,DF,it Serie A,25,1999,32,32,2845,31.6,2,0,2,2,0,0,10,0,1.2,1.2,0.0,1.2,17,70,3,0.06,0.00,0.06,0.06,0.06,0.04,0.00,0.04,0.04,0.04
Everton,Seamus Coleman,Seamus ColemanEverton,578,ie IRL,DF,eng Premier League,35,1988,5,3,215,2.4,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,11,7,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24
Brentford,Nathan Collins,Nathan CollinsBrentford,579,ie IRL,DF,eng Premier League,23,2001,38,38,3420,38.0,2,3,5,2,0,0,5,0,2.5,2.5,1.8,4.3,32,127,18,0.05,0.08,0.13,0.05,0.13,0.07,0.05,0.11,0.07,0.11
Eint Frankfurt,Nnamdi Collins,Nnamdi CollinsEint Frankfurt,580,de GER,DF,de Bundesliga,20,2004,24,15,1489,16.5,1,1,2,1,0,0,4,0,0.8,0.8,1.0,1.8,30,63,42,0.06,0.06,0.12,0.06,0.12,0.05,0.06,0.11,0.05,0.11
Manchester Utd,Toby Collyer,Toby CollyerManchester Utd,581,eng ENG,MF,eng Premier League,20,2004,6,0,179,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0,5,2,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.22,0.09,0.22
Empoli,Lorenzo Colombo,Lorenzo ColomboEmpoli,582,it ITA,"FW,MF",it Serie A,22,2002,37,26,2233,24.8,6,2,8,5,1,1,5,1,5.9,5.1,2.9,8.0,27,48,116,0.24,0.08,0.32,0.20,0.28,0.24,0.12,0.35,0.21,0.32
Fiorentina,Andrea Colpani,Andrea ColpaniFiorentina,583,it ITA,"FW,MF",it Serie A,25,1999,25,18,1450,16.1,2,1,3,2,0,0,1,0,2.7,2.7,1.3,3.9,37,57,129,0.12,0.06,0.19,0.12,0.19,0.17,0.08,0.24,0.17,0.24
Chelsea,Levi Colwill,Levi ColwillChelsea,584,eng ENG,DF,eng Premier League,21,2003,35,35,3149,35.0,2,1,3,2,0,0,9,0,1.9,1.9,1.1,3.0,14,131,12,0.06,0.03,0.09,0.06,0.09,0.05,0.03,0.09,0.05,0.09
Cagliari,Florinel Coman,Florinel ComanCagliari,585,ro ROU,"FW,MF",it Serie A,26,1998,9,2,263,2.9,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,5,5,22,0.34,0.00,0.34,0.34,0.34,0.08,0.01,0.08,0.08,0.08
Bayern Munich,Kingsley Coman,Kingsley ComanBayern Munich,586,fr FRA,FW,de Bundesliga,28,1996,28,14,1282,14.2,5,4,9,5,0,0,0,0,4.3,4.3,3.3,7.6,66,45,215,0.35,0.28,0.63,0.35,0.63,0.30,0.23,0.53,0.30,0.53
Valladolid,Eray Comert,Eray ComertValladolid,587,ch SUI,"DF,MF",es La Liga,26,1998,25,21,1779,19.8,0,0,0,0,0,0,6,0,0.9,0.9,0.0,0.9,9,48,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Villarreal,Santi Comesana,Santi ComesanaVillarreal,588,es ESP,MF,es La Liga,27,1996,35,30,2560,28.4,4,2,6,4,0,0,7,0,4.6,4.6,2.0,6.6,39,154,58,0.14,0.07,0.21,0.14,0.21,0.16,0.07,0.23,0.16,0.23
Fiorentina,Pietro Comuzzo,Pietro ComuzzoFiorentina,589,it ITA,DF,it Serie A,19,2005,33,24,2200,24.4,1,0,1,1,0,0,5,0,0.5,0.5,0.6,1.1,14,75,12,0.04,0.00,0.04,0.04,0.04,0.02,0.02,0.05,0.02,0.05
Juventus,Francisco Conceicao,Francisco ConceicaoJuventus,590,pt POR,"FW,MF",it Serie A,21,2002,26,12,1340,14.9,3,3,6,3,0,0,5,1,2.3,2.3,4.3,6.6,95,35,143,0.20,0.20,0.40,0.20,0.40,0.16,0.29,0.45,0.16,0.45
Villarreal,Diego Conde,Diego CondeVillarreal,591,es ESP,GK,es La Liga,25,1998,22,22,1962,21.8,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.05,0.05,0.00,0.05,0.00,0.01,0.01,0.00,0.01
Alaves,Tomas Conechny,Tomas ConechnyAlaves,592,ar ARG,"FW,MF",es La Liga,26,1998,22,9,847,9.4,1,0,1,1,0,0,8,0,2.4,2.4,0.3,2.7,14,23,61,0.11,0.00,0.11,0.11,0.11,0.26,0.03,0.29,0.26,0.29
Le Havre,Alois Confais,Alois ConfaisLe Havre,593,fr FRA,MF,fr Ligue 1,27,1996,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Heidenheim,Sirlord Conteh,Sirlord ContehHeidenheim,594,de GER,"FW,MF",de Bundesliga,28,1996,29,4,892,9.9,1,1,2,1,0,0,2,0,2.1,2.1,2.6,4.7,29,19,75,0.10,0.10,0.20,0.10,0.20,0.21,0.26,0.47,0.21,0.47
Bournemouth,Lewis Cook,Lewis CookBournemouth,595,eng ENG,"MF,DF",eng Premier League,27,1997,36,32,2978,33.1,1,3,4,1,0,0,8,1,0.9,0.9,4.1,5.1,33,158,52,0.03,0.09,0.12,0.03,0.12,0.03,0.12,0.15,0.03,0.15
Mallorca,Copete,CopeteMallorca,596,es ESP,DF,es La Liga,24,1999,25,16,1528,17.0,0,0,0,0,0,0,6,0,0.5,0.5,0.0,0.5,10,47,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Hellas Verona,Diego Coppola,Diego CoppolaHellas Verona,597,it ITA,DF,it Serie A,20,2003,34,33,2927,32.5,2,0,2,2,0,0,10,0,0.7,0.7,0.1,0.8,4,48,3,0.06,0.00,0.06,0.06,0.06,0.02,0.00,0.02,0.02,0.02
Nantes,Francis Coquelin,Francis CoquelinNantes,598,fr FRA,MF,fr Ligue 1,33,1991,6,3,224,2.5,1,1,2,1,0,0,1,0,1.0,1.0,1.1,2.1,3,8,2,0.40,0.40,0.80,0.40,0.80,0.42,0.44,0.86,0.42,0.86
Valencia,Iker Cordoba,Iker CordobaValencia,599,es ESP,DF,es La Liga,18,2005,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.45,0.00,0.45
Marseille,Derek Cornelius,Derek CorneliusMarseille,600,ca CAN,DF,fr Ligue 1,26,1997,21,17,1420,15.8,0,0,0,0,0,0,9,2,0.9,0.9,0.1,1.0,10,68,11,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.06,0.06,0.06
Southampton,Maxwel Cornet,Maxwel CornetSouthampton,601,ci CIV,FW,eng Premier League,27,1996,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,0,5,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20
Genoa,Maxwel Cornet,Maxwel CornetGenoa,602,ci CIV,"FW,MF",it Serie A,27,1996,7,2,246,2.7,2,1,3,2,0,0,0,0,1.0,1.0,0.6,1.6,8,4,26,0.73,0.37,1.10,0.73,1.10,0.37,0.22,0.59,0.37,0.59
Saint-Etienne,Pierre Cornud,Pierre CornudSaint-Etienne,603,fr FRA,DF,fr Ligue 1,27,1996,11,7,576,6.4,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,11,19,17,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Atletico Madrid,Angel Correa,Angel CorreaAtletico Madrid,604,ar ARG,"FW,MF",es La Liga,29,1995,31,3,805,8.9,4,1,5,4,0,0,3,1,4.5,4.5,2.1,6.6,30,25,85,0.45,0.11,0.56,0.45,0.56,0.51,0.23,0.74,0.51,0.74
Inter,Joaquin Correa,Joaquin CorreaInter,605,ar ARG,"FW,MF",it Serie A,29,1994,19,6,731,8.1,2,2,4,2,0,0,3,0,2.1,2.1,2.0,4.1,22,42,45,0.25,0.25,0.49,0.25,0.49,0.26,0.24,0.50,0.26,0.50
Valencia,Thierry Correia,Thierry CorreiaValencia,606,pt POR,DF,es La Liga,25,1999,11,9,768,8.5,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,16,44,48,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08
Juventus,Alberto costa,Alberto costaJuventus,607,pt POR,DF,it Serie A,20,2003,9,3,357,4.0,0,1,1,0,0,0,3,0,0.6,0.6,0.2,0.8,8,8,25,0.00,0.25,0.25,0.00,0.25,0.15,0.05,0.20,0.15,0.20
Getafe,Coba da Costa,Coba da CostaGetafe,608,es ESP,"MF,FW",es La Liga,22,2002,19,12,1006,11.2,1,1,2,1,0,0,4,0,1.1,1.1,1.4,2.6,46,16,83,0.09,0.09,0.18,0.09,0.18,0.10,0.13,0.23,0.10,0.23
Mainz 05,Danny da Costa,Danny da CostaMainz 05,609,de GER,DF,de Bundesliga,31,1993,25,25,2006,22.3,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,21,109,22,0.00,0.04,0.04,0.00,0.04,0.00,0.03,0.03,0.00,0.03
Lens,David Costa,David CostaLens,610,pt POR,"MF,FW",fr Ligue 1,23,2001,11,3,352,3.9,0,0,0,0,0,0,0,1,1.2,1.2,0.4,1.6,14,24,20,0.00,0.00,0.00,0.00,0.00,0.31,0.10,0.41,0.31,0.41
Villarreal,Logan Costa,Logan CostaVillarreal,611,cv CPV,DF,es La Liga,23,2001,32,28,2587,28.7,2,1,3,2,0,0,3,0,0.7,0.7,0.6,1.3,25,116,10,0.07,0.03,0.10,0.07,0.10,0.02,0.02,0.05,0.02,0.05
Toulouse,Logan Costa,Logan CostaToulouse,612,cv CPV,DF,fr Ligue 1,23,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50
Mallorca,Samu Costa,Samu CostaMallorca,613,pt POR,MF,es La Liga,23,2000,32,31,2649,29.4,0,2,2,0,0,0,10,1,1.8,1.8,1.2,3.0,24,116,69,0.00,0.07,0.07,0.00,0.07,0.06,0.04,0.10,0.06,0.10
Brest,Gregoire Coudert,Gregoire CoudertBrest,614,fr FRA,GK,fr Ligue 1,25,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
West Ham,Vladimir Coufal,Vladimir CoufalWest Ham,615,cz CZE,DF,eng Premier League,31,1992,22,11,1067,11.9,0,0,0,0,0,0,5,0,0.3,0.3,0.7,1.0,26,39,33,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.08,0.03,0.08
Lecce,Lassana Coulibaly,Lassana CoulibalyLecce,616,ml MLI,MF,it Serie A,28,1996,38,30,2667,29.6,1,0,1,1,0,0,3,0,0.8,0.8,0.9,1.7,21,93,49,0.03,0.00,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.06
Auxerre,Lasso Coulibaly,Lasso CoulibalyAuxerre,617,ci CIV,"FW,MF",fr Ligue 1,21,2002,3,0,45,0.5,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.3,0,0,4,2.00,0.00,2.00,2.00,2.00,0.56,0.13,0.69,0.56,0.69
Monaco,Mamadou Coulibaly,Mamadou CoulibalyMonaco,618,fr FRA,MF,fr Ligue 1,20,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.85,0.00,0.85,0.85,0.85
Brest,Soumaila Coulibaly,Soumaila CoulibalyBrest,619,fr FRA,DF,fr Ligue 1,20,2003,7,5,438,4.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,1,16,0,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
Montpellier,Tanguy Coulibaly,Tanguy CoulibalyMontpellier,620,fr FRA,"FW,MF",fr Ligue 1,23,2001,25,17,1485,16.5,3,0,3,3,0,0,4,2,3.5,3.5,1.3,4.8,48,20,97,0.18,0.00,0.18,0.18,0.18,0.22,0.08,0.31,0.22,0.31
Leicester City,Woyo Coulibaly,Woyo CoulibalyLeicester City,621,ml MLI,DF,eng Premier League,25,1999,4,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,3,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Parma,Woyo Coulibaly,Woyo CoulibalyParma,622,ml MLI,DF,it Serie A,25,1999,14,12,1084,12.0,0,1,1,0,0,0,1,1,0.1,0.1,0.9,1.1,36,41,23,0.00,0.08,0.08,0.00,0.08,0.01,0.08,0.09,0.01,0.09
Angers,Marius Courcoul,Marius CourcoulAngers,623,fr FRA,"MF,DF",fr Ligue 1,17,2007,8,3,309,3.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,7,7,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Real Madrid,Thibaut Courtois,Thibaut CourtoisReal Madrid,624,be BEL,GK,es La Liga,32,1992,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dortmund,Yan Couto,Yan CoutoDortmund,625,br BRA,"DF,FW",de Bundesliga,22,2002,21,8,895,9.9,0,0,0,0,0,0,5,0,0.3,0.3,0.9,1.2,46,68,83,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.12,0.03,0.12
Nantes,Nicolas Cozza,Nicolas CozzaNantes,626,fr FRA,"DF,MF",fr Ligue 1,25,1999,27,23,2051,22.8,1,0,1,1,0,0,3,1,1.4,1.4,1.4,2.8,25,64,56,0.04,0.00,0.04,0.04,0.04,0.06,0.06,0.12,0.06,0.12
West Ham,Aaron Cresswell,Aaron CresswellWest Ham,627,eng ENG,DF,eng Premier League,34,1989,18,10,824,9.2,0,0,0,0,0,0,3,0,0.2,0.2,1.3,1.6,6,36,4,0.00,0.00,0.00,0.00,0.00,0.03,0.15,0.17,0.03,0.17
Toulouse,Charlie Cresswell,Charlie CresswellToulouse,628,eng ENG,DF,fr Ligue 1,21,2002,31,29,2592,28.8,3,1,4,3,0,0,5,0,3.3,3.3,1.7,5.0,8,69,13,0.10,0.03,0.14,0.10,0.14,0.11,0.06,0.17,0.11,0.17
Roma,Bryan Cristante,Bryan CristanteRoma,629,it ITA,MF,it Serie A,29,1995,30,23,2045,22.7,4,2,6,4,0,0,8,0,2.1,2.1,1.4,3.5,25,145,41,0.18,0.09,0.26,0.18,0.26,0.09,0.06,0.15,0.09,0.15
Venezia,Domen Crnigoj,Domen CrnigojVenezia,630,si SVN,MF,it Serie A,28,1995,8,1,136,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,4,6,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Osasuna,Juan Cruz Armada,Juan Cruz ArmadaOsasuna,631,es ESP,DF,es La Liga,32,1992,25,19,1492,16.6,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.2,9,53,12,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Leganes,Juan Cruz,Juan CruzLeganes,632,es ESP,"FW,MF",es La Liga,24,2000,34,26,2257,25.1,5,4,9,5,0,0,2,0,2.7,2.7,4.1,6.9,59,66,131,0.20,0.16,0.36,0.20,0.36,0.11,0.17,0.27,0.11,0.27
Atalanta,Juan Cuadrado,Juan CuadradoAtalanta,633,co COL,"DF,MF",it Serie A,36,1988,23,7,832,9.2,0,2,2,0,0,0,3,0,0.9,0.9,2.0,2.9,41,64,90,0.00,0.22,0.22,0.00,0.22,0.10,0.22,0.31,0.10,0.31
Barcelona,Pau Cubarsi,Pau CubarsiBarcelona,634,es ESP,DF,es La Liga,17,2007,35,29,2618,29.1,0,3,3,0,0,0,3,0,0.8,0.8,1.6,2.5,26,191,6,0.00,0.10,0.10,0.00,0.10,0.03,0.06,0.08,0.03,0.08
Betis,Cucho,CuchoBetis,635,co COL,FW,es La Liga,25,1999,15,14,1139,12.7,5,1,6,5,0,0,0,0,3.8,3.8,1.5,5.3,27,34,82,0.40,0.08,0.47,0.40,0.47,0.30,0.12,0.42,0.30,0.42
Chelsea,Marc Cucurella,Marc CucurellaChelsea,636,es ESP,DF,eng Premier League,26,1998,36,33,2988,33.2,5,1,6,5,0,0,10,1,2.8,2.8,2.1,4.9,35,118,117,0.15,0.03,0.18,0.15,0.18,0.08,0.06,0.15,0.08,0.15
Fulham,Jorge Cuenca,Jorge CuencaFulham,637,es ESP,DF,eng Premier League,24,1999,8,4,351,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Wolves,Matheus Cunha,Matheus CunhaWolves,638,br BRA,"MF,FW",eng Premier League,25,1999,33,29,2597,28.9,15,6,21,15,0,0,4,0,8.6,8.6,7.7,16.4,112,144,161,0.52,0.21,0.73,0.52,0.73,0.30,0.27,0.57,0.30,0.57
Como,Patrick Cutrone,Patrick CutroneComo,639,it ITA,FW,it Serie A,26,1998,33,23,2047,22.7,7,4,11,7,0,1,1,0,7.1,6.3,2.1,8.4,53,31,155,0.31,0.18,0.48,0.31,0.48,0.31,0.09,0.41,0.28,0.37
Gladbach,Tomas Cvancara,Tomas CvancaraGladbach,640,cz CZE,FW,de Bundesliga,23,2000,28,7,831,9.2,2,0,2,2,0,0,5,1,3.8,3.8,0.9,4.7,15,23,50,0.22,0.00,0.22,0.22,0.22,0.41,0.10,0.51,0.41,0.51
Parma,Wylan Cyprien,Wylan CyprienParma,641,fr FRA,MF,it Serie A,29,1995,2,0,28,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,0,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.63,0.63,0.63
Monza,Danilo D'Ambrosio,Danilo D'AmbrosioMonza,642,it ITA,DF,it Serie A,35,1988,20,12,1095,12.2,0,1,1,0,0,0,2,1,0.5,0.5,0.4,0.9,10,34,16,0.00,0.08,0.08,0.00,0.08,0.04,0.03,0.08,0.04,0.08
Como,Lucas Da Cunha,Lucas Da CunhaComo,643,fr FRA,MF,it Serie A,23,2001,36,30,2613,29.0,3,2,5,3,0,0,4,0,2.0,2.0,3.8,5.8,63,154,85,0.10,0.07,0.17,0.10,0.17,0.07,0.13,0.20,0.07,0.20
Roma,Samuel Dahl,Samuel DahlRoma,644,se SWE,"DF,MF",it Serie A,24,2000,2,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Augsburg,Finn Dahmen,Finn DahmenAugsburg,645,de GER,GK,de Bundesliga,26,1998,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Holstein Kiel,Thomas Dahne,Thomas DahneHolstein Kiel,646,de GER,GK,de Bundesliga,30,1994,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eint Frankfurt,Mahmoud Dahoud,Mahmoud DahoudEint Frankfurt,647,de GER,MF,de Bundesliga,28,1996,9,3,364,4.0,1,1,2,1,0,0,2,0,0.5,0.5,0.7,1.2,1,17,6,0.25,0.25,0.49,0.25,0.49,0.13,0.18,0.31,0.13,0.31
Leicester City,Patson Daka,Patson DakaLeicester City,648,zm ZAM,"FW,MF",eng Premier League,25,1998,23,6,736,8.2,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.3,11,8,36,0.12,0.00,0.12,0.12,0.12,0.15,0.01,0.16,0.15,0.16
Stuttgart,Ameen Al-Dakhil,Ameen Al-DakhilStuttgart,649,be BEL,DF,de Bundesliga,22,2002,7,6,432,4.8,0,0,0,0,0,0,0,1,0.1,0.1,0.2,0.2,1,12,0,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Bologna,Thijs Dallinga,Thijs DallingaBologna,650,nl NED,FW,it Serie A,23,2000,31,11,1154,12.8,3,2,5,3,0,0,1,0,4.3,4.3,0.6,4.9,9,17,84,0.23,0.16,0.39,0.23,0.39,0.33,0.05,0.38,0.33,0.38
Manchester Utd,Diogo Dalot,Diogo DalotManchester Utd,651,pt POR,DF,eng Premier League,25,1999,33,31,2814,31.3,0,3,3,0,0,0,5,0,2.0,2.0,2.0,4.1,62,103,168,0.00,0.10,0.10,0.00,0.10,0.07,0.07,0.13,0.07,0.13
Brentford,Mikkel Damsgaard,Mikkel DamsgaardBrentford,652,dk DEN,"MF,FW",eng Premier League,24,2000,38,34,2911,32.3,2,10,12,2,0,0,2,0,2.8,2.8,8.4,11.2,73,234,137,0.06,0.31,0.37,0.06,0.37,0.09,0.26,0.35,0.09,0.35
Fiorentina,Maat Daniel Caprini,Maat Daniel CapriniFiorentina,653,it ITA,FW,it Serie A,18,2006,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hellas Verona,Flavius Daniliuc,Flavius DaniliucHellas Verona,654,at AUT,DF,it Serie A,23,2001,18,9,1004,11.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,8,38,8,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Nott'ham Forest,Danilo,DaniloNott'ham Forest,655,br BRA,"MF,FW",eng Premier League,23,2001,8,5,275,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Juventus,Danilo,DaniloJuventus,656,br BRA,DF,it Serie A,33,1991,12,6,581,6.5,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,16,45,7,0.00,0.15,0.15,0.00,0.15,0.02,0.06,0.08,0.02,0.08
Villarreal,Arnaut Danjuma,Arnaut DanjumaVillarreal,657,nl NED,FW,es La Liga,27,1997,3,3,200,2.2,2,0,2,2,0,0,1,0,0.8,0.8,0.0,0.8,4,1,17,0.90,0.00,0.90,0.90,0.90,0.37,0.01,0.38,0.37,0.38
Girona,Arnaut Danjuma,Arnaut DanjumaGirona,658,nl NED,"FW,MF",es La Liga,27,1997,25,15,1335,14.8,2,0,2,2,0,0,2,0,3.6,3.6,1.7,5.3,91,41,185,0.13,0.00,0.13,0.13,0.13,0.24,0.11,0.35,0.24,0.35
Liverpool,Jayden Danns,Jayden DannsLiverpool,659,eng ENG,MF,eng Premier League,18,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Auxerre,Kevin Danois,Kevin DanoisAuxerre,660,fr FRA,MF,fr Ligue 1,20,2004,22,16,1460,16.2,0,0,0,0,0,0,1,0,1.5,1.5,2.2,3.7,19,95,50,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.23,0.09,0.23
Tottenham,Kevin Danso,Kevin DansoTottenham,661,at AUT,DF,eng Premier League,25,1998,10,9,842,9.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,11,19,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Lens,Kevin Danso,Kevin DansoLens,662,at AUT,DF,fr Ligue 1,25,1998,12,12,1080,12.0,0,0,0,0,0,0,3,0,0.5,0.5,1.0,1.5,9,52,1,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13
Nice,Dante,DanteNice,663,br BRA,DF,fr Ligue 1,40,1983,25,21,1964,21.8,0,0,0,0,0,0,5,1,0.5,0.5,0.2,0.6,18,96,8,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Strasbourg,Pape Daouda Diongue,Pape Daouda DiongueStrasbourg,664,sn SEN,"MF,FW",fr Ligue 1,,,9,1,78,0.9,1,0,1,1,0,0,0,0,1.0,1.0,0.2,1.2,2,2,3,1.15,0.00,1.15,1.15,1.15,1.18,0.23,1.41,1.18,1.41
Reims,Mohamed Daramy,Mohamed DaramyReims,665,dk DEN,FW,fr Ligue 1,22,2002,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,0,2,0.00,0.00,0.00,0.00,0.00,0.20,0.32,0.51,0.20,0.51
