Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,PlSqu
Juventus,Vasilije Adzic,36,me MNE,"MF,FW",it Serie A,18,2006,0.5,2,2,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0,Vasilije AdzicJuventus
Bologna,Michel Aebischer,37,ch SUI,MF,it Serie A,27,1997,8.0,18,13,8,7,3,10,14,71.4,4,4,1,3,7,25,6,0,Michel AebischerBologna
St. Pauli,Oladapo Afolayan,38,eng ENG,"FW,MF",de Bundesliga,26,1998,18.2,17,8,4,8,5,7,19,36.8,12,17,1,16,8,25,20,0,Oladapo AfolayanSt. Pauli
Wolves,Emmanuel Agbadou,39,ci CIV,DF,eng Premier League,27,1997,15.7,30,19,21,9,0,13,20,65.0,7,19,13,6,12,42,90,0,Emmanuel AgbadouWolves
Reims,Emmanuel Agbadou,40,ci CIV,DF,fr Ligue 1,27,1997,14.0,25,17,19,3,3,19,26,73.1,7,22,13,9,19,44,64,1,Emmanuel AgbadouReims
Crystal Palace,Asher Agbinone,41,eng ENG,MF,eng Premier League,18,2005,0.1,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,Asher AgbinoneCrystal Palace
Lens,Jeremy Agbonifo,42,se SWE,"FW,MF",fr Ligue 1,18,2005,3.3,7,6,6,0,1,3,7,42.9,4,2,1,1,1,8,0,1,Jeremy AgbonifoLens
Athletic Club,Julen Agirrezabala,43,es ESP,GK,es La Liga,23,2000,13.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,Julen AgirrezabalaAthletic Club
Sevilla,Lucien Agoume,44,fr FRA,MF,es La Liga,22,2002,23.5,70,32,23,37,10,27,39,69.2,12,30,11,19,41,111,42,0,Lucien AgoumeSevilla
Werder Bremen,Felix Agu,45,ng NGA,DF,de Bundesliga,24,1999,19.5,30,14,12,14,4,12,23,52.2,11,27,9,18,21,51,48,0,Felix AguWerder Bremen
Espanyol,Alvaro Aguado,46,es ESP,MF,es La Liga,28,1996,4.9,5,2,3,2,0,3,9,33.3,6,7,1,6,4,9,5,1,Alvaro AguadoEspanyol
Real Madrid,Lorenzo Aguado,47,es ESP,DF,es La Liga,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Lorenzo AguadoReal Madrid
Real Sociedad,Nayef Aguerd,48,ma MAR,DF,es La Liga,28,1996,19.6,30,24,17,12,1,12,18,66.7,6,21,15,6,13,43,91,0,Nayef AguerdReal Sociedad
Lens,Ruben Aguilar,49,fr FRA,"DF,MF",fr Ligue 1,31,1993,12.5,34,18,17,12,5,24,39,61.5,15,25,3,22,13,47,23,0,Ruben AguilarLens
Rennes,Naouirou Ahamada,50,fr FRA,"MF,FW",fr Ligue 1,22,2002,0.6,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,Naouirou AhamadaRennes
Genoa,Honest Ahanor,51,it ITA,"DF,MF",it Serie A,16,2008,3.0,7,5,2,3,2,7,10,70.0,3,4,0,4,1,8,9,0,Honest AhanorGenoa
St. Pauli,Erik Ahlstrand,52,se SWE,"FW,MF",de Bundesliga,22,2001,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,Erik AhlstrandSt. Pauli
Angers,Jean-Eudes Aholou,53,ci CIV,MF,fr Ligue 1,30,1994,21.8,56,36,26,20,10,22,48,45.8,26,34,14,20,33,89,32,0,Jean-Eudes AholouAngers
Valladolid,Joseph Aidoo,54,gh GHA,DF,es La Liga,28,1995,6.5,5,5,3,2,0,2,3,66.7,1,8,4,4,5,10,26,1,Joseph AidooValladolid
Celta Vigo,Joseph Aidoo,55,gh GHA,DF,es La Liga,28,1995,0.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Joseph AidooCelta Vigo
Saint-Etienne,Ayman Aiki,56,fr FRA,"FW,MF",fr Ligue 1,19,2005,1.4,3,3,1,2,0,1,1,100.0,0,1,0,1,1,4,0,0,Ayman AikiSaint-Etienne
Nott'ham Forest,Ola Aina,57,ng NGA,DF,eng Premier League,27,1996,33.3,55,42,39,15,1,36,64,56.3,28,34,12,22,33,88,115,4,Ola AinaNott'ham Forest
Wolves,Rayan Ait-Nouri,58,dz ALG,DF,eng Premier League,23,2001,34.5,89,57,52,28,9,43,70,61.4,27,42,6,36,26,115,75,2,Rayan Ait-NouriWolves
Hellas Verona,Junior Ajayi,59,ci CIV,FW,it Serie A,19,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Junior AjayiHellas Verona
Brentford,Kristoffer Ajer,60,no NOR,DF,eng Premier League,26,1998,16.0,26,18,14,11,1,14,27,51.9,13,17,4,13,12,38,50,0,Kristoffer AjerBrentford
Brest,Ludovic Ajorque,61,fr FRA,FW,fr Ligue 1,30,1994,27.7,26,19,3,12,11,10,32,31.3,22,20,5,15,6,32,26,0,Ludovic AjorqueBrest
Manchester City,Manuel Akanji,62,ch SUI,DF,eng Premier League,29,1995,22.4,19,12,12,4,3,11,17,64.7,6,11,8,3,9,28,64,3,Manuel AkanjiManchester City
Toulouse,Umit Akdag,63,ro ROU,DF,fr Ligue 1,20,2003,5.6,8,4,3,4,1,5,12,41.7,7,10,8,2,11,19,19,0,Umit AkdagToulouse
Manchester City,Nathan Ake,64,nl NED,DF,eng Premier League,29,1995,7.5,9,7,7,2,0,4,6,66.7,2,7,2,5,3,12,22,1,Nathan AkeManchester City
Villarreal,Ilias Akhomach,65,ma MAR,"MF,FW",es La Liga,20,2004,6.5,12,7,4,4,4,6,12,50.0,6,8,0,8,3,15,13,0,Ilias AkhomachVillarreal
Reims,Sergio Akieme,66,es ESP,DF,fr Ligue 1,26,1997,28.0,34,23,30,3,1,22,36,61.1,14,26,9,17,17,51,97,4,Sergio AkiemeReims
Monaco,Maghnes Akliouche,67,fr FRA,"FW,MF",fr Ligue 1,22,2002,26.7,51,31,12,24,15,19,41,46.3,22,21,0,21,15,66,13,0,Maghnes AklioucheMonaco
Lyon,Paul Akouokou,68,ci CIV,MF,fr Ligue 1,26,1997,0.2,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,1,Paul AkouokouLyon
Auxerre,Clement Akpa,69,ci CIV,DF,fr Ligue 1,22,2001,27.6,55,34,36,12,7,31,46,67.4,15,38,14,24,42,97,141,2,Clement AkpaAuxerre
Monza,Jean-Daniel Akpa-Akpro,70,ci CIV,MF,it Serie A,31,1992,10.7,30,18,15,14,1,9,21,42.9,12,19,6,13,13,43,16,1,Jean-Daniel Akpa-AkproMonza
Genoa,David Akpan Ankeye,71,ng NGA,"FW,MF",it Serie A,22,2002,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,David Akpan AnkeyeGenoa
Hoffenheim,Kevin Akpoguma,72,ng NGA,DF,de Bundesliga,29,1995,24.7,54,27,36,12,6,30,46,65.2,16,65,37,28,29,83,115,1,Kevin AkpogumaHoffenheim
Lille,Chuba Akpom,73,eng ENG,FW,fr Ligue 1,28,1995,7.1,8,5,0,4,4,2,6,33.3,4,9,0,9,0,8,3,0,Chuba AkpomLille
Real Madrid,David Alaba,74,at AUT,DF,es La Liga,32,1992,3.5,1,0,1,0,0,0,0,,0,5,5,0,6,7,7,0,David AlabaReal Madrid
Valladolid,Ibrahim Alani,75,ng NGA,MF,es La Liga,18,2006,1.8,12,7,8,4,0,4,6,66.7,2,3,1,2,1,13,1,0,Ibrahim AlaniValladolid
St. Pauli,Andreas Albers,76,dk DEN,FW,de Bundesliga,34,1990,0.7,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,1,0,Andreas AlbersSt. Pauli
Villarreal,Raul Albiol,77,es ESP,DF,es La Liga,38,1985,13.2,10,9,9,1,0,6,10,60.0,4,10,9,1,6,16,69,1,Raul AlbiolVillarreal
Southampton,Carlos Alcaraz,78,ar ARG,MF,eng Premier League,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Carlos AlcarazSouthampton
Everton,Carlos Alcaraz,79,ar ARG,"FW,MF",eng Premier League,21,2002,8.5,11,5,5,3,3,3,11,27.3,8,9,2,7,5,16,10,0,Carlos AlcarazEverton
Getafe,Omar Alderete,80,py PAR,DF,es La Liga,27,1996,33.0,43,29,30,11,2,20,30,66.7,10,38,22,16,40,83,241,1,Omar AldereteGetafe
Getafe,Carles Alena,81,es ESP,"MF,FW",es La Liga,26,1998,5.0,6,3,2,3,1,4,13,30.8,9,9,1,8,0,6,7,0,Carles AlenaGetafe
Alaves,Carles Alena,82,es ESP,"MF,FW",es La Liga,26,1998,12.1,19,12,6,7,6,7,17,41.2,10,11,0,11,2,21,4,0,Carles AlenaAlaves
St. Pauli,Ben Alexander Voll,83,de GER,GK,de Bundesliga,23,2000,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ben Alexander VollSt. Pauli
Liverpool,Trent Alexander-Arnold,84,eng ENG,DF,eng Premier League,25,1998,26.3,72,50,44,19,9,49,105,46.7,56,26,9,17,31,103,55,4,Trent Alexander-ArnoldLiverpool
Celta Vigo,Alfon,85,es ESP,"FW,MF",es La Liga,25,1999,15.2,8,3,3,2,3,4,12,33.3,8,8,0,8,5,13,5,1,AlfonCelta Vigo
Nice,Mohamed Ali Cho,86,fr FRA,"FW,MF",fr Ligue 1,20,2004,18.0,13,9,4,5,4,4,12,33.3,8,17,1,16,5,18,8,0,Mohamed Ali ChoNice
Hellas Verona,Faride Alidou,87,de GER,"FW,MF",it Serie A,23,2001,0.8,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,1,Faride AlidouHellas Verona
Liverpool,Alisson,88,br BRA,GK,eng Premier League,31,1992,27.9,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,13,1,AlissonLiverpool
Celta Vigo,Tadeo Allende,89,ar ARG,FW,es La Liga,25,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Tadeo AllendeCelta Vigo
Angers,Jim Allevinah,90,ga GAB,FW,fr Ligue 1,29,1995,19.4,19,11,6,9,4,5,28,17.9,23,10,0,10,12,31,17,0,Jim AllevinahAngers
Como,Dele Alli,91,eng ENG,MF,it Serie A,28,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Dele AlliComo
Lyon,Thiago Almada,92,ar ARG,"MF,FW",fr Ligue 1,23,2001,10.6,14,8,7,5,2,7,21,33.3,14,2,0,2,7,21,6,3,Thiago AlmadaLyon
Valencia,Domingos Andre Ribeiro Almeida,93,pt POR,"MF,FW",es La Liga,24,2000,22.0,48,32,18,21,9,14,39,35.9,25,21,3,18,8,56,14,1,Domingos Andre Ribeiro AlmeidaValencia
Girona,Iker Almena,94,es ESP,"FW,DF",es La Liga,20,2004,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,Iker AlmenaGirona
Newcastle Utd,Miguel Almiron,95,py PAR,FW,eng Premier League,30,1994,1.7,3,2,2,0,1,2,3,66.7,1,2,0,2,0,3,0,0,Miguel AlmironNewcastle Utd
Parma,Pontus Almqvist,96,se SWE,"FW,MF",it Serie A,25,1999,12.4,17,13,7,7,3,8,17,47.1,9,13,0,13,19,36,8,0,Pontus AlmqvistParma
Celta Vigo,Marcos Alonso,97,es ESP,DF,es La Liga,33,1990,29.4,35,21,19,13,3,25,44,56.8,19,22,7,15,34,69,126,4,Marcos AlonsoCelta Vigo
Venezia,Giorgio Altare,98,it ITA,DF,it Serie A,25,1998,8.4,13,12,8,3,2,8,15,53.3,7,21,11,10,17,30,49,0,Giorgio AltareVenezia
Leganes,Adria Altimira,99,es ESP,"DF,FW",es La Liga,23,2001,18.1,41,24,26,12,3,24,40,60.0,16,15,6,9,15,56,54,2,Adria AltimiraLeganes
Betis,Sergi Altimira,100,es ESP,MF,es La Liga,22,2001,21.9,61,37,17,38,6,36,60,60.0,24,28,1,27,24,85,43,3,Sergi AltimiraBetis
Leicester City,Olabade Aluko,101,,DF,eng Premier League,,,0.0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Olabade AlukoLeicester City
West Ham,Edson Alvarez,102,mx MEX,MF,eng Premier League,26,1997,19.7,50,27,27,15,8,17,35,48.6,18,23,8,15,18,68,46,1,Edson AlvarezWest Ham
Celta Vigo,Hugo Alvarez,103,es ESP,"MF,DF",es La Liga,21,2003,17.5,26,9,12,10,4,10,19,52.6,9,19,2,17,8,34,29,1,Hugo AlvarezCelta Vigo
Atletico Madrid,Julian Alvarez,104,ar ARG,FW,es La Liga,24,2000,27.9,25,17,5,11,9,8,30,26.7,22,14,0,14,2,27,12,1,Julian AlvarezAtletico Madrid
Athletic Club,Yeray Alvarez,105,es ESP,DF,es La Liga,29,1995,19.8,25,13,14,9,2,15,22,68.2,7,10,6,4,34,59,129,1,Yeray AlvarezAthletic Club
Werder Bremen,Skelly Alvero,106,fr FRA,MF,de Bundesliga,22,2002,2.6,11,6,5,5,1,4,5,80.0,1,4,0,4,2,13,10,0,Skelly AlveroWerder Bremen
Leicester City,Will Alves,107,eng ENG,FW,eng Premier League,19,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Will AlvesLeicester City
Valladolid,Selim Amallah,108,ma MAR,MF,es La Liga,27,1996,15.3,30,18,10,18,2,10,18,55.6,8,24,2,22,14,44,5,1,Selim AmallahValladolid
Manchester Utd,Harry Amass,109,eng ENG,DF,eng Premier League,17,2007,3.8,6,2,5,1,0,2,8,25.0,6,11,1,10,2,8,11,0,Harry AmassManchester Utd
Valladolid,Amath,110,sn SEN,"FW,DF",es La Liga,28,1996,4.2,2,0,2,0,0,1,8,12.5,7,7,1,6,2,4,6,0,AmathValladolid
Brest,Jordan Amavi,111,fr FRA,DF,fr Ligue 1,30,1994,8.8,24,17,10,11,3,15,21,71.4,6,10,2,8,7,31,18,0,Jordan AmaviBrest
Eint Frankfurt,Aurele Amenda,112,ch SUI,DF,de Bundesliga,21,2003,1.1,1,0,1,0,0,0,0,,0,2,2,0,2,3,11,0,Aurele AmendaEint Frankfurt
Nantes,Kelvin Amian,113,fr FRA,DF,fr Ligue 1,26,1998,24.1,55,31,40,14,1,29,35,82.9,6,18,11,7,13,68,85,0,Kelvin AmianNantes
Marseille,Michael Amir Murillo,114,pa PAN,DF,fr Ligue 1,28,1996,27.1,49,31,30,13,6,32,46,69.6,14,21,8,13,18,67,70,4,Michael Amir MurilloMarseille
Mainz 05,Nadiem Amiri,115,de GER,MF,de Bundesliga,27,1996,27.5,50,23,13,28,9,19,46,41.3,27,19,4,15,16,66,30,2,Nadiem AmiriMainz 05
Southampton,Samuel Amo-Ameyaw,116,eng ENG,"FW,DF",eng Premier League,18,2006,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Samuel Amo-AmeyawSouthampton
Strasbourg,Samuel Amo-Ameyaw,117,eng ENG,"DF,MF",fr Ligue 1,18,2006,3.6,5,3,3,2,0,2,9,22.2,7,3,0,3,3,8,2,0,Samuel Amo-AmeyawStrasbourg
Chelsea,Mathis Amougou,118,fr FRA,MF,eng Premier League,18,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Mathis AmougouChelsea
Saint-Etienne,Mathis Amougou,119,fr FRA,MF,fr Ligue 1,18,2006,9.5,21,15,15,5,1,10,19,52.6,9,10,0,10,12,33,4,0,Mathis AmougouSaint-Etienne
Wolfsburg,Mohamed Amoura,120,dz ALG,FW,de Bundesliga,24,2000,27.4,29,22,14,5,10,14,37,37.8,23,42,2,40,9,38,24,0,Mohamed AmouraWolfsburg
Fiorentina,Sofyan Amrabat,121,ma MAR,MF,it Serie A,27,1996,2.0,3,2,1,2,0,2,2,100.0,0,1,1,0,0,3,2,0,Sofyan AmrabatFiorentina
Crystal Palace,Joachim Andersen,122,dk DEN,DF,eng Premier League,28,1996,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,7,0,Joachim AndersenCrystal Palace
Fulham,Joachim Andersen,123,dk DEN,DF,eng Premier League,28,1996,28.7,27,18,20,6,1,15,24,62.5,9,37,28,9,34,61,188,1,Joachim AndersenFulham
Nott'ham Forest,Elliot Anderson,124,eng ENG,MF,eng Premier League,21,2002,30.3,92,56,54,29,9,48,111,43.2,63,48,9,39,31,123,76,4,Elliot AndersonNott'ham Forest
Wolves,Andre,125,br BRA,MF,eng Premier League,23,2001,27.5,91,55,41,41,9,37,63,58.7,26,42,8,34,37,128,30,1,AndreWolves
Lille,Benjamin Andre,126,fr FRA,MF,fr Ligue 1,33,1990,29.9,103,57,31,60,12,54,96,56.3,42,42,6,36,48,151,56,0,Benjamin AndreLille
Valladolid,Marcos Andre,127,br BRA,FW,es La Liga,27,1996,13.2,10,6,3,5,2,5,13,38.5,8,18,2,16,3,13,10,0,Marcos AndreValladolid
Leverkusen,Robert Andrich,128,de GER,"MF,DF",de Bundesliga,29,1994,17.8,24,12,8,14,2,7,14,50.0,7,16,8,8,29,53,23,0,Robert AndrichLeverkusen
Roma,Angelino,129,es ESP,DF,it Serie A,27,1997,35.3,46,24,20,24,2,17,34,50.0,17,33,9,24,28,74,98,0,AngelinoRoma
Juventus,Lorenzo Anghele,130,it ITA,FW,it Serie A,19,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Lorenzo AngheleJuventus
Empoli,Faustino Anjorin,131,eng ENG,MF,it Serie A,22,2001,12.4,29,13,9,14,6,9,18,50.0,9,18,3,15,13,42,20,0,Faustino AnjorinEmpoli
Dortmund,Waldemar Anton,132,de GER,DF,de Bundesliga,28,1996,21.7,34,21,18,10,6,17,23,73.9,6,33,16,17,30,64,112,1,Waldemar AntonDortmund
Sevilla,Leandro Antonetti,133,pr PUR,FW,es La Liga,21,2003,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Leandro AntonettiSevilla
Lens,Kyllian Antonio,134,fr FRA,"DF,MF",fr Ligue 1,16,2008,1.5,3,2,2,0,1,1,3,33.3,2,3,0,3,3,6,3,1,Kyllian AntonioLens
West Ham,Michail Antonio,135,jm JAM,FW,eng Premier League,34,1990,9.3,2,2,0,1,1,2,3,66.7,1,6,0,6,0,2,2,0,Michail AntonioWest Ham
Espanyol,Antoniu,136,es ESP,"FW,MF",es La Liga,21,2002,11.4,21,10,9,8,4,9,21,42.9,12,14,2,12,8,29,11,1,AntoniuEspanyol
Manchester Utd,Antony,137,br BRA,"DF,MF",eng Premier League,24,2000,1.6,6,3,4,2,0,2,5,40.0,3,2,0,2,2,8,0,0,AntonyManchester Utd
Betis,Antony,138,br BRA,FW,es La Liga,24,2000,15.1,25,11,6,9,10,8,22,36.4,14,12,1,11,10,35,9,1,AntonyBetis
Valladolid,Anuar,139,ma MAR,"MF,FW",es La Liga,29,1995,19.1,38,27,21,12,5,15,28,53.6,13,24,8,16,18,56,26,1,AnuarValladolid
Saint-Etienne,Dennis Appiah,140,fr FRA,DF,fr Ligue 1,32,1992,23.6,71,43,42,22,7,41,71,57.7,30,36,8,28,29,100,89,2,Dennis AppiahSaint-Etienne
Leganes,Aritz Arambarri,141,es ESP,DF,es La Liga,26,1998,2.0,1,1,1,0,0,1,1,100.0,0,2,2,0,3,4,8,0,Aritz ArambarriLeganes
Getafe,Mauro Arambarri,142,uy URU,MF,es La Liga,28,1995,29.6,48,29,10,33,5,22,48,45.8,26,35,6,29,15,63,46,0,Mauro ArambarriGetafe
Real Sociedad,Jon Aramburu,143,ve VEN,DF,es La Liga,22,2002,27.3,102,70,61,30,11,66,100,66.0,34,40,8,32,30,132,98,0,Jon AramburuReal Sociedad
Bournemouth,Julian Araujo,144,mx MEX,DF,eng Premier League,22,2001,5.5,10,5,4,6,0,5,12,41.7,7,3,0,3,6,16,18,0,Julian AraujoBournemouth
Barcelona,Ronald Araujo,145,uy URU,DF,es La Liga,25,1999,8.4,12,9,6,5,1,4,5,80.0,1,6,4,2,9,21,25,0,Ronald AraujoBarcelona
Southampton,Cameron Archer,146,eng ENG,FW,eng Premier League,23,2001,16.0,13,8,8,3,2,2,9,22.2,7,5,1,4,2,15,11,0,Cameron ArcherSouthampton
Angers,Carlens Arcus,147,ht HAI,DF,fr Ligue 1,28,1996,22.7,52,35,32,15,5,34,56,60.7,22,24,4,20,27,79,83,3,Carlens ArcusAngers
West Ham,Alphonse Areola,148,fr FRA,GK,eng Premier League,31,1993,25.1,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,15,3,Alphonse AreolaWest Ham
Athletic Club,Adu Ares,149,es ESP,FW,es La Liga,22,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Adu AresAthletic Club
