League,Squad,Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,PlSqu
Serie B,Juve Stabia,Yuri Rocchetti,it ITA,DF,21-356,16.7,422.0,611.0,69.1,7294.0,3045.0,204.0,235.0,86.8,162.0,221.0,73.3,45.0,110.0,40.9,0,0.6,0.9,-0.6,11.0,43.0,18.0,11.0,44.0,Yuri RocchettiJuve Stabia
Serie B,Juve Stabia,Fabio Maistro,it ITA,"MF,FW",27-062,12.1,329.0,452.0,72.8,6118.0,2002.0,139.0,168.0,82.7,110.0,144.0,76.4,57.0,99.0,57.6,0,2.0,1.7,-2.0,29.0,39.0,10.0,2.0,44.0,Fabio MaistroJuve Stabia
Serie B,Juve Stabia,Nicola Mosti,it ITA,MF,27-119,13.0,349.0,501.0,69.7,5704.0,1778.0,172.0,206.0,83.5,112.0,152.0,73.7,40.0,88.0,45.5,4,2.7,2.4,1.3,24.0,41.0,17.0,3.0,56.0,Nicola MostiJuve Stabia
Serie B,Juve Stabia,Patryk Peda,pl POL,DF,23-051,8.8,328.0,391.0,83.9,6703.0,2195.0,92.0,98.0,93.9,199.0,220.0,90.5,34.0,58.0,58.6,1,1.3,0.3,-0.3,5.0,28.0,2.0,1.0,17.0,Patryk PedaJuve Stabia
Serie B,Juve Stabia,Cristian Andreoni,it ITA,"DF,FW",33-007,5.6,131.0,190.0,68.9,2230.0,737.0,60.0,71.0,84.5,51.0,70.0,72.9,15.0,35.0,42.9,0,0.4,0.5,-0.4,4.0,7.0,6.0,4.0,10.0,Cristian AndreoniJuve Stabia
Serie B,Juve Stabia,Danilo Quaranta,it ITA,DF,28-075,4.9,106.0,167.0,63.5,2066.0,1115.0,40.0,49.0,81.6,53.0,73.0,72.6,13.0,34.0,38.2,0,0.3,0.1,-0.3,2.0,9.0,2.0,1.0,12.0,Danilo QuarantaJuve Stabia
Serie B,Juve Stabia,Matteo Baldi,it ITA,DF,23-092,3.0,113.0,145.0,77.9,2085.0,741.0,45.0,52.0,86.5,57.0,69.0,82.6,10.0,17.0,58.8,0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,12.0,Matteo BaldiJuve Stabia
Serie B,Juve Stabia,Lorenzo Sgarbi,it ITA,"FW,MF",24-074,2.1,33.0,47.0,70.2,572.0,139.0,17.0,19.0,89.5,13.0,18.0,72.2,3.0,5.0,60.0,0,0.3,0.4,-0.3,3.0,0.0,3.0,1.0,6.0,Lorenzo SgarbiJuve Stabia
Serie B,Juve Stabia,Marco Meli,it ITA,MF,25-124,5.2,136.0,172.0,79.1,2037.0,374.0,72.0,89.0,80.9,53.0,61.0,86.9,6.0,8.0,75.0,0,0.1,0.1,-0.1,2.0,6.0,2.0,0.0,16.0,Marco MeliJuve Stabia
Serie B,Juve Stabia,Gabriele Artistico,it ITA,"FW,MF",22-327,3.2,31.0,65.0,47.7,311.0,77.0,18.0,33.0,54.5,6.0,15.0,40.0,0.0,2.0,0.0,0,0.1,0.4,-0.1,2.0,1.0,2.0,0.0,4.0,Gabriele ArtisticoJuve Stabia
Serie B,Juve Stabia,Edgaras Dubickas,lt LTU,"FW,MF",26-332,1.0,11.0,17.0,64.7,150.0,57.0,6.0,10.0,60.0,5.0,6.0,83.3,0.0,0.0,,1,0.2,0.0,0.8,1.0,2.0,0.0,0.0,3.0,Edgaras DubickasJuve Stabia
Serie B,Juve Stabia,Federico Zuccon,it ITA,"MF,DF",22-066,0.8,26.0,36.0,72.2,508.0,135.0,8.0,8.0,100.0,13.0,16.0,81.3,3.0,7.0,42.9,0,0.1,0.1,-0.1,1.0,4.0,2.0,0.0,6.0,Federico ZucconJuve Stabia
Serie B,Juve Stabia,Tommaso Di Marco,it ITA,MF,21-311,0.7,14.0,15.0,93.3,162.0,16.0,12.0,12.0,100.0,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Tommaso Di MarcoJuve Stabia
Serie B,Juve Stabia,Enrico Piovanello,it ITA,"DF,MF",25-047,0.6,14.0,14.0,100.0,257.0,54.0,5.0,5.0,100.0,8.0,8.0,100.0,1.0,1.0,100.0,0,0.3,0.4,-0.3,2.0,0.0,1.0,0.0,2.0,Enrico PiovanelloJuve Stabia
Serie B,Juve Stabia,Gregorio Morachioli,it ITA,DF,25-099,0.3,12.0,17.0,70.6,233.0,33.0,4.0,6.0,66.7,7.0,10.0,70.0,1.0,1.0,100.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,Gregorio MorachioliJuve Stabia
Serie B,Juve Stabia,Alessandro Louati,it ITA,MF,22-146,0.3,3.0,9.0,33.3,32.0,0.0,3.0,7.0,42.9,0.0,1.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alessandro LouatiJuve Stabia
Serie B,Juve Stabia,Opponent Total,,,27.3,38.0,10198.0,14315.0,71.2,186261.0,83126.0,4334.0,5327.0,81.4,4399.0,5543.0,79.4,1178.0,2509.0,47.0,25,26.0,29.9,-1.0,320.0,875.0,265.0,90.0,1110.0,Opponent TotalJuve Stabia
Serie B,Catanzaro,Mirko Pigliacelli,it ITA,GK,31-341,38.0,1361.0,1703.0,79.9,33844.0,23147.0,365.0,368.0,99.2,602.0,625.0,96.3,389.0,695.0,56.0,0,0.4,0.1,-0.4,1.0,38.0,2.0,0.0,3.0,Mirko PigliacelliCatanzaro
Serie B,Catanzaro,Federico Bonini,it ITA,DF,23-304,35.2,1980.0,2346.0,84.4,32413.0,11298.0,975.0,1058.0,92.2,875.0,985.0,88.8,105.0,234.0,44.9,4,1.8,2.4,2.2,15.0,138.0,15.0,2.0,157.0,Federico BoniniCatanzaro
Serie B,Catanzaro,Pietro Iemmello,it ITA,FW,33-092,33.7,723.0,924.0,78.2,11301.0,2513.0,398.0,485.0,82.1,250.0,299.0,83.6,50.0,68.0,73.5,1,2.5,2.8,-1.5,35.0,65.0,34.0,2.0,103.0,Pietro IemmelloCatanzaro
Serie B,Catanzaro,Stefano Scognamillo,it ITA,DF,31-033,30.1,1646.0,1797.0,91.6,28856.0,10158.0,672.0,700.0,96.0,861.0,915.0,94.1,101.0,148.0,68.2,2,2.0,2.1,0.0,8.0,73.0,8.0,3.0,77.0,Stefano ScognamilloCatanzaro
Serie B,Catanzaro,Nicolo Brighenti,it ITA,DF,35-309,29.7,1515.0,1849.0,81.9,27884.0,9847.0,553.0,603.0,91.7,828.0,945.0,87.6,122.0,255.0,47.8,2,1.7,1.4,0.3,11.0,117.0,15.0,4.0,132.0,Nicolo BrighentiCatanzaro
Serie B,Catanzaro,Jacopo Petriccione,it ITA,MF,30-104,28.2,1568.0,1781.0,88.0,29552.0,10412.0,604.0,647.0,93.4,759.0,837.0,90.7,188.0,263.0,71.5,3,2.1,2.5,0.9,36.0,168.0,22.0,3.0,180.0,Jacopo PetriccioneCatanzaro
Serie B,Catanzaro,Simone Pontisso,it ITA,MF,28-078,22.6,920.0,1130.0,81.4,14842.0,4701.0,486.0,525.0,92.6,339.0,422.0,80.3,75.0,136.0,55.1,7,3.0,4.1,4.0,36.0,104.0,28.0,12.0,121.0,Simone PontissoCatanzaro
Serie B,Catanzaro,Marco Pompetti,it ITA,MF,25-015,27.2,1270.0,1560.0,81.4,24048.0,6732.0,520.0,567.0,91.7,570.0,661.0,86.2,161.0,297.0,54.2,2,3.5,4.3,-1.5,48.0,141.0,37.0,16.0,167.0,Marco PompettiCatanzaro
Serie B,Catanzaro,Tommaso Biasci,it ITA,FW,30-208,17.2,215.0,278.0,77.3,2693.0,476.0,149.0,182.0,81.9,47.0,59.0,79.7,6.0,9.0,66.7,2,1.4,0.8,0.6,17.0,18.0,9.0,0.0,23.0,Tommaso BiasciCatanzaro
Serie B,Catanzaro,Tommaso Cassandro,it ITA,DF,25-148,19.2,609.0,793.0,76.8,9802.0,3318.0,321.0,350.0,91.7,233.0,306.0,76.1,43.0,92.0,46.7,1,1.1,1.4,-0.1,17.0,33.0,24.0,18.0,48.0,Tommaso CassandroCatanzaro
Serie B,Catanzaro,Mario Situm,hr CRO,DF,33-063,17.0,570.0,718.0,79.4,10234.0,2595.0,245.0,276.0,88.8,251.0,310.0,81.0,64.0,99.0,64.6,3,2.0,1.0,1.0,19.0,37.0,15.0,9.0,54.0,Mario SitumCatanzaro
Serie B,Catanzaro,Matias Antonini Lui,br BRA,DF,27-058,16.2,897.0,995.0,90.2,15138.0,5129.0,370.0,394.0,93.9,486.0,526.0,92.4,31.0,52.0,59.6,0,0.2,0.2,-0.2,4.0,22.0,0.0,0.0,43.0,Matias Antonini LuiCatanzaro
Serie B,Catanzaro,Giacomo Quagliata,it ITA,DF,25-107,13.6,236.0,341.0,69.2,4102.0,1229.0,123.0,144.0,85.4,80.0,105.0,76.2,29.0,69.0,42.0,4,1.8,1.2,2.2,17.0,8.0,10.0,8.0,14.0,Giacomo QuagliataCatanzaro
Serie B,Catanzaro,Mattia Compagnon,it ITA,"DF,MF",23-212,13.2,255.0,326.0,78.2,3820.0,655.0,138.0,145.0,95.2,104.0,131.0,79.4,6.0,22.0,27.3,0,0.6,0.9,-0.6,12.0,7.0,6.0,0.0,21.0,Mattia CompagnonCatanzaro
Serie B,Catanzaro,Filippo Pittarello,it ITA,FW,28-240,16.6,168.0,248.0,67.7,2145.0,309.0,111.0,142.0,78.2,43.0,62.0,69.4,6.0,7.0,85.7,0,1.3,0.8,-1.3,11.0,7.0,2.0,0.0,10.0,Filippo PittarelloCatanzaro
Serie B,Catanzaro,Riccardo Pagano,it ITA,MF,20-190,10.7,264.0,330.0,80.0,4012.0,878.0,150.0,176.0,85.2,84.0,100.0,84.0,19.0,28.0,67.9,2,0.7,0.7,1.3,9.0,18.0,13.0,0.0,41.0,Riccardo PaganoCatanzaro
Serie B,Catanzaro,Marco D'Alessandro,it ITA,"DF,FW",34-109,7.4,166.0,224.0,74.1,2515.0,564.0,86.0,100.0,86.0,69.0,96.0,71.9,8.0,11.0,72.7,1,1.2,1.2,-0.2,11.0,10.0,12.0,7.0,15.0,Marco D'AlessandroCatanzaro
Serie B,Catanzaro,Ilias Koutsoupias,gr GRE,MF,24-027,6.5,156.0,213.0,73.2,2193.0,564.0,93.0,112.0,83.0,57.0,72.0,79.2,3.0,13.0,23.1,0,1.1,0.7,-1.1,9.0,18.0,5.0,1.0,23.0,Ilias KoutsoupiasCatanzaro
Serie B,Catanzaro,Andrea Ceresoli,it ITA,DF,22-073,4.8,114.0,163.0,69.9,1607.0,563.0,68.0,86.0,79.1,42.0,55.0,76.4,2.0,9.0,22.2,0,0.1,0.1,-0.1,1.0,8.0,0.0,0.0,10.0,Andrea CeresoliCatanzaro
Serie B,Catanzaro,Rares Ilie,ro ROU,MF,22-048,6.7,171.0,218.0,78.4,2586.0,615.0,99.0,111.0,89.2,56.0,69.0,81.2,10.0,19.0,52.6,3,1.1,0.9,1.9,8.0,20.0,2.0,1.0,24.0,Rares IlieCatanzaro
Serie B,Catanzaro,Andrea La Mantia,it ITA,FW,34-031,5.3,65.0,90.0,72.2,842.0,167.0,39.0,55.0,70.9,19.0,26.0,73.1,1.0,3.0,33.3,1,0.2,0.2,0.8,2.0,2.0,2.0,0.0,4.0,Andrea La MantiaCatanzaro
Serie B,Catanzaro,Mamadou Coulibaly,sn SEN,MF,26-123,5.9,186.0,233.0,79.8,2893.0,947.0,99.0,115.0,86.1,75.0,91.0,82.4,8.0,16.0,50.0,0,0.1,0.1,-0.1,2.0,29.0,1.0,0.0,37.0,Mamadou CoulibalyCatanzaro
Serie B,Catanzaro,Nicolo Buso,it ITA,"MF,FW",25-125,4.7,103.0,120.0,85.8,1496.0,265.0,60.0,64.0,93.8,37.0,43.0,86.0,3.0,5.0,60.0,0,0.0,0.2,0.0,1.0,10.0,3.0,1.0,11.0,Nicolo BusoCatanzaro
Serie B,Catanzaro,Demba Seck,sn SEN,"DF,MF",24-116,4.4,119.0,155.0,76.8,1761.0,371.0,56.0,70.0,80.0,51.0,61.0,83.6,4.0,7.0,57.1,1,0.2,0.6,0.8,2.0,1.0,5.0,1.0,14.0,Demba SeckCatanzaro
Serie B,Catanzaro,Enrico Brignola,it ITA,DF,25-333,2.6,63.0,81.0,77.8,926.0,201.0,36.0,41.0,87.8,24.0,30.0,80.0,2.0,7.0,28.6,0,0.1,0.2,-0.1,2.0,5.0,1.0,1.0,3.0,Enrico BrignolaCatanzaro
Serie B,Catanzaro,Giovanni Volpe,it ITA,"MF,FW",22-328,0.5,20.0,25.0,80.0,193.0,32.0,18.0,19.0,94.7,2.0,4.0,50.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Giovanni VolpeCatanzaro
Serie B,Catanzaro,Riccardo Turicchia,it ITA,DF,22-121,0.4,16.0,23.0,69.6,206.0,57.0,12.0,12.0,100.0,4.0,8.0,50.0,0.0,1.0,0.0,0,0.0,0.2,0.0,0.0,0.0,1.0,1.0,1.0,Riccardo TuricchiaCatanzaro
Serie B,Catanzaro,Luka Krajnc,si SVN,DF,30-260,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Luka KrajncCatanzaro
Serie B,Catanzaro,Opponent Total,,,27.2,38.0,11964.0,15316.0,78.1,210699.0,77522.0,5328.0,6010.0,88.7,5087.0,6117.0,83.2,1214.0,2404.0,50.5,30,34.8,37.6,-4.8,341.0,937.0,300.0,92.0,1278.0,Opponent TotalCatanzaro
Serie B,Cesena,Massimiliano Mangraviti,it ITA,DF,27-133,35.3,1605.0,1877.0,85.5,31963.0,10747.0,465.0,499.0,93.2,949.0,1023.0,92.8,174.0,311.0,55.9,0,0.6,1.1,-0.6,7.0,120.0,7.0,5.0,109.0,Massimiliano MangravitiCesena
Serie B,Cesena,Giuseppe Prestia,it ITA,DF,31-205,32.1,1365.0,1576.0,86.6,27597.0,9006.0,368.0,395.0,93.2,843.0,901.0,93.6,147.0,250.0,58.8,2,2.4,0.2,-0.4,7.0,48.0,4.0,0.0,75.0,Giuseppe PrestiaCesena
Serie B,Cesena,Giacomo Calo,it ITA,MF,28-121,28.0,1309.0,1690.0,77.5,25740.0,8029.0,518.0,563.0,92.0,567.0,667.0,85.0,207.0,397.0,52.1,4,3.5,4.6,0.5,48.0,131.0,20.0,5.0,120.0,Giacomo CaloCesena
Serie B,Cesena,Cristian Shpendi,al ALB,FW,22-018,27.6,355.0,465.0,76.3,4526.0,712.0,223.0,273.0,81.7,94.0,120.0,78.3,10.0,14.0,71.4,1,1.7,1.5,-0.7,23.0,14.0,14.0,1.0,29.0,Cristian ShpendiCesena
Serie B,Cesena,Andrea Ciofi,it ITA,DF,25-343,28.8,1636.0,1934.0,84.6,27692.0,11306.0,768.0,819.0,93.8,752.0,840.0,89.5,99.0,213.0,46.5,2,1.5,1.7,0.5,20.0,126.0,22.0,7.0,149.0,Andrea CiofiCesena
Serie B,Cesena,Jonathan Klinsmann,us USA,GK,28-059,27.0,497.0,735.0,67.6,11059.0,6341.0,142.0,143.0,99.3,255.0,258.0,98.8,95.0,324.0,29.3,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Jonathan KlinsmannCesena
Serie B,Cesena,Simone Bastoni,it ITA,MF,28-213,24.0,777.0,1053.0,73.8,12446.0,3816.0,418.0,481.0,86.9,269.0,345.0,78.0,58.0,143.0,40.6,2,2.9,2.9,-0.9,35.0,76.0,18.0,3.0,95.0,Simone BastoniCesena
Serie B,Cesena,Tommaso Berti,it ITA,MF,21-091,21.4,793.0,948.0,83.6,12937.0,2937.0,425.0,483.0,88.0,287.0,328.0,87.5,69.0,92.0,75.0,2,2.5,1.9,-0.5,23.0,69.0,22.0,1.0,95.0,Tommaso BertiCesena
Serie B,Cesena,Emanuele Adamo,it ITA,"DF,MF",26-322,23.0,766.0,996.0,76.9,11808.0,3826.0,430.0,494.0,87.0,262.0,333.0,78.7,50.0,98.0,51.0,0,0.9,1.5,-0.9,18.0,58.0,21.0,6.0,72.0,Emanuele AdamoCesena
Serie B,Cesena,Daniele Donnarumma,it ITA,DF,33-055,20.7,741.0,1006.0,73.7,13731.0,5485.0,307.0,352.0,87.2,349.0,428.0,81.5,80.0,175.0,45.7,3,1.6,1.4,1.4,20.0,45.0,19.0,12.0,68.0,Daniele DonnarummaCesena
Serie B,Cesena,Mirko Antonucci,it ITA,"MF,FW",26-087,21.0,484.0,634.0,76.3,6297.0,1311.0,315.0,366.0,86.1,131.0,174.0,75.3,12.0,20.0,60.0,2,3.7,2.2,-1.7,32.0,22.0,32.0,4.0,61.0,Mirko AntonucciCesena
Serie B,Cesena,Matteo Francesconi,it ITA,MF,21-115,16.4,379.0,535.0,70.8,5808.0,1670.0,216.0,276.0,78.3,129.0,176.0,73.3,23.0,42.0,54.8,0,0.3,0.8,-0.3,7.0,37.0,7.0,2.0,48.0,Matteo FrancesconiCesena
Serie B,Cesena,Raffaele Celia,it ITA,DF,26-094,16.2,554.0,683.0,81.1,9110.0,2952.0,264.0,288.0,91.7,256.0,300.0,85.3,31.0,62.0,50.0,1,0.8,1.4,0.2,9.0,31.0,16.0,8.0,47.0,Raffaele CeliaCesena
Serie B,Cesena,Joseph Ceesay,gm GAM,DF,27-003,15.6,345.0,478.0,72.2,4915.0,1475.0,204.0,233.0,87.6,119.0,157.0,75.8,11.0,37.0,29.7,4,2.0,2.2,2.0,12.0,17.0,10.0,5.0,24.0,Joseph CeesayCesena
Serie B,Cesena,Dario Saric,ba BIH,MF,28-007,9.7,219.0,280.0,78.2,3428.0,567.0,109.0,129.0,84.5,87.0,107.0,81.3,14.0,19.0,73.7,0,0.2,0.2,-0.2,4.0,14.0,5.0,3.0,22.0,Dario SaricCesena
Serie B,Cesena,Matteo Pisseri,it ITA,GK,33-197,11.0,234.0,315.0,74.3,5391.0,3093.0,70.0,70.0,100.0,111.0,112.0,99.1,48.0,127.0,37.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matteo PisseriCesena
Serie B,Cesena,Augustus Kargbo,sl SLE,"FW,MF",25-286,10.7,150.0,230.0,65.2,2091.0,464.0,93.0,120.0,77.5,44.0,64.0,68.8,7.0,13.0,53.8,2,1.3,0.7,0.7,7.0,6.0,12.0,2.0,21.0,Augustus KargboCesena
Serie B,Cesena,Marco Curto,it ITA,DF,26-152,9.4,425.0,518.0,82.0,7860.0,3380.0,161.0,187.0,86.1,214.0,241.0,88.8,41.0,69.0,59.4,0,0.4,0.2,-0.4,6.0,35.0,6.0,1.0,40.0,Marco CurtoCesena
Serie B,Cesena,Elayis Tavsan,nl NED,"MF,FW",24-037,12.7,290.0,373.0,77.7,4543.0,1099.0,164.0,182.0,90.1,98.0,116.0,84.5,20.0,44.0,45.5,2,1.7,2.3,0.3,12.0,18.0,10.0,5.0,43.0,Elayis TavsanCesena
Serie B,Cesena,Antonino La Gumina,it ITA,"FW,MF",29-092,5.7,61.0,87.0,70.1,821.0,77.0,41.0,52.0,78.8,17.0,19.0,89.5,1.0,3.0,33.3,1,0.6,0.1,0.4,7.0,0.0,3.0,0.0,5.0,Antonino La GuminaCesena
Serie B,Cesena,Matteo Piacentini,it ITA,DF,26-047,5.4,203.0,243.0,83.5,3824.0,1797.0,71.0,79.0,89.9,112.0,131.0,85.5,19.0,26.0,73.1,0,0.2,0.2,-0.2,4.0,16.0,3.0,1.0,28.0,Matteo PiacentiniCesena
Serie B,Cesena,Leonardo Mendicino,it ITA,MF,18-346,5.9,231.0,266.0,86.8,4290.0,880.0,88.0,96.0,91.7,113.0,123.0,91.9,26.0,34.0,76.5,0,0.1,0.1,-0.1,2.0,16.0,0.0,0.0,12.0,Leonardo MendicinoCesena
Serie B,Cesena,Sydney van Hooijdonk,nl NED,FW,25-120,2.9,41.0,54.0,75.9,631.0,54.0,19.0,22.0,86.4,21.0,25.0,84.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,Sydney van HooijdonkCesena
Serie B,Cesena,Simone Pieraccini,it ITA,DF,21-088,2.3,133.0,163.0,81.6,2290.0,588.0,56.0,61.0,91.8,66.0,74.0,89.2,10.0,25.0,40.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,Simone PieracciniCesena
Serie B,Cesena,Flavio Russo,it ITA,"FW,MF",21-156,2.5,37.0,49.0,75.5,559.0,71.0,25.0,33.0,75.8,7.0,7.0,100.0,3.0,3.0,100.0,1,0.4,0.1,0.6,2.0,0.0,1.0,1.0,1.0,Flavio RussoCesena
Serie B,Cesena,Saber Hraiech,it ITA,"MF,DF",29-311,0.7,46.0,54.0,85.2,704.0,183.0,23.0,28.0,82.1,22.0,23.0,95.7,0.0,2.0,0.0,0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,5.0,Saber HraiechCesena
Serie B,Cesena,Riccardo Chiarello,it ITA,"MF,DF",31-240,0.2,6.0,8.0,75.0,76.0,15.0,5.0,6.0,83.3,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Riccardo ChiarelloCesena
Serie B,Cesena,Opponent Total,,,27.2,38.0,14653.0,18162.0,80.7,263320.0,91297.0,6111.0,6910.0,88.4,6720.0,7671.0,87.6,1460.0,2681.0,54.5,33,34.4,35.4,-1.4,331.0,1079.0,267.0,85.0,1353.0,Opponent TotalCesena
Serie B,Palermo,Dimitris Nikolaou,gr GRE,DF,26-297,26.6,1190.0,1396.0,85.2,23722.0,8393.0,334.0,371.0,90.0,700.0,757.0,92.5,137.0,232.0,59.1,0,0.7,0.5,-0.7,9.0,72.0,7.0,3.0,80.0,Dimitris NikolaouPalermo
Serie B,Palermo,Claudio Gomes,fr FRA,MF,24-318,26.3,862.0,986.0,87.4,15794.0,3822.0,317.0,352.0,90.1,445.0,488.0,91.2,79.0,102.0,77.5,1,2.5,2.0,-1.5,27.0,93.0,11.0,1.0,99.0,Claudio GomesPalermo
Serie B,Palermo,Pietro Ceccaroni,it ITA,DF,29-167,25.7,1240.0,1495.0,82.9,20730.0,9017.0,580.0,624.0,92.9,535.0,618.0,86.6,98.0,191.0,51.3,1,2.1,1.8,-1.1,20.0,128.0,19.0,11.0,139.0,Pietro CeccaroniPalermo
Serie B,Palermo,Rayyan Baniya,,DF,26-108,25.9,1045.0,1201.0,87.0,19718.0,6028.0,360.0,401.0,89.8,560.0,607.0,92.3,111.0,165.0,67.3,0,0.2,0.5,-0.2,4.0,61.0,1.0,0.0,71.0,Rayyan BaniyaPalermo
Serie B,Palermo,Filippo Ranocchia,it ITA,MF,24-023,25.9,861.0,1255.0,68.6,17590.0,6676.0,291.0,346.0,84.1,379.0,479.0,79.1,170.0,359.0,47.4,8,8.4,9.4,-0.4,64.0,132.0,42.0,18.0,163.0,Filippo RanocchiaPalermo
Serie B,Palermo,Jacopo Segre,it ITA,MF,28-109,25.0,602.0,715.0,84.2,9531.0,2245.0,306.0,344.0,89.0,229.0,258.0,88.8,40.0,52.0,76.9,2,1.4,1.2,0.6,13.0,48.0,13.0,2.0,74.0,Jacopo SegrePalermo
Serie B,Palermo,Salim Diakite,ml MLI,DF,25-003,22.9,747.0,985.0,75.8,12484.0,4275.0,336.0,396.0,84.8,332.0,402.0,82.6,54.0,124.0,43.5,1,1.7,1.5,-0.7,11.0,54.0,10.0,7.0,83.0,Salim DiakitePalermo
Serie B,Palermo,Kristoffer Lund,us USA,"DF,FW",23-023,22.3,680.0,892.0,76.2,10895.0,4295.0,361.0,412.0,87.6,235.0,314.0,74.8,59.0,107.0,55.1,0,2.9,3.3,-2.9,32.0,60.0,30.0,22.0,69.0,Kristoffer LundPalermo
Serie B,Palermo,Matteo Brunori,it ITA,"MF,FW",30-217,22.1,355.0,526.0,67.5,6358.0,1184.0,152.0,187.0,81.3,126.0,171.0,73.7,55.0,94.0,58.5,2,2.5,3.4,-0.5,19.0,25.0,15.0,2.0,43.0,Matteo BrunoriPalermo
Serie B,Palermo,Sebastiano Desplanches,it ITA,GK,22-087,20.6,561.0,714.0,78.6,14249.0,9171.0,109.0,110.0,99.1,297.0,301.0,98.7,150.0,294.0,51.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,Sebastiano DesplanchesPalermo
Serie B,Palermo,Niccolo Pierozzi,it ITA,DF,23-267,17.4,466.0,628.0,74.2,7474.0,2471.0,238.0,269.0,88.5,171.0,227.0,75.3,38.0,75.0,50.7,0,0.8,0.9,-0.8,8.0,28.0,13.0,8.0,39.0,Niccolo PierozziPalermo
Serie B,Palermo,Federico Di Francesco,it ITA,"MF,FW",30-357,16.0,381.0,538.0,70.8,6048.0,2330.0,197.0,222.0,88.7,132.0,183.0,72.1,32.0,74.0,43.2,6,3.1,3.9,2.9,31.0,35.0,39.0,11.0,82.0,Federico Di FrancescoPalermo
Serie B,Palermo,Alexis Blin,fr FRA,"MF,DF",28-263,15.2,641.0,729.0,87.9,12008.0,3306.0,244.0,270.0,90.4,298.0,317.0,94.0,78.0,114.0,68.4,2,1.3,1.3,0.7,16.0,47.0,1.0,1.0,41.0,Alexis BlinPalermo
Serie B,Palermo,Valerio Verre,it ITA,"MF,FW",31-146,14.3,584.0,763.0,76.5,9194.0,3480.0,302.0,351.0,86.0,219.0,282.0,77.7,40.0,77.0,51.9,4,3.5,3.5,0.5,34.0,81.0,33.0,8.0,115.0,Valerio VerrePalermo
Serie B,Palermo,Roberto Insigne,it ITA,"MF,FW",31-026,14.0,404.0,518.0,78.0,6934.0,2085.0,179.0,217.0,82.5,160.0,190.0,84.2,46.0,76.0,60.5,1,3.0,3.3,-2.0,31.0,39.0,28.0,2.0,59.0,Roberto InsignePalermo
Serie B,Palermo,Jeremy Le Douaron,fr FRA,"FW,MF",27-046,15.8,171.0,264.0,64.8,2240.0,468.0,105.0,150.0,70.0,47.0,64.0,73.4,7.0,18.0,38.9,1,1.9,0.8,-0.9,17.0,11.0,11.0,6.0,16.0,Jeremy Le DouaronPalermo
Serie B,Palermo,Emil Audero,id IDN,GK,28-139,14.0,359.0,528.0,68.0,10247.0,7506.0,61.0,61.0,100.0,159.0,162.0,98.1,136.0,300.0,45.3,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Emil AuderoPalermo
Serie B,Palermo,Joel Pohjanpalo,fi FIN,FW,30-266,13.4,140.0,218.0,64.2,2136.0,436.0,67.0,99.0,67.7,51.0,75.0,68.0,9.0,13.0,69.2,3,1.0,0.8,2.0,14.0,11.0,8.0,0.0,16.0,Joel PohjanpaloPalermo
Serie B,Palermo,Giangiacomo Magnani,it ITA,DF,29-245,12.8,495.0,592.0,83.6,9902.0,3141.0,149.0,171.0,87.1,262.0,292.0,89.7,69.0,104.0,66.3,0,0.1,0.2,-0.1,2.0,25.0,6.0,3.0,36.0,Giangiacomo MagnaniPalermo
Serie B,Palermo,Francesco Di Mariano,it ITA,"MF,FW",29-047,11.0,240.0,326.0,73.6,3842.0,1142.0,129.0,148.0,87.2,83.0,112.0,74.1,20.0,49.0,40.8,0,1.5,1.5,-1.5,17.0,10.0,20.0,12.0,27.0,Francesco Di MarianoPalermo
Serie B,Palermo,Thomas Henry,fr FRA,FW,30-259,10.1,101.0,173.0,58.4,1728.0,377.0,45.0,75.0,60.0,35.0,51.0,68.6,14.0,22.0,63.6,1,1.3,1.1,-0.3,13.0,8.0,7.0,1.0,18.0,Thomas HenryPalermo
