League,Squad,Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,PlSqu
EFL Championship,Leeds United,Opponent Total,,,26.0,46.0,85,3,1,565,453,65,540,433,486,4.0,4.0,4,1638.0,687.0,666.0,50.8,Opponent TotalLeeds United
EFL Championship,Sheffield United,Michael Cooper,eng ENG,GK,24.0,43.0,3,0,0,1,5,0,0,0,0,0.0,1.0,0,46.0,13.0,0.0,100.0,Michael CooperSheffield United
EFL Championship,Sheffield United,Harrison Burrows,eng ENG,DF,22.0,38.4,2,0,0,20,50,9,213,30,54,0.0,1.0,1,161.0,36.0,43.0,45.6,Harrison BurrowsSheffield United
EFL Championship,Sheffield United,Callum O'Hare,eng ENG,"MF,FW",26.0,34.9,2,0,0,40,57,8,22,8,32,0.0,0.0,0,143.0,15.0,36.0,29.4,Callum O'HareSheffield United
EFL Championship,Sheffield United,Gustavo Hamer,nl NED,"FW,MF",27.0,34.7,13,0,0,60,43,2,141,26,29,0.0,0.0,0,179.0,5.0,18.0,21.7,Gustavo HamerSheffield United
EFL Championship,Sheffield United,Anel Ahmedhodzic,ba BIH,DF,25.0,34.8,11,1,0,26,28,4,7,40,43,0.0,1.0,0,132.0,65.0,56.0,53.7,Anel AhmedhodzicSheffield United
EFL Championship,Sheffield United,Sydie Peck,eng ENG,MF,19.0,32.5,6,0,0,37,35,1,46,20,35,0.0,0.0,0,143.0,51.0,40.0,56.0,Sydie PeckSheffield United
EFL Championship,Sheffield United,Vinicius Souza,br BRA,MF,25.0,31.0,8,0,0,64,38,1,5,35,73,0.0,0.0,0,151.0,55.0,33.0,62.5,Vinicius SouzaSheffield United
EFL Championship,Sheffield United,Jack Robinson,eng ENG,DF,30.0,31.6,9,0,0,19,29,2,3,23,27,0.0,2.0,0,117.0,101.0,65.0,60.8,Jack RobinsonSheffield United
EFL Championship,Sheffield United,Alfie Gilchrist,eng ENG,DF,20.0,23.4,5,0,0,24,12,0,22,28,29,0.0,0.0,0,45.0,27.0,16.0,62.8,Alfie GilchristSheffield United
EFL Championship,Sheffield United,Jesurun Rak Sakyi,eng ENG,"FW,MF",21.0,19.2,1,0,0,20,23,5,34,11,22,0.0,0.0,0,70.0,15.0,20.0,42.9,Jesurun Rak SakyiSheffield United
EFL Championship,Sheffield United,Harry Souttar,au AUS,DF,25.0,19.6,5,1,1,18,4,0,3,25,12,0.0,0.0,0,51.0,76.0,18.0,80.9,Harry SouttarSheffield United
EFL Championship,Sheffield United,Tyrese Campbell,eng ENG,FW,24.0,17.6,2,0,0,17,18,9,16,0,2,1.0,0.0,0,30.0,22.0,43.0,33.8,Tyrese CampbellSheffield United
EFL Championship,Sheffield United,Kieffer Moore,wls WAL,FW,31.0,19.6,1,0,0,30,24,12,6,4,8,1.0,0.0,0,47.0,106.0,67.0,61.3,Kieffer MooreSheffield United
EFL Championship,Sheffield United,Rhian Brewster,eng ENG,"MF,FW",24.0,17.3,2,0,0,16,25,5,30,5,8,0.0,0.0,0,43.0,26.0,52.0,33.3,Rhian BrewsterSheffield United
EFL Championship,Sheffield United,Hamza Choudhury,bd BAN,"MF,DF",26.0,12.3,2,0,0,12,10,0,5,28,23,0.0,0.0,0,54.0,13.0,15.0,46.4,Hamza ChoudhurySheffield United
EFL Championship,Sheffield United,Ben Brereton,cl CHI,"FW,MF",25.0,10.9,4,0,0,17,7,3,10,8,1,0.0,0.0,0,37.0,18.0,14.0,56.3,Ben BreretonSheffield United
EFL Championship,Sheffield United,Oliver Arblaster,eng ENG,MF,20.0,10.9,3,0,0,8,11,0,18,9,7,1.0,0.0,0,63.0,8.0,11.0,42.1,Oliver ArblasterSheffield United
EFL Championship,Sheffield United,Andre Brooks,eng ENG,"FW,MF",20.0,10.6,3,0,0,20,10,1,16,6,16,0.0,0.0,0,49.0,12.0,13.0,48.0,Andre BrooksSheffield United
EFL Championship,Sheffield United,Sam McCallum,eng ENG,"DF,MF",23.0,11.7,1,0,0,8,17,0,30,26,11,1.0,0.0,0,49.0,45.0,43.0,51.1,Sam McCallumSheffield United
EFL Championship,Sheffield United,Femi Seriki,eng ENG,DF,22.0,12.1,2,0,0,17,23,0,31,9,25,0.0,0.0,0,37.0,21.0,9.0,70.0,Femi SerikiSheffield United
EFL Championship,Sheffield United,Thomas Cannon,ie IRL,FW,21.0,7.6,0,0,0,5,3,4,3,0,0,0.0,0.0,0,4.0,10.0,16.0,38.5,Thomas CannonSheffield United
EFL Championship,Sheffield United,Tom Davies,eng ENG,MF,26.0,7.5,4,0,0,9,17,0,5,8,15,1.0,0.0,0,28.0,6.0,13.0,31.6,Tom DaviesSheffield United
EFL Championship,Sheffield United,Harry Clarke,eng ENG,DF,23.0,5.2,3,0,0,9,1,0,9,4,6,0.0,0.0,0,9.0,20.0,10.0,66.7,Harry ClarkeSheffield United
EFL Championship,Sheffield United,Rob Holding,eng ENG,DF,28.0,4.7,1,0,0,2,3,0,1,5,3,0.0,0.0,0,20.0,20.0,9.0,69.0,Rob HoldingSheffield United
EFL Championship,Sheffield United,Adam Davies,wls WAL,GK,32.0,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3.0,0.0,0.0,,Adam DaviesSheffield United
EFL Championship,Sheffield United,Ryan One,sct SCO,FW,18.0,3.2,2,0,0,4,3,2,2,1,0,0.0,0.0,0,4.0,5.0,19.0,20.8,Ryan OneSheffield United
EFL Championship,Sheffield United,Jamie Shackleton,eng ENG,"DF,FW",24.0,3.2,0,0,0,4,8,1,1,1,9,0.0,0.0,0,18.0,4.0,4.0,50.0,Jamie ShackletonSheffield United
EFL Championship,Sheffield United,Rhys Norrington-Davies,wls WAL,DF,25.0,2.8,1,0,0,3,1,0,6,3,1,0.0,0.0,0,9.0,5.0,4.0,55.6,Rhys Norrington-DaviesSheffield United
EFL Championship,Sheffield United,Auston Trusty,us USA,DF,25.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,1.0,1.0,50.0,Auston TrustySheffield United
EFL Championship,Sheffield United,Anis Ben Slimane,tn TUN,MF,23.0,0.5,0,0,0,2,0,0,0,0,0,0.0,0.0,0,1.0,0.0,2.0,0.0,Anis Ben SlimaneSheffield United
EFL Championship,Sheffield United,Jamal Baptiste,eng ENG,DF,20.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Jamal BaptisteSheffield United
EFL Championship,Sheffield United,Billy Blacker,eng ENG,MF,18.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Billy BlackerSheffield United
EFL Championship,Sheffield United,Sai Sachdev,eng ENG,DF,19.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Sai SachdevSheffield United
EFL Championship,Sheffield United,Opponent Total,,,26.0,46.0,89,4,1,517,491,75,847,371,462,4.0,5.0,4,1805.0,690.0,801.0,46.3,Opponent TotalSheffield United
EFL Championship,Burnley,Maxime Esteve,fr FRA,DF,22.0,45.1,3,0,0,18,19,0,5,37,29,0.0,0.0,0,169.0,93.0,57.0,62.0,Maxime EsteveBurnley
EFL Championship,Burnley,James Trafford,eng ENG,GK,21.0,45.0,7,0,0,0,4,0,0,0,1,0.0,0.0,0,60.0,17.0,0.0,100.0,James TraffordBurnley
EFL Championship,Burnley,Josh Cullen,ie IRL,MF,28.0,42.2,11,0,0,57,76,0,38,34,34,2.0,0.0,0,234.0,51.0,56.0,47.7,Josh CullenBurnley
EFL Championship,Burnley,Jaidon Anthony,eng ENG,"FW,MF",24.0,40.7,4,0,0,38,37,14,251,31,33,0.0,0.0,0,165.0,20.0,35.0,36.4,Jaidon AnthonyBurnley
EFL Championship,Burnley,Connor Roberts,wls WAL,DF,28.0,40.4,4,0,0,24,64,3,77,17,31,0.0,0.0,0,102.0,19.0,34.0,35.8,Connor RobertsBurnley
EFL Championship,Burnley,CJ Egan-Riley,eng ENG,DF,21.0,40.0,7,1,0,17,29,0,3,36,41,0.0,1.0,0,185.0,72.0,74.0,49.3,CJ Egan-RileyBurnley
EFL Championship,Burnley,Josh Brownhill,eng ENG,"MF,FW",28.0,38.6,5,0,0,51,24,4,55,32,35,0.0,0.0,0,119.0,43.0,49.0,46.7,Josh BrownhillBurnley
EFL Championship,Burnley,Lucas,br BRA,DF,23.0,31.0,7,0,0,27,10,4,109,45,40,0.0,0.0,0,130.0,18.0,27.0,40.0,LucasBurnley
EFL Championship,Burnley,Zian Flemming,nl NED,FW,25.0,26.9,3,0,0,57,51,12,9,5,15,0.0,0.0,0,43.0,47.0,80.0,37.0,Zian FlemmingBurnley
EFL Championship,Burnley,Josh Laurent,eng ENG,MF,29.0,27.2,4,0,0,40,30,1,17,29,32,0.0,0.0,0,111.0,46.0,40.0,53.5,Josh LaurentBurnley
EFL Championship,Burnley,Hannibal Mejbri,tn TUN,"MF,FW",21.0,21.4,8,1,0,53,57,5,42,12,21,1.0,0.0,0,99.0,12.0,20.0,37.5,Hannibal MejbriBurnley
EFL Championship,Burnley,Bashir Humphreys,eng ENG,DF,21.0,19.7,3,1,1,12,25,0,25,22,30,0.0,0.0,0,81.0,35.0,20.0,63.6,Bashir HumphreysBurnley
