League,Squad,Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,PlSqu
Serie B,Catanzaro,Enrico Brignola,it ITA,DF,25-336,2.6,1,0,0,3,1,0,9,1,3,0.0,0.0,0,7.0,0.0,3.0,0.0,Enrico BrignolaCatanzaro
Serie B,Catanzaro,Giovanni Volpe,it ITA,"MF,FW",22-331,0.5,0,0,0,1,3,0,3,0,0,0.0,0.0,0,0.0,1.0,1.0,50.0,Giovanni VolpeCatanzaro
Serie B,Catanzaro,Riccardo Turicchia,it ITA,DF,22-124,0.4,0,0,0,0,0,0,5,1,0,0.0,0.0,0,0.0,1.0,1.0,50.0,Riccardo TuricchiaCatanzaro
Serie B,Catanzaro,Luka Krajnc,si SVN,DF,30-263,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Luka KrajncCatanzaro
Serie B,Catanzaro,Opponent Total,,,27.2,38.0,96,3,0,616,427,58,766,308,274,1.0,4.0,1,1392.0,442.0,496.0,47.1,Opponent TotalCatanzaro
Serie B,Cesena,Massimiliano Mangraviti,it ITA,DF,27-136,35.3,5,0,0,39,27,2,15,25,16,0.0,0.0,1,129.0,71.0,57.0,55.5,Massimiliano MangravitiCesena
Serie B,Cesena,Giuseppe Prestia,it ITA,DF,31-208,32.1,3,0,0,40,29,0,0,31,29,0.0,1.0,1,125.0,88.0,39.0,69.3,Giuseppe PrestiaCesena
Serie B,Cesena,Giacomo Calo,it ITA,MF,28-124,28.0,9,1,0,29,52,1,144,18,24,0.0,0.0,0,115.0,20.0,22.0,47.6,Giacomo CaloCesena
Serie B,Cesena,Cristian Shpendi,al ALB,FW,22-021,27.6,3,0,0,78,40,39,11,1,7,0.0,0.0,0,53.0,29.0,64.0,31.2,Cristian ShpendiCesena
Serie B,Cesena,Andrea Ciofi,it ITA,DF,25-346,28.8,8,0,0,25,27,0,23,44,27,0.0,1.0,0,102.0,77.0,52.0,59.7,Andrea CiofiCesena
Serie B,Cesena,Jonathan Klinsmann,us USA,GK,28-062,27.0,3,0,0,0,3,0,0,0,0,0.0,0.0,0,35.0,2.0,0.0,100.0,Jonathan KlinsmannCesena
Serie B,Cesena,Simone Bastoni,it ITA,MF,28-216,24.0,6,0,0,23,25,3,95,29,25,0.0,0.0,0,115.0,20.0,31.0,39.2,Simone BastoniCesena
Serie B,Cesena,Tommaso Berti,it ITA,MF,21-094,21.4,1,0,0,10,27,1,18,8,13,0.0,0.0,0,91.0,5.0,13.0,27.8,Tommaso BertiCesena
Serie B,Cesena,Emanuele Adamo,it ITA,"DF,MF",26-325,23.0,11,0,0,36,47,2,53,27,22,0.0,0.0,0,120.0,3.0,16.0,15.8,Emanuele AdamoCesena
Serie B,Cesena,Daniele Donnarumma,it ITA,DF,33-058,20.7,3,1,0,32,15,1,73,22,35,0.0,0.0,1,88.0,19.0,21.0,47.5,Daniele DonnarummaCesena
Serie B,Cesena,Mirko Antonucci,it ITA,"MF,FW",26-090,21.0,5,0,0,29,40,4,34,4,15,1.0,0.0,0,65.0,3.0,12.0,20.0,Mirko AntonucciCesena
Serie B,Cesena,Matteo Francesconi,it ITA,MF,21-118,16.4,9,1,1,33,19,0,9,7,20,0.0,0.0,0,58.0,17.0,30.0,36.2,Matteo FrancesconiCesena
Serie B,Cesena,Raffaele Celia,it ITA,DF,26-097,16.2,4,0,0,32,24,2,38,13,11,0.0,1.0,0,50.0,6.0,19.0,24.0,Raffaele CeliaCesena
Serie B,Cesena,Joseph Ceesay,gm GAM,DF,27-006,15.6,5,1,1,28,12,3,42,5,17,0.0,0.0,0,47.0,15.0,17.0,46.9,Joseph CeesayCesena
Serie B,Cesena,Dario Saric,ba BIH,MF,28-010,9.7,1,0,0,22,30,0,9,4,16,0.0,0.0,0,41.0,8.0,18.0,30.8,Dario SaricCesena
Serie B,Cesena,Matteo Pisseri,it ITA,GK,33-200,11.0,3,0,0,1,1,0,0,0,0,0.0,1.0,0,18.0,3.0,1.0,75.0,Matteo PisseriCesena
Serie B,Cesena,Augustus Kargbo,sl SLE,"FW,MF",25-289,10.7,5,1,0,17,39,10,18,0,3,0.0,0.0,0,23.0,8.0,16.0,33.3,Augustus KargboCesena
Serie B,Cesena,Marco Curto,it ITA,DF,26-155,9.4,4,0,0,20,7,0,6,11,8,1.0,0.0,0,33.0,18.0,10.0,64.3,Marco CurtoCesena
Serie B,Cesena,Elayis Tavsan,nl NED,"MF,FW",24-040,12.7,3,0,0,27,34,3,41,3,9,1.0,0.0,0,37.0,8.0,24.0,25.0,Elayis TavsanCesena
Serie B,Cesena,Antonino La Gumina,it ITA,"FW,MF",29-095,5.7,2,0,0,9,14,10,3,0,4,1.0,0.0,0,13.0,7.0,27.0,20.6,Antonino La GuminaCesena
Serie B,Cesena,Matteo Piacentini,it ITA,DF,26-050,5.4,1,0,0,15,2,0,4,9,4,0.0,0.0,0,14.0,7.0,10.0,41.2,Matteo PiacentiniCesena
Serie B,Cesena,Leonardo Mendicino,it ITA,MF,18-349,5.9,4,0,0,10,5,0,1,4,15,0.0,0.0,0,19.0,4.0,9.0,30.8,Leonardo MendicinoCesena
Serie B,Cesena,Sydney van Hooijdonk,nl NED,FW,25-123,2.9,2,0,0,12,4,2,0,0,1,0.0,0.0,0,4.0,4.0,8.0,33.3,Sydney van HooijdonkCesena
Serie B,Cesena,Simone Pieraccini,it ITA,DF,21-091,2.3,0,0,0,3,1,0,1,2,0,0.0,0.0,1,6.0,10.0,9.0,52.6,Simone PieracciniCesena
Serie B,Cesena,Flavio Russo,it ITA,"FW,MF",21-159,2.5,1,0,0,4,4,0,1,1,0,0.0,0.0,0,4.0,9.0,20.0,31.0,Flavio RussoCesena
Serie B,Cesena,Saber Hraiech,it ITA,"MF,DF",29-314,0.7,0,0,0,1,8,0,0,0,0,0.0,0.0,0,3.0,3.0,3.0,50.0,Saber HraiechCesena
Serie B,Cesena,Riccardo Chiarello,it ITA,"MF,DF",31-243,0.2,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,Riccardo ChiarelloCesena
Serie B,Cesena,Opponent Total,,,27.2,38.0,93,4,1,565,553,49,645,276,362,3.0,7.0,2,1420.0,549.0,464.0,54.2,Opponent TotalCesena
Serie B,Palermo,Dimitris Nikolaou,gr GRE,DF,26-300,26.6,5,0,0,36,14,0,8,27,18,0.0,0.0,0,97.0,54.0,34.0,61.4,Dimitris NikolaouPalermo
Serie B,Palermo,Claudio Gomes,fr FRA,MF,24-321,26.3,4,0,0,34,26,2,15,12,25,0.0,0.0,0,128.0,7.0,27.0,20.6,Claudio GomesPalermo
Serie B,Palermo,Pietro Ceccaroni,it ITA,DF,29-170,25.7,6,1,0,20,15,1,40,22,25,2.0,0.0,0,90.0,49.0,23.0,68.1,Pietro CeccaroniPalermo
Serie B,Palermo,Rayyan Baniya,,DF,26-111,25.9,3,0,0,31,15,0,0,25,20,0.0,1.0,0,97.0,57.0,38.0,60.0,Rayyan BaniyaPalermo
Serie B,Palermo,Filippo Ranocchia,it ITA,MF,24-026,25.9,2,0,0,48,38,1,227,17,24,0.0,1.0,0,116.0,32.0,30.0,51.6,Filippo RanocchiaPalermo
Serie B,Palermo,Jacopo Segre,it ITA,MF,28-112,25.0,5,0,0,48,31,0,15,13,23,0.0,0.0,0,75.0,24.0,34.0,41.4,Jacopo SegrePalermo
Serie B,Palermo,Salim Diakite,ml MLI,DF,25-006,22.9,8,0,0,43,47,1,51,11,26,0.0,0.0,0,84.0,39.0,26.0,60.0,Salim DiakitePalermo
Serie B,Palermo,Kristoffer Lund,us USA,"DF,FW",23-026,22.3,4,0,0,14,25,2,88,17,19,0.0,0.0,0,60.0,26.0,26.0,50.0,Kristoffer LundPalermo
Serie B,Palermo,Matteo Brunori,it ITA,"MF,FW",30-220,22.1,8,0,0,42,50,6,48,2,8,1.0,0.0,0,60.0,9.0,34.0,20.9,Matteo BrunoriPalermo
Serie B,Palermo,Sebastiano Desplanches,it ITA,GK,22-090,20.6,1,0,0,0,5,0,0,0,0,0.0,0.0,0,34.0,6.0,0.0,100.0,Sebastiano DesplanchesPalermo
Serie B,Palermo,Niccolo Pierozzi,it ITA,DF,23-270,17.4,7,0,0,26,18,0,48,16,17,0.0,0.0,0,46.0,46.0,29.0,61.3,Niccolo PierozziPalermo
Serie B,Palermo,Federico Di Francesco,it ITA,"MF,FW",30-360,16.0,3,0,0,12,26,1,56,4,7,1.0,0.0,0,59.0,2.0,14.0,12.5,Federico Di FrancescoPalermo
Serie B,Palermo,Alexis Blin,fr FRA,"MF,DF",28-266,15.2,5,0,0,28,22,0,20,9,14,0.0,0.0,0,53.0,25.0,28.0,47.2,Alexis BlinPalermo
Serie B,Palermo,Valerio Verre,it ITA,"MF,FW",31-149,14.3,5,0,0,28,36,2,49,7,18,0.0,0.0,0,65.0,17.0,13.0,56.7,Valerio VerrePalermo
Serie B,Palermo,Roberto Insigne,it ITA,"MF,FW",31-029,14.0,2,0,0,5,16,2,39,1,10,0.0,0.0,0,49.0,8.0,14.0,36.4,Roberto InsignePalermo
Serie B,Palermo,Jeremy Le Douaron,fr FRA,"FW,MF",27-049,15.8,2,0,0,31,33,5,20,3,3,1.0,0.0,0,33.0,70.0,72.0,49.3,Jeremy Le DouaronPalermo
Serie B,Palermo,Emil Audero,id IDN,GK,28-142,14.0,0,0,0,0,4,0,0,0,0,0.0,0.0,0,24.0,6.0,1.0,85.7,Emil AuderoPalermo
Serie B,Palermo,Joel Pohjanpalo,fi FIN,FW,30-269,13.4,0,0,0,9,5,4,3,2,2,0.0,0.0,0,26.0,34.0,36.0,48.6,Joel PohjanpaloPalermo
Serie B,Palermo,Giangiacomo Magnani,it ITA,DF,29-248,12.8,4,0,0,11,20,0,6,18,2,0.0,0.0,0,43.0,51.0,26.0,66.2,Giangiacomo MagnaniPalermo
Serie B,Palermo,Francesco Di Mariano,it ITA,"MF,FW",29-050,11.0,2,0,0,17,36,2,51,12,5,0.0,0.0,0,42.0,4.0,8.0,33.3,Francesco Di MarianoPalermo
Serie B,Palermo,Thomas Henry,fr FRA,FW,30-262,10.1,3,0,0,32,24,2,6,1,2,0.0,0.0,0,20.0,42.0,31.0,57.5,Thomas HenryPalermo
Serie B,Palermo,Ionut Nedelcearu,ro ROU,DF,29-045,7.0,1,0,0,14,7,0,3,4,4,0.0,0.0,1,21.0,13.0,12.0,52.0,Ionut NedelcearuPalermo
Serie B,Palermo,Salvatore Sirigu,it ITA,GK,38-148,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3.0,0.0,0.0,,Salvatore SiriguPalermo
Serie B,Palermo,Aljosa Vasic,rs SRB,"MF,DF",23-049,6.2,2,0,0,16,16,0,7,4,16,0.0,0.0,0,24.0,25.0,28.0,47.2,Aljosa VasicPalermo
Serie B,Palermo,Dario Saric,ba BIH,MF,28-010,2.3,1,0,0,4,6,0,5,0,3,0.0,0.0,0,11.0,6.0,3.0,66.7,Dario SaricPalermo
Serie B,Palermo,Alfred Gomis,sn SEN,GK,31-277,0.4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,Alfred GomisPalermo
Serie B,Palermo,Stredair Appuah,fr FRA,"MF,FW",20-347,0.7,0,0,0,2,1,0,3,0,1,0.0,0.0,0,3.0,2.0,2.0,50.0,Stredair AppuahPalermo
Serie B,Palermo,Alessio Buttaro,it ITA,"MF,DF",22-272,0.4,1,0,0,1,2,0,0,0,1,0.0,0.0,0,2.0,0.0,0.0,,Alessio ButtaroPalermo
Serie B,Palermo,Patryk Peda,pl POL,DF,23-054,0.4,1,0,0,1,1,0,0,0,1,0.0,0.0,0,1.0,0.0,0.0,,Patryk PedaPalermo
Serie B,Palermo,Opponent Total,,,27.4,38.0,94,2,1,569,521,96,755,233,331,1.0,7.0,3,1387.0,589.0,655.0,47.3,Opponent TotalPalermo
Serie B,Bari,Boris Radunovic,rs SRB,GK,29-014,36.8,5,0,0,1,8,0,0,0,1,0.0,1.0,0,43.0,4.0,1.0,80.0,Boris RadunovicBari
Serie B,Bari,Emile Dorval,fr FRA,DF,24-120,34.3,4,0,0,40,51,3,143,25,35,1.0,0.0,0,161.0,23.0,60.0,27.7,Emile DorvalBari
Serie B,Bari,Valerio Mantovani,it ITA,DF,29-052,32.7,7,0,0,38,28,4,37,35,23,1.0,0.0,0,81.0,78.0,62.0,55.7,Valerio MantovaniBari
Serie B,Bari,Ahmad Benali,ly LBY,MF,33-122,31.2,14,0,0,46,38,0,53,35,36,0.0,0.0,0,207.0,29.0,36.0,44.6,Ahmad BenaliBari
Serie B,Bari,Mattia Maita,it ITA,MF,32-158,30.0,10,0,0,52,43,0,17,18,44,0.0,1.0,0,182.0,11.0,14.0,44.0,Mattia MaitaBari
Serie B,Bari,Raffaele Pucino,it ITA,DF,34-037,28.4,7,0,0,34,18,1,74,35,31,0.0,0.0,0,77.0,55.0,37.0,59.8,Raffaele PucinoBari
Serie B,Bari,Kevin Lasagna,it ITA,FW,32-303,23.9,1,0,0,32,20,15,26,3,9,0.0,0.0,0,34.0,57.0,75.0,43.2,Kevin LasagnaBari
Serie B,Bari,Francesco Vicari,it ITA,DF,30-310,21.8,4,0,0,32,10,1,1,14,13,0.0,1.0,0,40.0,83.0,56.0,59.7,Francesco VicariBari
Serie B,Bari,Nosa Edward Obaretin,it ITA,DF,22-134,20.1,6,0,0,32,20,0,7,19,15,0.0,1.0,0,45.0,43.0,34.0,55.8,Nosa Edward ObaretinBari
Serie B,Bari,Andrea Oliveri,it ITA,DF,22-146,19.4,3,0,0,25,35,3,87,15,20,0.0,0.0,0,70.0,26.0,23.0,53.1,Andrea OliveriBari
Serie B,Bari,Costantino Favasuli,it ITA,DF,21-044,18.3,7,0,0,38,28,1,26,6,34,0.0,0.0,0,93.0,15.0,27.0,35.7,Costantino FavasuliBari
Serie B,Bari,Cesar Falletti,uy URU,"FW,MF",32-189,17.0,3,0,0,19,32,1,109,2,19,1.0,1.0,0,76.0,5.0,11.0,31.3,Cesar FallettiBari
Serie B,Bari,Nunzio Lella,it ITA,MF,24-316,15.4,2,1,0,30,27,2,16,7,11,0.0,0.0,0,53.0,30.0,35.0,46.2,Nunzio LellaBari
Serie B,Bari,Lorenco Simic,hr CRO,DF,28-329,11.9,1,0,0,22,4,0,2,27,15,0.0,0.0,0,21.0,93.0,26.0,78.2,Lorenco SimicBari
Serie B,Bari,Giuseppe Sibilli,it ITA,"MF,FW",28-306,9.8,3,0,0,31,22,9,40,4,9,1.0,0.0,0,38.0,13.0,13.0,50.0,Giuseppe SibilliBari
Serie B,Bari,Andrija Novakovich,us USA,"FW,MF",28-261,12.8,3,0,0,27,14,5,1,3,1,0.0,0.0,0,23.0,63.0,46.0,57.8,Andrija NovakovichBari
Serie B,Bari,Giulio Maggiore,it ITA,MF,27-089,8.9,2,0,0,21,10,1,5,3,6,0.0,0.0,0,39.0,10.0,14.0,41.7,Giulio MaggioreBari
Serie B,Bari,Nicholas Bonfanti,it ITA,"FW,MF",23-073,8.2,1,0,0,10,21,4,5,0,1,0.0,0.0,0,10.0,21.0,39.0,35.0,Nicholas BonfantiBari
Serie B,Bari,Andrea Favilli,it ITA,FW,28-023,8.7,6,0,0,21,28,3,8,2,3,0.0,0.0,0,26.0,43.0,31.0,58.1,Andrea FavilliBari
Serie B,Bari,Raffaele Maiello,it ITA,MF,33-334,6.9,3,0,0,8,13,0,3,5,13,0.0,0.0,0,33.0,5.0,8.0,38.5,Raffaele MaielloBari
Serie B,Bari,Nicola Bellomo,it ITA,"MF,FW",34-111,5.8,3,0,0,7,15,1,54,2,2,0.0,0.0,0,20.0,3.0,11.0,21.4,Nicola BellomoBari
Serie B,Bari,Gaston Pereiro,uy URU,"MF,FW",29-363,3.1,2,0,0,6,5,0,12,1,3,0.0,0.0,0,4.0,2.0,3.0,40.0,Gaston PereiroBari
Serie B,Bari,Giacomo Manzari,it ITA,"MF,FW",24-261,3.8,1,0,0,10,10,0,26,2,5,0.0,0.0,0,12.0,6.0,5.0,54.5,Giacomo ManzariBari
Serie B,Bari,Lorenzo Sgarbi,it ITA,"MF,FW",24-077,2.4,0,0,0,5,11,1,23,0,1,0.0,0.0,0,11.0,1.0,0.0,100.0,Lorenzo SgarbiBari
Serie B,Bari,Marco Pissardo,it ITA,GK,27-152,1.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,Marco PissardoBari
Serie B,Bari,Alessandro Tripaldelli,it ITA,DF,26-120,1.8,1,0,0,6,5,1,4,0,1,0.0,0.0,0,6.0,3.0,1.0,75.0,Alessandro TripaldelliBari
Serie B,Bari,Coli Saco,ml MLI,"MF,FW",23-025,1.8,2,0,0,8,1,1,0,4,3,0.0,1.0,0,8.0,7.0,9.0,43.8,Coli SacoBari
Serie B,Bari,Giacomo Ricci,it ITA,DF,28-280,0.9,0,0,0,3,3,0,8,1,1,0.0,0.0,0,3.0,2.0,4.0,33.3,Giacomo RicciBari
Serie B,Bari,Karlo Lulic,hr CRO,MF,29-030,0.5,0,0,0,1,0,0,3,0,0,0.0,0.0,0,1.0,2.0,0.0,100.0,Karlo LulicBari
Serie B,Bari,Gregorio Morachioli,it ITA,"DF,MF",25-102,0.1,0,0,0,0,1,0,6,1,1,0.0,0.0,0,0.0,0.0,1.0,0.0,Gregorio MorachioliBari
Serie B,Bari,Opponent Total,,,27.2,38.0,93,6,0,542,577,31,736,269,340,5.0,5.0,2,1387.0,682.0,734.0,48.2,Opponent TotalBari
Serie B,Sudtirol,Salvatore Molina,it ITA,"DF,MF",33-159,33.1,6,0,0,42,44,2,124,18,45,0.0,0.0,0,153.0,43.0,43.0,50.0,Salvatore MolinaSudtirol
Serie B,Sudtirol,Raphael Odogwu,ng NGA,FW,34-132,31.2,3,0,0,63,75,16,8,5,9,1.0,1.0,0,80.0,147.0,173.0,45.9,Raphael OdogwuSudtirol
Serie B,Sudtirol,Daniele Casiraghi,it ITA,MF,32-091,25.1,6,1,1,54,57,1,193,8,19,0.0,0.0,0,110.0,12.0,45.0,21.1,Daniele CasiraghiSudtirol
Serie B,Sudtirol,Nicola Pietrangeli,it ITA,DF,24-325,27.4,2,0,0,35,31,0,4,26,24,0.0,0.0,1,59.0,136.0,80.0,63.0,Nicola PietrangeliSudtirol
Serie B,Sudtirol,Andrea Giorgini,it ITA,DF,23-048,26.9,6,0,0,30,7,0,24,30,23,0.0,0.0,0,76.0,53.0,38.0,58.2,Andrea GiorginiSudtirol
Serie B,Sudtirol,Silvio Merkaj,al ALB,FW,27-187,22.9,12,0,0,64,41,25,17,6,10,0.0,0.0,0,72.0,51.0,105.0,32.7,Silvio MerkajSudtirol
Serie B,Sudtirol,Raphael Kofler,it ITA,"DF,MF",20-044,21.7,5,0,0,43,6,0,6,27,26,0.0,0.0,0,62.0,62.0,33.0,65.3,Raphael KoflerSudtirol
Serie B,Sudtirol,Mateusz Praszelik,pl POL,MF,24-256,18.3,2,1,1,29,30,0,30,16,17,0.0,0.0,0,74.0,25.0,15.0,62.5,Mateusz PraszelikSudtirol
Serie B,Sudtirol,Giacomo Poluzzi,it ITA,GK,37-104,18.0,1,0,0,0,3,0,0,0,1,0.0,0.0,0,21.0,4.0,0.0,100.0,Giacomo PoluzziSudtirol
Serie B,Sudtirol,Tommaso Arrigoni,it ITA,MF,31-103,17.8,2,0,0,19,13,1,36,23,13,0.0,0.0,0,65.0,16.0,14.0,53.3,Tommaso ArrigoniSudtirol
Serie B,Sudtirol,Simone Davi,it ITA,DF,25-266,17.9,3,0,0,35,23,1,61,6,10,0.0,1.0,0,41.0,25.0,24.0,51.0,Simone DaviSudtirol
Serie B,Sudtirol,Matteo Rover,it ITA,"DF,FW",26-109,15.6,5,0,0,21,11,2,35,14,7,0.0,0.0,0,57.0,19.0,34.0,35.8,Matteo RoverSudtirol
Serie B,Sudtirol,Marius Adamonis,lt LTU,GK,28-027,15.0,0,0,0,0,4,0,0,0,0,0.0,0.0,0,18.0,2.0,0.0,100.0,Marius AdamonisSudtirol
Serie B,Sudtirol,Freddie Veseli,al ALB,DF,32-201,14.9,4,0,0,19,5,0,4,16,17,0.0,0.0,0,32.0,21.0,13.0,61.8,Freddie VeseliSudtirol
Serie B,Sudtirol,Andrea Masiello,it ITA,DF,39-124,13.9,4,0,0,16,9,2,14,21,13,0.0,1.0,0,37.0,24.0,8.0,75.0,Andrea MasielloSudtirol
Serie B,Sudtirol,Niklas Pyyhtia,fi FIN,MF,21-257,10.9,4,0,0,27,7,2,65,9,12,0.0,0.0,0,41.0,24.0,18.0,57.1,Niklas PyyhtiaSudtirol
Serie B,Sudtirol,Karim Zedadka,fr FRA,"DF,MF",25-000,9.7,2,0,0,20,24,0,19,11,5,0.0,0.0,0,50.0,25.0,17.0,59.5,Karim ZedadkaSudtirol
Serie B,Sudtirol,Jasmin Kurtic,si SVN,MF,36-150,9.7,3,1,0,13,14,0,8,16,14,0.0,0.0,0,46.0,19.0,11.0,63.3,Jasmin KurticSudtirol
Serie B,Sudtirol,Luca Ceppitelli,it ITA,DF,35-302,9.7,2,0,0,9,8,0,1,10,3,0.0,1.0,0,32.0,43.0,15.0,74.1,Luca CeppitelliSudtirol
Serie B,Sudtirol,Fabian Tait,it ITA,"MF,FW",32-119,8.5,1,0,0,16,11,1,8,3,2,0.0,0.0,0,17.0,22.0,22.0,50.0,Fabian TaitSudtirol
Serie B,Sudtirol,Hamza El Kaouakibi,ma MAR,"DF,MF",27-018,8.9,6,0,0,16,1,2,6,4,3,0.0,0.0,0,43.0,13.0,18.0,41.9,Hamza El KaouakibiSudtirol
Serie B,Sudtirol,Alessandro Mallamo,it ITA,MF,26-079,7.3,3,0,0,17,23,0,21,7,12,2.0,0.0,0,34.0,14.0,12.0,53.8,Alessandro MallamoSudtirol
Serie B,Sudtirol,Jacopo Martini,it ITA,MF,20-163,8.0,4,0,0,28,0,1,8,11,12,0.0,0.0,0,33.0,19.0,18.0,51.4,Jacopo MartiniSudtirol
Serie B,Sudtirol,Antonio Barreca,it ITA,DF,30-083,5.5,0,0,0,9,3,0,35,2,2,0.0,0.0,0,18.0,4.0,8.0,33.3,Antonio BarrecaSudtirol
Serie B,Sudtirol,Luca Belardinelli,it ITA,MF,24-087,5.4,1,0,0,9,3,1,9,3,4,0.0,0.0,0,27.0,28.0,29.0,49.1,Luca BelardinelliSudtirol
Serie B,Sudtirol,Giacomo Drago,it ITA,GK,24-092,5.0,0,0,0,1,0,0,0,0,0,0.0,1.0,0,6.0,1.0,0.0,100.0,Giacomo DragoSudtirol
Serie B,Sudtirol,Andrea Cagnano,it ITA,DF,26-357,2.6,1,0,0,2,5,0,12,3,3,0.0,0.0,0,8.0,7.0,2.0,77.8,Andrea CagnanoSudtirol
Serie B,Sudtirol,Gabriele Gori,it ITA,FW,26-116,3.1,3,0,0,7,4,0,0,0,6,0.0,0.0,0,16.0,16.0,20.0,44.4,Gabriele GoriSudtirol
Serie B,Sudtirol,Valerio Crespi,it ITA,"FW,DF",20-309,1.9,2,0,0,9,4,3,0,0,1,0.0,0.0,0,7.0,4.0,8.0,33.3,Valerio CrespiSudtirol
Serie B,Sudtirol,Edoardo Vergani,it ITA,FW,24-123,0.5,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,2.0,0.0,Edoardo VerganiSudtirol
Serie B,Sudtirol,Federico Davi,it ITA,DF,23-159,0.5,0,0,0,0,0,0,2,1,1,0.0,0.0,0,6.0,0.0,1.0,0.0,Federico DaviSudtirol
Serie B,Sudtirol,Alessandro Vimercati,it ITA,DF,22-265,0.2,0,0,0,1,1,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,Alessandro VimercatiSudtirol
Serie B,Sudtirol,Opponent Total,,,27.3,38.0,86,4,3,503,632,42,802,244,266,5.0,6.0,2,1362.0,826.0,879.0,48.4,Opponent TotalSudtirol
Serie B,Modena,Riccardo Gagno,it ITA,GK,27-318,37.0,1,0,0,0,5,0,0,0,0,0.0,0.0,0,41.0,10.0,0.0,100.0,Riccardo GagnoModena
Serie B,Modena,Antonio Palumbo,it ITA,"MF,FW",28-307,32.8,11,1,0,40,51,6,250,10,18,2.0,0.0,0,168.0,12.0,29.0,29.3,Antonio PalumboModena
Serie B,Modena,Fabio Gerli,it ITA,MF,28-168,32.1,4,0,0,21,33,0,17,23,25,0.0,0.0,0,179.0,14.0,12.0,53.8,Fabio GerliModena
Serie B,Modena,Simone Santoro,it ITA,MF,25-262,30.7,11,0,0,58,40,1,25,36,47,0.0,0.0,0,180.0,43.0,40.0,51.8,Simone SantoroModena
Serie B,Modena,Giovanni Zaro,it ITA,DF,31-028,30.5,9,0,0,40,40,5,7,35,39,0.0,1.0,0,88.0,127.0,47.0,73.0,Giovanni ZaroModena
Serie B,Modena,Matteo Cotali,it ITA,DF,28-048,21.4,6,1,0,55,39,0,38,27,39,0.0,0.0,0,77.0,21.0,21.0,50.0,Matteo CotaliModena
Serie B,Modena,Giuseppe Caso,it ITA,"MF,FW",26-182,20.3,2,0,0,5,47,9,12,1,6,0.0,0.0,0,46.0,1.0,8.0,11.1,Giuseppe CasoModena
Serie B,Modena,Alessandro Dellavalle,it ITA,DF,21-029,22.2,5,0,0,23,23,0,36,26,38,0.0,0.0,0,91.0,40.0,35.0,53.3,Alessandro DellavalleModena
Serie B,Modena,Mattia Caldara,it ITA,DF,31-035,20.5,4,1,0,21,17,0,10,25,15,0.0,0.0,0,46.0,41.0,30.0,57.7,Mattia CaldaraModena
Serie B,Modena,Cristian Cauz,it ITA,DF,28-298,18.6,4,1,0,12,14,2,5,20,20,0.0,0.0,1,44.0,26.0,32.0,44.8,Cristian CauzModena
Serie B,Modena,Luca Magnino,it ITA,"DF,MF",27-300,20.3,6,0,0,33,28,3,9,18,19,0.0,0.0,1,75.0,24.0,31.0,43.6,Luca MagninoModena
Serie B,Modena,Alessandro Di Pardo,it ITA,DF,25-326,15.9,2,1,0,12,17,0,37,15,20,0.0,3.0,0,54.0,18.0,17.0,51.4,Alessandro Di PardoModena
Serie B,Modena,Pedro Mendes,pt POR,FW,25-312,16.4,0,1,0,19,19,5,4,3,1,0.0,0.0,0,16.0,76.0,65.0,53.9,Pedro MendesModena
Serie B,Modena,Riyad Idrissi,ma MAR,DF,19-361,14.3,4,0,0,9,13,5,30,14,13,0.0,0.0,0,49.0,17.0,18.0,48.6,Riyad IdrissiModena
Serie B,Modena,Gregoire Defrel,mq MTQ,"FW,MF",33-357,13.1,2,1,0,16,20,4,3,1,9,0.0,0.0,0,28.0,23.0,48.0,32.4,Gregoire DefrelModena
Serie B,Modena,Thomas Battistella,it ITA,"MF,DF",23-315,10.9,5,0,0,24,31,1,29,8,18,0.0,0.0,0,56.0,23.0,17.0,57.5,Thomas BattistellaModena
Serie B,Modena,Kleis Bozhanaj,al ALB,"MF,FW",24-100,10.4,1,0,0,15,42,0,16,5,10,1.0,0.0,0,44.0,1.0,3.0,25.0,Kleis BozhanajModena
Serie B,Modena,Ettore Gliozzi,it ITA,"FW,MF",29-259,10.0,4,0,0,15,25,6,2,2,3,1.0,0.0,0,17.0,40.0,42.0,48.8,Ettore GliozziModena
Serie B,Modena,Fabio Abiuso,gr GRE,FW,22-127,8.1,1,0,0,14,10,5,1,2,3,0.0,0.0,0,17.0,29.0,39.0,42.6,Fabio AbiusoModena
Serie B,Modena,Gady Beyuku,fr FRA,DF,19-198,6.7,3,0,0,9,6,1,7,6,6,0.0,0.0,0,18.0,13.0,21.0,38.2,Gady BeyukuModena
