Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,PlSqu
Atletico Madrid,Pablo Barrios,251,es ESP,MF,es La Liga,21,2003,25.9,1299,1511,86.0,20821,5648,685,749,91.5,496,547,90.7,88,139,63.3,4,2.4,2.0,+1.6,26,148,24,5,142,Pablo BarriosAtletico Madrid
Villarreal,Thierno Barry,252,fr FRA,FW,es La Liga,21,2002,25.8,209,337,62.0,2946,546,118,172,68.6,70,116,60.3,9,19,47.4,4,2.9,2.0,+1.1,23,14,12,1,27,Thierno BarryVillarreal
Milan,Davide Bartesaghi,253,it ITA,DF,it Serie A,18,2005,1.3,65,76,85.5,938,308,40,43,93.0,20,25,80.0,3,5,60.0,0,0.1,0.2,-0.1,2,1,3,3,2,Davide BartesaghiMilan
Betis,Marc Bartra,254,es ESP,DF,es La Liga,33,1991,23.3,945,1163,81.3,19271,6573,314,337,93.2,493,546,90.3,126,249,50.6,1,0.2,0.3,+0.8,4,64,5,1,68,Marc BartraBetis
Lecce,Federico Baschirotto,255,it ITA,DF,it Serie A,27,1996,38.0,1409,1635,86.2,28512,9707,443,483,91.7,762,824,92.5,196,304,64.5,0,0.2,0.5,-0.2,4,51,5,0,71,Federico BaschirottoLecce
Como,Daniele Baselli,256,it ITA,MF,it Serie A,32,1992,0.2,24,27,88.9,437,123,7,8,87.5,16,17,94.1,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,4,Daniele BaselliComo
Fulham,Calvin Bassey,257,ng NGA,DF,eng Premier League,24,1999,34.2,1934,2155,89.7,34171,11961,821,862,95.2,941,1003,93.8,140,228,61.4,0,0.1,0.4,-0.1,3,152,3,0,116,Calvin BasseyFulham
Las Palmas,Aboubacar Bassinga,258,ci CIV,MF,es La Liga,19,2005,0.0,2,4,50.0,53,0,1,1,100.0,0,0,,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Aboubacar BassingaLas Palmas
Inter,Alessandro Bastoni,259,it ITA,DF,it Serie A,25,1999,26.7,1966,2225,88.4,36493,11275,832,872,95.4,882,951,92.7,226,338,66.9,5,2.3,2.8,+2.7,27,128,49,24,162,Alessandro BastoniInter
Rayo Vallecano,Augusto Batalla,260,ar ARG,GK,es La Liga,28,1996,32.0,784,1177,66.6,23121,17259,121,122,99.2,397,403,98.5,265,645,41.1,0,0.0,0.1,0.0,1,25,1,0,2,Augusto BatallaRayo Vallecano
Eint Frankfurt,Michy Batshuayi,261,be BEL,FW,de Bundesliga,30,1993,3.3,53,66,80.3,747,198,32,36,88.9,14,20,70.0,4,4,100.0,0,0.0,0.4,0.0,1,4,2,0,8,Michy BatshuayiEint Frankfurt
Saint-Etienne,Dylan Batubinsika,262,cd COD,DF,fr Ligue 1,28,1996,22.4,1112,1217,91.4,20308,6434,400,417,95.9,628,667,94.2,72,113,63.7,0,0.2,0.4,-0.2,4,47,3,1,51,Dylan BatubinsikaSaint-Etienne
Augsburg,Maximilian Bauer,263,de GER,DF,de Bundesliga,24,2000,7.3,275,340,80.9,5313,1982,97,111,87.4,143,162,88.3,34,61,55.7,0,0.1,0.1,-0.1,2,31,2,2,30,Maximilian BauerAugsburg
Hoffenheim,Oliver Baumann,264,de GER,GK,de Bundesliga,34,1990,28.0,734,1062,69.1,21741,16685,124,125,99.2,362,364,99.5,244,566,43.1,0,1.0,0.7,-1.0,3,39,4,0,1,Oliver BaumannHoffenheim
RB Leipzig,Christoph Baumgartner,265,at AUT,MF,de Bundesliga,24,1999,17.9,421,617,68.2,6330,1808,222,286,77.6,138,191,72.3,29,54,53.7,1,1.3,1.7,-0.3,20,40,16,1,53,Christoph BaumgartnerRB Leipzig
