Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,PlSqu
Bochum,Moritz Broschinski,400,de GER,"FW,MF",de Bundesliga,23,2000,15.4,187,295,63.4,2807,554,102,136,75.0,64,90,71.1,10,20,50.0,3,1.8,1.5,+1.2,13,9,8,4,20,Moritz BroschinskiBochum
Eint Frankfurt,Nathaniel Brown,401,de GER,"DF,MF",de Bundesliga,21,2003,21.6,727,901,80.7,10728,3251,423,453,93.4,223,269,82.9,47,94,50.0,6,5.1,4.6,+0.9,39,35,22,7,63,Nathaniel BrownEint Frankfurt
Hoffenheim,Jacob Bruun Larsen,402,dk DEN,"FW,MF",de Bundesliga,25,1998,4.4,121,163,74.2,1819,401,61,72,84.7,40,56,71.4,10,20,50.0,2,0.6,0.7,+1.4,8,7,6,2,16,Jacob Bruun LarsenHoffenheim
Stuttgart,Jacob Bruun Larsen,403,dk DEN,"MF,FW",de Bundesliga,25,1998,4.6,115,163,70.6,1895,554,62,81,76.5,42,54,77.8,9,15,60.0,0,1.2,1.6,-1.2,11,8,17,6,19,Jacob Bruun LarsenStuttgart
Inter,Tajon Buchanan,404,ca CAN,"DF,FW",it Serie A,25,1999,1.1,40,48,83.3,509,151,27,28,96.4,13,16,81.3,0,2,0.0,0,0.1,0.1,-0.1,1,2,0,0,2,Tajon BuchananInter
Villarreal,Tajon Buchanan,405,ca CAN,MF,es La Liga,25,1999,4.6,106,144,73.6,1431,338,70,86,81.4,22,31,71.0,7,12,58.3,2,0.5,0.5,+1.5,5,2,4,1,5,Tajon BuchananVillarreal
Osasuna,Ante Budimir,406,hr CRO,FW,es La Liga,33,1991,32.8,239,426,56.1,3022,503,162,249,65.1,59,114,51.8,5,11,45.5,4,1.7,1.2,+2.3,16,12,7,0,24,Ante BudimirOsasuna
Aston Villa,Emi Buendia,407,ar ARG,"MF,FW",eng Premier League,27,1996,1.1,49,60,81.7,624,166,33,36,91.7,12,14,85.7,1,5,20.0,0,0.0,0.0,0.0,1,4,1,0,7,Emi BuendiaAston Villa
Leverkusen,Emi Buendia,408,ar ARG,MF,de Bundesliga,27,1996,2.9,123,157,78.3,1594,405,75,85,88.2,37,47,78.7,3,7,42.9,0,0.9,0.5,-0.9,6,9,4,0,14,Emi BuendiaLeverkusen
Sevilla,Manu Bueno,409,es ESP,"MF,FW",es La Liga,20,2004,1.6,67,74,90.5,1082,110,35,38,92.1,23,25,92.0,5,6,83.3,0,0.0,0.1,0.0,0,4,1,0,5,Manu BuenoSevilla
Wolves,Santiago Bueno,410,uy URU,DF,eng Premier League,25,1998,18.7,741,842,88.0,13598,4177,260,281,92.5,417,444,93.9,51,91,56.0,0,0.0,0.1,0.0,0,24,2,0,28,Santiago BuenoWolves
Athletic Club,Endika Bujan,411,es ESP,FW,es La Liga,21,2003,0.1,4,5,80.0,41,12,4,4,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Endika BujanAthletic Club
Hoffenheim,Marius Bulter,412,de GER,"FW,DF",de Bundesliga,31,1993,19.2,394,586,67.2,6403,1684,204,257,79.4,146,205,71.2,32,77,41.6,2,3.1,3.4,-1.1,22,30,25,12,35,Marius BulterHoffenheim
Leicester City,Facundo Buonanotte,413,ar ARG,"FW,MF",eng Premier League,19,2004,16.9,437,572,76.4,6930,1757,236,276,85.5,150,182,82.4,35,74,47.3,2,3.1,2.3,-1.1,24,41,13,2,54,Facundo BuonanotteLeicester City
Napoli,Alessandro Buongiorno,414,it ITA,DF,it Serie A,25,1999,21.4,1161,1279,90.8,20369,6363,454,487,93.2,634,662,95.8,62,104,59.6,0,0.6,0.6,-0.6,5,67,3,0,82,Alessandro BuongiornoNapoli
Ipswich Town,Cameron Burgess,415,au AUS,DF,eng Premier League,28,1995,17.1,626,774,80.9,11461,5485,259,285,90.9,295,340,86.8,64,127,50.4,2,0.5,0.4,+1.5,7,47,4,0,42,Cameron BurgessIpswich Town
Mainz 05,Jonathan Burkardt,416,de GER,FW,de Bundesliga,24,2000,23.4,379,523,72.5,6262,854,197,258,76.4,127,156,81.4,37,52,71.2,2,3.1,2.7,-1.1,20,25,16,4,42,Jonathan BurkardtMainz 05
Werder Bremen,Oliver Burke,417,sct SCO,FW,de Bundesliga,27,1997,10.1,179,299,59.9,2061,379,130,184,70.7,27,52,51.9,6,17,35.3,0,1.7,1.1,-1.7,14,5,7,3,15,Oliver BurkeWerder Bremen
Newcastle Utd,Dan Burn,418,eng ENG,DF,eng Premier League,32,1992,37.0,1774,2006,88.4,32347,11375,621,692,89.7,1029,1088,94.6,110,181,60.8,1,0.9,1.1,+0.1,9,50,9,0,75,Dan BurnNewcastle Utd
Lecce,Rares-Catalin Burnete,419,ro ROU,FW,it Serie A,20,2004,0.3,7,11,63.6,70,10,7,9,77.8,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Rares-Catalin BurneteLecce
Ipswich Town,Wes Burns,420,wls WAL,"FW,DF",eng Premier League,29,1994,10.3,153,253,60.5,2416,597,82,102,80.4,51,78,65.4,14,36,38.9,1,1.6,1.2,-0.6,10,8,8,7,8,Wes BurnsIpswich Town
Heidenheim,Marnon Busch,421,de GER,"DF,MF",de Bundesliga,29,1994,15.5,614,845,72.7,13121,4710,192,230,83.5,299,374,79.9,117,207,56.5,1,1.1,1.8,-0.1,12,59,17,10,63,Marnon BuschHeidenheim
Venezia,Gianluca Busio,422,us USA,MF,it Serie A,22,2002,28.0,696,917,75.9,10896,2655,370,438,84.5,261,324,80.6,44,73,60.3,0,1.6,1.8,-1.6,28,46,25,4,95,Gianluca BusioVenezia
Reims,Aurelio Buta,423,pt POR,DF,fr Ligue 1,27,1997,21.9,819,991,82.6,12195,4195,449,504,89.1,309,370,83.5,36,64,56.3,1,0.8,1.4,+0.2,10,56,12,4,83,Aurelio ButaReims
Como,Jean Butez,424,fr FRA,GK,it Serie A,29,1995,18.5,588,752,78.2,15581,11219,114,115,99.1,304,307,99.0,169,327,51.7,0,0.0,0.0,0.0,1,20,1,0,1,Jean ButezComo
Arsenal,Nathan Butler-Oyedeji,425,eng ENG,FW,eng Premier League,21,2003,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Nathan Butler-OyedejiArsenal
Nice,Marcin Bulka,426,pl POL,GK,fr Ligue 1,24,1999,34.0,898,1110,80.9,21944,15371,208,211,98.6,448,465,96.3,236,426,55.4,0,0.2,0.1,-0.2,1,12,0,0,2,Marcin BulkaNice
Villarreal,Pau Cabanes,427,es ESP,"MF,FW",es La Liga,19,2005,1.8,60,84,71.4,897,192,37,45,82.2,21,29,72.4,1,3,33.3,0,0.4,0.2,-0.4,4,1,3,0,11,Pau CabanesVillarreal
Alaves,Pau Cabanes,428,es ESP,"MF,FW",es La Liga,19,2005,2.1,59,84,70.2,751,101,34,42,81.0,21,30,70.0,0,4,0.0,0,0.0,0.1,0.0,1,3,1,0,5,Pau CabanesAlaves
Lille,Remy Cabella,429,fr FRA,"FW,MF",fr Ligue 1,34,1990,11.2,628,762,82.4,8904,2413,371,413,89.8,208,248,83.9,24,45,53.3,2,2.3,3.1,-0.3,26,39,25,8,77,Remy CabellaLille
Espanyol,Leandro Cabrera,430,uy URU,DF,es La Liga,33,1991,31.9,1084,1442,75.2,22270,10095,362,419,86.4,563,647,87.0,149,334,44.6,2,0.9,0.7,+1.1,9,90,15,3,69,Leandro CabreraEspanyol
Empoli,Liberato Cacace,431,nz NZL,"MF,DF",it Serie A,23,2000,24.8,619,912,67.9,10590,4309,286,343,83.4,237,321,73.8,68,166,41.0,4,1.7,1.5,+2.3,25,54,18,6,70,Liberato CacaceEmpoli
Torino,Alessio Cacciamani,432,it ITA,"MF,DF",it Serie A,17,2007,0.3,12,15,80.0,185,37,4,4,100.0,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Alessio CacciamaniTorino
Mainz 05,Anthony Caci,433,fr FRA,DF,de Bundesliga,27,1997,29.8,1188,1655,71.8,19409,8082,620,735,84.4,444,603,73.6,93,199,46.7,7,6.6,7.9,+0.4,50,96,46,21,133,Anthony CaciMainz 05
Saint-Etienne,Mathieu Cafaro,434,fr FRA,"MF,FW",fr Ligue 1,27,1997,8.1,172,239,72.0,2760,750,93,115,80.9,65,84,77.4,13,32,40.6,0,1.3,1.3,-1.3,13,12,9,4,16,Mathieu CafaroSaint-Etienne
Chelsea,Moises Caicedo,435,ec ECU,"MF,DF",eng Premier League,22,2001,37.2,1967,2194,89.7,33834,8949,893,964,92.6,878,951,92.3,159,208,76.4,2,3.0,2.8,-1.0,30,235,34,2,215,Moises CaicedoChelsea
Fulham,Tom Cairney,436,sct SCO,MF,eng Premier League,33,1991,7.0,569,627,90.7,9151,1910,316,336,94.0,206,223,92.4,42,54,77.8,0,1.1,1.2,-1.1,11,53,7,3,53,Tom CairneyFulham
Ipswich Town,Jens Cajuste,437,se SWE,MF,eng Premier League,24,1999,21.8,647,783,82.6,10596,2229,301,338,89.1,300,352,85.2,31,61,50.8,1,0.8,0.7,+0.2,13,51,6,1,59,Jens CajusteIpswich Town
Bologna,Davide Calabria,438,it ITA,DF,it Serie A,27,1996,7.0,354,429,82.5,6167,2065,161,176,91.5,151,169,89.3,35,61,57.4,1,1.3,0.5,-0.3,13,26,11,6,40,Davide CalabriaBologna
Milan,Davide Calabria,439,it ITA,DF,it Serie A,27,1996,3.5,193,223,86.5,3258,767,90,97,92.8,86,95,90.5,11,19,57.9,0,0.2,0.2,-0.2,1,23,2,2,24,Davide CalabriaMilan
Arsenal,Riccardo Calafiori,440,it ITA,DF,eng Premier League,22,2002,10.9,470,549,85.6,6903,1705,280,306,91.5,163,188,86.7,19,28,67.9,1,0.3,0.7,+0.7,6,41,9,1,54,Riccardo CalafioriArsenal
Monza,Luca Caldirola,441,it ITA,DF,it Serie A,33,1991,9.7,556,615,90.4,10352,4162,196,204,96.1,304,326,93.3,49,74,66.2,0,0.1,0.2,-0.1,2,25,1,0,22,Luca CaldirolaMonza
Espanyol,Fernando Calero,442,es ESP,"DF,MF",es La Liga,28,1995,7.9,325,381,85.3,6408,2520,106,115,92.2,171,185,92.4,43,67,64.2,0,0.0,0.1,0.0,3,17,1,1,17,Fernando CaleroEspanyol
Lyon,Duje Caleta-Car,443,hr CRO,DF,fr Ligue 1,27,1996,17.6,896,985,91.0,16876,5583,296,318,93.1,530,556,95.3,65,97,67.0,0,0.1,0.9,-0.1,2,50,0,0,46,Duje Caleta-CarLyon
Inter,Hakan Calhanoglu,444,tr TUR,MF,it Serie A,30,1994,21.6,1464,1690,86.6,27437,8326,592,641,92.4,662,727,91.1,182,269,67.7,6,5.6,5.6,+0.4,49,144,28,11,173,Hakan CalhanogluInter
Everton,Dominic Calvert-Lewin,445,eng ENG,FW,eng Premier League,27,1997,17.9,181,289,62.6,2113,498,130,187,69.5,37,63,58.7,3,8,37.5,1,0.6,0.7,+0.4,7,20,5,1,20,Dominic Calvert-LewinEverton
Parma,Drissa Camara,446,ci CIV,"MF,FW",it Serie A,22,2002,5.0,133,182,73.1,2076,550,73,89,82.0,50,59,84.7,6,16,37.5,0,0.8,0.5,-0.8,5,15,5,0,27,Drissa CamaraParma
Nice,Issiaga Camara,447,gn GUI,MF,fr Ligue 1,19,2005,0.2,15,16,93.8,197,57,9,9,100.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,2,Issiaga CamaraNice
Monaco,Lamine Camara,448,sn SEN,MF,fr Ligue 1,20,2004,22.8,1224,1479,82.8,22283,6556,517,583,88.7,549,609,90.1,137,233,58.8,7,4.4,5.0,+2.6,44,133,26,4,141,Lamine CamaraMonaco
Brest,Mahdi Camara,449,fr FRA,"MF,FW",fr Ligue 1,26,1998,29.5,1021,1190,85.8,15953,3369,498,554,89.9,443,492,90.0,41,65,63.1,3,2.0,2.6,+1.0,26,79,17,10,111,Mahdi CamaraBrest
Angers,Ousmane Camara,450,fr FRA,DF,fr Ligue 1,21,2003,2.8,91,101,90.1,1868,743,32,32,100.0,44,45,97.8,15,22,68.2,0,0.0,0.0,0.0,1,3,0,0,3,Ousmane CamaraAngers
Milan,Francesco Camarda,451,it ITA,"FW,MF",it Serie A,16,2008,2.3,37,44,84.1,434,40,28,32,87.5,8,10,80.0,0,1,0.0,0,0.5,0.2,-0.5,5,1,0,0,1,Francesco CamardaMilan
Real Madrid,Eduardo Camavinga,452,fr FRA,"MF,DF",es La Liga,21,2002,12.2,700,793,88.3,11361,3012,344,367,93.7,296,319,92.8,43,66,65.2,2,0.8,0.7,+1.2,11,61,5,0,61,Eduardo CamavingaReal Madrid
Bologna,Nicolo Cambiaghi,453,it ITA,FW,it Serie A,23,2000,6.9,177,245,72.2,2543,589,104,120,86.7,62,88,70.5,6,14,42.9,3,1.9,2.2,+1.1,12,9,11,6,25,Nicolo CambiaghiBologna
Juventus,Andrea Cambiaso,454,it ITA,"DF,FW",it Serie A,24,2000,24.7,1476,1667,88.5,24469,5281,732,779,94.0,598,657,91.0,112,150,74.7,3,2.6,2.1,+0.4,34,82,31,9,111,Andrea CambiasoJuventus
Brest,Axel Camblan,455,fr FRA,"MF,FW",fr Ligue 1,20,2003,0.3,3,7,42.9,44,23,2,5,40.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,Axel CamblanBrest
Rayo Vallecano,Sergio Camello,456,es ESP,FW,es La Liga,23,2001,12.6,207,263,78.7,2869,452,127,151,84.1,61,73,83.6,7,9,77.8,2,2.0,1.1,0.0,19,12,7,0,27,Sergio CamelloRayo Vallecano
Las Palmas,Jose Campana,457,es ESP,MF,es La Liga,31,1993,13.2,703,834,84.3,12424,4339,316,346,91.3,283,324,87.3,81,124,65.3,3,0.9,1.0,+2.1,14,72,12,4,87,Jose CampanaLas Palmas
Empoli,Thomas Campaniello,458,it ITA,FW,it Serie A,16,2008,0.3,9,14,64.3,127,0,3,6,50.0,4,4,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Thomas CampanielloEmpoli
Dortmund,Cole Campbell,459,us USA,"MF,FW",de Bundesliga,18,2006,0.2,13,15,86.7,176,46,8,9,88.9,3,4,75.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,1,0,Cole CampbellDortmund
Dortmund,Emre Can,460,de GER,"DF,MF",de Bundesliga,30,1994,23.4,1705,1905,89.5,31186,10528,673,718,93.7,878,927,94.7,142,226,62.8,0,0.7,1.4,-0.7,8,119,5,0,116,Emre CanDortmund
Athletic Club,Peio Canales,461,es ESP,"MF,FW",es La Liga,19,2005,2.9,89,112,79.5,1488,243,44,49,89.8,35,43,81.4,7,16,43.8,0,0.2,0.2,-0.2,6,6,2,0,6,Peio CanalesAthletic Club
Parma,Matteo Cancellieri,462,it ITA,"FW,MF",it Serie A,22,2002,15.8,211,313,67.4,2943,842,124,165,75.2,66,88,75.0,9,28,32.1,0,0.7,0.7,-0.7,11,16,7,5,24,Matteo CancellieriParma
Venezia,Fali Cande,463,gw GNB,DF,it Serie A,26,1998,17.0,761,939,81.0,13092,5240,358,377,95.0,329,386,85.2,66,148,44.6,1,0.6,0.2,+0.4,4,59,3,1,47,Fali CandeVenezia
Venezia,Antonio Candela,464,it ITA,DF,it Serie A,24,2000,11.2,299,403,74.2,4708,1990,158,183,86.3,120,162,74.1,15,35,42.9,1,0.8,0.5,+0.2,9,26,6,6,27,Antonio CandelaVenezia
Valladolid,Antonio Candela,465,it ITA,DF,es La Liga,24,2000,10.1,342,443,77.2,5886,1919,168,182,92.3,135,176,76.7,30,67,44.8,0,0.8,0.7,-0.8,6,17,6,6,22,Antonio CandelaValladolid
Valencia,Sergi Canos,466,es ESP,"MF,FW",es La Liga,27,1997,4.1,92,158,58.2,1502,418,51,63,81.0,33,53,62.3,6,23,26.1,1,0.2,0.2,+0.8,4,9,3,3,9,Sergi CanosValencia
Toulouse,Jaydee Canvot,467,fr FRA,"DF,MF",fr Ligue 1,18,2006,12.3,462,536,86.2,8029,2340,201,218,92.2,224,246,91.1,30,51,58.8,0,0.7,0.3,-0.7,4,42,6,2,41,Jaydee CanvotToulouse
Angers,Pierrick Capelle,468,fr FRA,MF,fr Ligue 1,37,1987,5.4,185,231,80.1,3185,808,88,101,87.1,80,99,80.8,13,22,59.1,0,1.2,0.7,-1.2,5,19,2,1,22,Pierrick CapelleAngers
Monza,Gianluca Caprari,469,it ITA,"MF,FW",it Serie A,31,1993,18.3,579,732,79.1,9227,2016,296,318,93.1,207,257,80.5,49,94,52.1,2,2.4,2.1,-0.4,30,39,21,2,81,Gianluca CaprariMonza
Cagliari,Elia Caprile,470,it ITA,GK,it Serie A,22,2001,18.0,482,706,68.3,15126,11822,50,51,98.0,237,242,97.9,193,410,47.1,0,0.0,0.0,0.0,0,6,0,0,0,Elia CaprileCagliari
Napoli,Elia Caprile,471,it ITA,GK,it Serie A,22,2001,3.6,81,98,82.7,2186,1425,12,12,100.0,45,45,100.0,24,40,60.0,0,0.0,0.0,0.0,0,2,0,0,0,Elia CaprileNapoli
Lens,Gabin Capuano,472,fr FRA,FW,fr Ligue 1,18,2006,0.1,2,2,100.0,22,6,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Gabin CapuanoLens
Empoli,Francesco Caputo,473,it ITA,FW,it Serie A,36,1987,0.1,2,2,100.0,26,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Francesco CaputoEmpoli
Como,Maxence Caqueret,474,fr FRA,MF,it Serie A,24,2000,12.1,472,568,83.1,7456,2619,250,282,88.7,172,200,86.0,33,46,71.7,3,1.5,1.1,+1.5,19,67,17,1,76,Maxence CaqueretComo
Lyon,Maxence Caqueret,475,fr FRA,MF,fr Ligue 1,24,2000,6.4,274,343,79.9,4339,1547,138,164,84.1,109,124,87.9,17,28,60.7,0,0.4,0.6,-0.4,10,39,10,0,50,Maxence CaqueretLyon
Montpellier,Simon Cara,476,fr FRA,"MF,FW",fr Ligue 1,19,2005,0.1,4,6,66.7,70,1,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Simon CaraMontpellier
Monza,Andrea Carboni,477,it ITA,DF,it Serie A,23,2001,24.3,989,1157,85.5,16502,4918,463,496,93.3,438,492,89.0,70,118,59.3,1,0.3,0.2,+0.7,4,51,3,3,51,Andrea CarboniMonza
Venezia,Franco Carboni,478,it ITA,DF,it Serie A,21,2003,2.5,61,92,66.3,931,351,37,42,88.1,19,32,59.4,4,16,25.0,0,0.1,0.2,-0.1,2,3,3,2,6,Franco CarboniVenezia
Marseille,Valentin Carboni,479,ar ARG,"MF,FW",fr Ligue 1,19,2005,1.1,57,64,89.1,816,162,32,34,94.1,19,20,95.0,3,4,75.0,0,0.1,0.1,-0.1,3,4,4,2,4,Valentin CarboniMarseille
Rayo Vallecano,Dani Cardenas,480,es ESP,GK,es La Liga,27,1997,6.0,94,179,52.5,3014,2377,11,11,100.0,51,52,98.1,32,115,27.8,0,0.0,0.0,0.0,0,2,0,0,0,Dani CardenasRayo Vallecano
Espanyol,Irvin Cardona,481,fr FRA,"FW,MF",es La Liga,26,1997,6.7,100,161,62.1,1428,432,56,73,76.7,31,49,63.3,6,21,28.6,1,0.6,1.2,+0.4,9,9,11,4,15,Irvin CardonaEspanyol
Saint-Etienne,Irvin Cardona,482,fr FRA,FW,fr Ligue 1,26,1997,11.8,255,381,66.9,3519,853,154,188,81.9,72,116,62.1,15,30,50.0,3,1.4,1.6,+1.6,15,11,16,3,32,Irvin CardonaSaint-Etienne
Las Palmas,Marc Cardona,483,es ESP,"FW,DF",es La Liga,29,1995,1.5,38,48,79.2,542,79,21,24,87.5,12,15,80.0,2,3,66.7,0,0.0,0.1,0.0,0,4,0,0,3,Marc CardonaLas Palmas
Villarreal,Sergi Cardona,484,es ESP,DF,es La Liga,25,1999,32.7,1126,1457,77.3,18658,6599,549,632,86.9,486,593,82.0,74,159,46.5,7,5.8,4.6,+1.2,45,62,46,26,77,Sergi CardonaVillarreal
Betis,Johnny Cardoso,485,us USA,MF,es La Liga,22,2001,23.8,950,1109,85.7,14556,3689,511,565,90.4,349,391,89.3,53,78,67.9,1,0.9,0.8,+0.1,9,63,4,0,71,Johnny CardosoBetis
Gladbach,Tiago Cardoso,486,lu LUX,GK,de Bundesliga,18,2006,4.2,134,179,74.9,3359,2226,34,34,100.0,67,68,98.5,33,77,42.9,0,0.0,0.0,0.0,0,0,0,0,0,Tiago CardosoGladbach
Nantes,Patrik Carlgren,487,se SWE,GK,fr Ligue 1,32,1992,4.6,90,137,65.7,2681,2084,17,17,100.0,35,35,100.0,37,83,44.6,0,0.0,0.0,0.0,0,1,0,0,0,Patrik CarlgrenNantes
Aston Villa,Diego Carlos,488,br BRA,DF,eng Premier League,31,1993,9.2,534,603,88.6,10941,4103,138,151,91.4,341,362,94.2,54,83,65.1,0,0.0,0.1,0.0,0,23,1,0,34,Diego CarlosAston Villa
Las Palmas,Jose Carlos Gonzalez,489,es ESP,DF,es La Liga,18,2006,0.1,8,9,88.9,92,22,6,6,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Jose Carlos GonzalezLas Palmas
Sevilla,Carmona,490,es ESP,DF,es La Liga,22,2002,32.7,1448,1798,80.5,23524,8789,713,808,88.2,629,745,84.4,72,154,46.8,0,2.0,0.9,-2.0,19,99,14,6,109,CarmonaSevilla
Atalanta,Marco Carnesecchi,491,it ITA,GK,it Serie A,24,2000,34.0,811,1082,75.0,22450,14922,106,107,99.1,466,468,99.6,238,503,47.3,0,0.2,0.0,-0.2,1,9,0,0,0,Marco CarnesecchiAtalanta
Celta Vigo,Sergio Carreira,492,es ESP,"MF,DF",es La Liga,23,2000,18.4,681,895,76.1,11545,3606,318,369,86.2,310,388,79.9,48,92,52.2,4,3.1,2.4,+0.9,16,35,24,8,53,Sergio CarreiraCelta Vigo
Real Madrid,Dani Carvajal,493,es ESP,DF,es La Liga,32,1992,6.8,399,463,86.2,6523,1419,197,212,92.9,170,195,87.2,26,35,74.3,0,0.2,0.3,-0.2,5,20,5,0,27,Dani CarvajalReal Madrid
Brentford,Fabio Carvalho,494,pt POR,"FW,MF",eng Premier League,21,2002,5.1,126,178,70.8,1755,442,78,94,83.0,32,45,71.1,7,18,38.9,1,0.7,0.6,+0.3,4,11,5,1,17,Fabio CarvalhoBrentford
Betis,William Carvalho,495,pt POR,MF,es La Liga,32,1992,5.4,343,395,86.8,5141,1591,192,208,92.3,113,123,91.9,22,33,66.7,0,0.2,0.7,-0.2,6,44,4,0,45,William CarvalhoBetis
Torino,Cesare Casadei,496,it ITA,MF,it Serie A,21,2003,11.3,323,406,79.6,5338,1082,150,190,78.9,136,161,84.5,26,36,72.2,1,0.4,0.4,+0.6,7,35,6,1,36,Cesare CasadeiTorino
Barcelona,Marc Casado,497,es ESP,MF,es La Liga,20,2003,17.9,1221,1367,89.3,18725,4279,654,706,92.6,472,500,94.4,62,94,66.0,3,1.4,1.8,+1.6,9,138,6,0,107,Marc CasadoBarcelona
Bologna,Nicolo Casale,498,it ITA,DF,it Serie A,26,1998,10.0,448,512,87.5,8803,3003,139,158,88.0,268,289,92.7,39,49,79.6,1,0.5,0.5,+0.5,3,22,2,0,29,Nicolo CasaleBologna
Lazio,Nicolo Casale,499,it ITA,DF,it Serie A,26,1998,1.5,100,110,90.9,2040,595,27,30,90.0,59,62,95.2,13,17,76.5,0,0.0,0.0,0.0,0,12,0,0,6,Nicolo CasaleLazio
Manchester Utd,Casemiro,500,br BRA,MF,eng Premier League,32,1992,16.6,780,990,78.8,13010,4069,369,425,86.8,313,374,83.7,69,113,61.1,0,2.3,2.0,-2.3,22,81,23,6,84,CasemiroManchester Utd
West Ham,Kaelan Casey,501,eng ENG,DF,eng Premier League,19,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Kaelan CaseyWest Ham
Aston Villa,Matty Cash,502,pl POL,DF,eng Premier League,26,1997,23.0,732,945,77.5,12171,3259,362,406,89.2,306,389,78.7,52,106,49.1,1,1.1,1.3,-0.1,10,39,10,5,42,Matty CashAston Villa
Brighton,Eiran Cashin,503,ie IRL,DF,eng Premier League,22,2001,0.2,23,28,82.1,407,196,9,10,90.0,13,13,100.0,1,5,20.0,0,0.0,0.0,0.0,0,5,0,0,6,Eiran CashinBrighton
Le Havre,Josue Casimir,504,fr FRA,"FW,MF",fr Ligue 1,22,2001,22.2,410,597,68.7,6606,1453,225,263,85.6,145,212,68.4,34,75,45.3,4,3.4,2.2,+0.6,26,22,13,7,41,Josue CasimirLe Havre
Atalanta,Federico Cassa,505,it ITA,"MF,FW",it Serie A,18,2006,0.2,5,6,83.3,54,9,5,5,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Federico CassaAtalanta
Toulouse,Cristian Casseres Jr.,506,ve VEN,MF,fr Ligue 1,24,2000,30.0,1120,1421,78.8,19695,5429,479,569,84.2,528,599,88.1,92,185,49.7,3,2.6,3.6,+0.4,27,89,23,7,128,Cristian Casseres Jr.Toulouse
Fulham,Timothy Castagne,507,be BEL,DF,eng Premier League,28,1995,18.3,780,953,81.8,12441,3910,397,442,89.8,328,382,85.9,37,75,49.3,1,1.2,0.6,-0.2,9,51,5,3,62,Timothy CastagneFulham
Lazio,Valentin Castellanos,508,ar ARG,FW,it Serie A,25,1998,26.5,366,541,67.7,5170,1247,211,278,75.9,119,172,69.2,16,28,57.1,3,3.6,2.6,-0.6,26,48,14,2,66,Valentin CastellanosLazio
Nantes,Jean-Charles Castelletto,509,cm CMR,"DF,MF",fr Ligue 1,29,1995,29.1,1233,1391,88.6,21696,7885,488,520,93.8,640,691,92.6,83,140,59.3,0,0.1,0.4,-0.1,2,80,5,1,87,Jean-Charles CastellettoNantes
Bologna,Santiago Castro,510,ar ARG,FW,it Serie A,19,2004,25.5,354,461,76.8,6386,993,145,179,81.0,149,176,84.7,40,54,74.1,4,2.9,1.5,+1.1,28,23,8,0,39,Santiago CastroBologna
Monza,Gaetano Castrovilli,511,it ITA,MF,it Serie A,27,1997,6.6,188,238,79.0,2902,828,101,112,90.2,71,83,85.5,10,22,45.5,0,0.4,0.6,-0.4,7,12,5,0,24,Gaetano CastrovilliMonza
Lazio,Gaetano Castrovilli,512,it ITA,"MF,FW",it Serie A,27,1997,1.6,66,78,84.6,1057,235,37,45,82.2,25,26,96.2,4,4,100.0,0,0.7,0.0,-0.7,2,7,0,0,10,Gaetano CastrovilliLazio
Fiorentina,Danilo Cataldi,513,it ITA,MF,it Serie A,29,1994,19.2,845,1000,84.5,14213,4507,400,440,90.9,352,386,91.2,70,131,53.4,0,0.8,0.8,-0.8,15,83,10,3,90,Danilo CataldiFiorentina
Osasuna,Catena,514,es ESP,DF,es La Liga,29,1994,34.2,1274,1521,83.8,27748,11023,286,313,91.4,799,852,93.8,182,327,55.7,3,2.3,1.9,+0.7,10,68,5,1,89,CatenaOsasuna
Valencia,Maximiliano Caufriez,515,be BEL,DF,es La Liga,27,1997,1.0,11,14,78.6,219,77,3,3,100.0,6,7,85.7,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,1,Maximiliano CaufriezValencia
